module,attributes,classifier,technique,metric,score
aaa,asmt,knn,smote+kmeans,accuracy,0.4379661016949152
aaa,asmt,knn,smote+kmeans,fscore,0.04765056254136334
aaa,asmt,knn,smote+kmeans,precision,0.04230317273795535
aaa,asmt,knn,smote+kmeans,recall,0.72
aaa,stdnt,knn,smote+kmeans,accuracy,0.455593220338983
aaa,stdnt,knn,smote+kmeans,fscore,0.0424684804246848
aaa,stdnt,knn,smote+kmeans,precision,0.03916768665850673
aaa,stdnt,knn,smote+kmeans,recall,0.64
aaa,abd,knn,smote+kmeans,accuracy,0.7355932203389829
aaa,abd,knn,smote+kmeans,fscore,0.028074866310160432
aaa,abd,knn,smote+kmeans,precision,0.0549738219895288
aaa,abd,knn,smote+kmeans,recall,0.42
aaa,abi,knn,smote+kmeans,accuracy,0.7606779661016949
aaa,abi,knn,smote+kmeans,fscore,0.03070761014686248
aaa,abi,knn,smote+kmeans,precision,0.0659025787965616
aaa,abi,knn,smote+kmeans,recall,0.46
aaa,asmt_stdnt,knn,smote+kmeans,accuracy,0.816271186440678
aaa,asmt_stdnt,knn,smote+kmeans,fscore,0.02411252511721366
aaa,asmt_stdnt,knn,smote+kmeans,precision,0.07003891050583658
aaa,asmt_stdnt,knn,smote+kmeans,recall,0.36
aaa,asmt_abd,knn,smote+kmeans,accuracy,0.7722033898305085
aaa,asmt_abd,knn,smote+kmeans,fscore,0.029392117568470277
aaa,asmt_abd,knn,smote+kmeans,precision,0.06666666666666668
aaa,asmt_abd,knn,smote+kmeans,recall,0.44
aaa,asmt_abi,knn,smote+kmeans,accuracy,0.7979661016949152
aaa,asmt_abi,knn,smote+kmeans,fscore,0.03333333333333333
aaa,asmt_abi,knn,smote+kmeans,precision,0.08389261744966442
aaa,asmt_abi,knn,smote+kmeans,recall,0.5
aaa,stdnt_abd,knn,smote+kmeans,accuracy,0.7552542372881356
aaa,stdnt_abd,knn,smote+kmeans,fscore,0.03070761014686248
aaa,stdnt_abd,knn,smote+kmeans,precision,0.06442577030812324
aaa,stdnt_abd,knn,smote+kmeans,recall,0.46
aaa,stdnt_abi,knn,smote+kmeans,accuracy,0.8013559322033899
aaa,stdnt_abi,knn,smote+kmeans,fscore,0.03070761014686248
aaa,stdnt_abi,knn,smote+kmeans,precision,0.07958477508650519
aaa,stdnt_abi,knn,smote+kmeans,recall,0.46
aaa,asmt_stdnt_abd,knn,smote+kmeans,accuracy,0.7633898305084745
aaa,asmt_stdnt_abd,knn,smote+kmeans,fscore,0.022788203753351208
aaa,asmt_stdnt_abd,knn,smote+kmeans,precision,0.05105105105105105
aaa,asmt_stdnt_abd,knn,smote+kmeans,recall,0.34
aaa,asmt_stdnt_abi,knn,smote+kmeans,accuracy,0.7993220338983051
aaa,asmt_stdnt_abi,knn,smote+kmeans,fscore,0.02411252511721366
aaa,asmt_stdnt_abi,knn,smote+kmeans,precision,0.06382978723404255
aaa,asmt_stdnt_abi,knn,smote+kmeans,recall,0.36
