module,attributes,classifier,technique,metric,score
ccc,asmt,knn,smote+kmeans,accuracy,0.9169045353631462
ccc,asmt,knn,smote+kmeans,fscore,0.0
ccc,asmt,knn,smote+kmeans,precision,0.0
ccc,asmt,knn,smote+kmeans,recall,0.0
ccc,stdnt,knn,smote+kmeans,accuracy,0.2764562850195581
ccc,stdnt,knn,smote+kmeans,fscore,0.12488849241748437
ccc,stdnt,knn,smote+kmeans,precision,0.0860890953812517
ccc,stdnt,knn,smote+kmeans,recall,0.8015267175572519
ccc,abd,knn,smote+kmeans,accuracy,0.6242731789829792
ccc,abd,knn,smote+kmeans,fscore,0.07802499238037182
ccc,abd,knn,smote+kmeans,precision,0.1085972850678733
ccc,abd,knn,smote+kmeans,recall,0.4885496183206106
ccc,abi,knn,smote+kmeans,accuracy,0.621313035204567
ccc,abi,knn,smote+kmeans,fscore,0.08522267206477732
ccc,abi,knn,smote+kmeans,precision,0.11572292468389225
ccc,abi,knn,smote+kmeans,recall,0.5356234096692112
ccc,asmt_stdnt,knn,smote+kmeans,accuracy,0.6151813088064277
ccc,asmt_stdnt,knn,smote+kmeans,fscore,0.06821198815480445
ccc,asmt_stdnt,knn,smote+kmeans,precision,0.09483248154457696
ccc,asmt_stdnt,knn,smote+kmeans,recall,0.4249363867684479
ccc,asmt_abd,knn,smote+kmeans,accuracy,0.6182471720054974
ccc,asmt_abd,knn,smote+kmeans,fscore,0.08075479354773257
ccc,asmt_abd,knn,smote+kmeans,precision,0.10991438829052748
ccc,asmt_abd,knn,smote+kmeans,recall,0.5063613231552163
ccc,asmt_abi,knn,smote+kmeans,accuracy,0.6278676392853367
ccc,asmt_abi,knn,smote+kmeans,fscore,0.08464108534980258
ccc,asmt_abi,knn,smote+kmeans,precision,0.11708683473389354
ccc,asmt_abi,knn,smote+kmeans,recall,0.5318066157760815
ccc,stdnt_abd,knn,smote+kmeans,accuracy,0.5770165979490433
ccc,stdnt_abd,knn,smote+kmeans,fscore,0.0906338312474768
ccc,stdnt_abd,knn,smote+kmeans,precision,0.10916605883783127
ccc,stdnt_abd,knn,smote+kmeans,recall,0.5712468193384224
ccc,stdnt_abi,knn,smote+kmeans,accuracy,0.5857913098636219
ccc,stdnt_abi,knn,smote+kmeans,fscore,0.0871587462082912
ccc,stdnt_abi,knn,smote+kmeans,precision,0.10791186780170256
ccc,stdnt_abi,knn,smote+kmeans,recall,0.5483460559796438
ccc,asmt_stdnt_abd,knn,smote+kmeans,accuracy,0.5959403742467492
ccc,asmt_stdnt_abd,knn,smote+kmeans,fscore,0.08831851253031528
ccc,asmt_stdnt_abd,knn,smote+kmeans,precision,0.11176470588235296
ccc,asmt_stdnt_abd,knn,smote+kmeans,recall,0.5559796437659033
ccc,asmt_stdnt_abi,knn,smote+kmeans,accuracy,0.5939317052542552
ccc,asmt_stdnt_abi,knn,smote+kmeans,fscore,0.0890909090909091
ccc,asmt_stdnt_abi,knn,smote+kmeans,precision,0.11201422402844806
ccc,asmt_stdnt_abi,knn,smote+kmeans,recall,0.5610687022900763
