module,attributes,classifier,technique,metric,score
ddd,asmt,knn,smote+kmeans,accuracy,0.5994583207944628
ddd,asmt,knn,smote+kmeans,fscore,0.09652012029213804
ddd,asmt,knn,smote+kmeans,precision,0.11608680675163625
ddd,asmt,knn,smote+kmeans,recall,0.7782909930715936
ddd,stdnt,knn,smote+kmeans,accuracy,0.23788745109840506
ddd,stdnt,knn,smote+kmeans,fscore,0.10114285714285716
ddd,stdnt,knn,smote+kmeans,precision,0.06629213483146068
ddd,stdnt,knn,smote+kmeans,recall,0.8175519630484989
ddd,abd,knn,smote+kmeans,accuracy,0.5768883538970809
ddd,abd,knn,smote+kmeans,fscore,0.07974573822594626
ddd,abd,knn,smote+kmeans,precision,0.09416581371545547
ddd,abd,knn,smote+kmeans,recall,0.6374133949191686
ddd,abi,knn,smote+kmeans,accuracy,0.5987059885645502
ddd,abi,knn,smote+kmeans,fscore,0.0716669084578558
ddd,abi,knn,smote+kmeans,precision,0.0905425219941349
ddd,abi,knn,smote+kmeans,recall,0.5704387990762124
ddd,asmt_stdnt,knn,smote+kmeans,accuracy,0.7010231718326813
ddd,asmt_stdnt,knn,smote+kmeans,fscore,0.05387994143484626
ddd,asmt_stdnt,knn,smote+kmeans,precision,0.09573361082206036
ddd,asmt_stdnt,knn,smote+kmeans,recall,0.4249422632794457
ddd,asmt_abd,knn,smote+kmeans,accuracy,0.6087872404453807
ddd,asmt_abd,knn,smote+kmeans,fscore,0.0855537951893994
ddd,asmt_abd,knn,smote+kmeans,precision,0.10756972111553784
ddd,asmt_abd,knn,smote+kmeans,recall,0.6859122401847575
ddd,asmt_abi,knn,smote+kmeans,accuracy,0.5972013241047246
ddd,asmt_abi,knn,smote+kmeans,fscore,0.08775715724356208
ddd,asmt_abi,knn,smote+kmeans,precision,0.10686755430974072
ddd,asmt_abi,knn,smote+kmeans,recall,0.7043879907621247
ddd,stdnt_abd,knn,smote+kmeans,accuracy,0.5696659644899188
ddd,stdnt_abd,knn,smote+kmeans,fscore,0.0736231884057971
ddd,stdnt_abd,knn,smote+kmeans,precision,0.08654173764906302
ddd,stdnt_abd,knn,smote+kmeans,recall,0.5866050808314087
ddd,stdnt_abi,knn,smote+kmeans,accuracy,0.5902798675895276
ddd,stdnt_abi,knn,smote+kmeans,fscore,0.06830402557767766
ddd,stdnt_abi,knn,smote+kmeans,precision,0.08514492753623189
ddd,stdnt_abi,knn,smote+kmeans,recall,0.5427251732101617
ddd,asmt_stdnt_abd,knn,smote+kmeans,accuracy,0.6021667168221486
ddd,asmt_stdnt_abd,knn,smote+kmeans,fscore,0.08057761732851985
ddd,asmt_stdnt_abd,knn,smote+kmeans,precision,0.1007583965330444
ddd,asmt_stdnt_abd,knn,smote+kmeans,recall,0.6443418013856813
ddd,asmt_stdnt_abi,knn,smote+kmeans,accuracy,0.6128498344869094
ddd,asmt_stdnt_abi,knn,smote+kmeans,fscore,0.07390233299521809
ddd,asmt_stdnt_abi,knn,smote+kmeans,precision,0.09622641509433964
ddd,asmt_stdnt_abi,knn,smote+kmeans,recall,0.5889145496535797
