module,attributes,classifier,technique,metric,score
ggg,asmt,knn,smote+kmeans,accuracy,0.7581384685923888
ggg,asmt,knn,smote+kmeans,fscore,0.018173557473875508
ggg,asmt,knn,smote+kmeans,precision,0.03853564547206165
ggg,asmt,knn,smote+kmeans,recall,0.4123711340206185
ggg,stdnt,knn,smote+kmeans,accuracy,0.3878954607977992
ggg,stdnt,knn,smote+kmeans,fscore,0.03203248364538687
ggg,stdnt,knn,smote+kmeans,precision,0.02615101289134438
ggg,stdnt,knn,smote+kmeans,recall,0.7319587628865979
ggg,abd,knn,smote+kmeans,accuracy,0.7863365428702429
ggg,abd,knn,smote+kmeans,fscore,0.016371077762619368
ggg,abd,knn,smote+kmeans,precision,0.039691289966923934
ggg,abd,knn,smote+kmeans,recall,0.3711340206185567
ggg,abi,knn,smote+kmeans,accuracy,0.536680421824851
ggg,abi,knn,smote+kmeans,fscore,0.025797691785471828
ggg,abi,knn,smote+kmeans,precision,0.027968596663395486
ggg,abi,knn,smote+kmeans,recall,0.5876288659793815
ggg,asmt_stdnt,knn,smote+kmeans,accuracy,0.6607060981201284
ggg,asmt_stdnt,knn,smote+kmeans,fscore,0.014565316340464268
ggg,asmt_stdnt,knn,smote+kmeans,precision,0.0221147201105736
ggg,asmt_stdnt,knn,smote+kmeans,recall,0.32989690721649484
ggg,asmt_abd,knn,smote+kmeans,accuracy,0.7994039431453461
ggg,asmt_abd,knn,smote+kmeans,fscore,0.014565316340464268
ggg,asmt_abd,knn,smote+kmeans,precision,0.03800475059382423
ggg,asmt_abd,knn,smote+kmeans,recall,0.32989690721649484
ggg,asmt_abi,knn,smote+kmeans,accuracy,0.5848234754699679
ggg,asmt_abi,knn,smote+kmeans,fscore,0.02802893309222423
ggg,asmt_abi,knn,smote+kmeans,precision,0.033732317736670285
ggg,asmt_abi,knn,smote+kmeans,recall,0.6391752577319587
ggg,stdnt_abd,knn,smote+kmeans,accuracy,0.8191196698762035
ggg,stdnt_abd,knn,smote+kmeans,fscore,0.014565316340464268
ggg,stdnt_abd,knn,smote+kmeans,precision,0.042328042328042326
ggg,stdnt_abd,knn,smote+kmeans,recall,0.32989690721649484
ggg,stdnt_abi,knn,smote+kmeans,accuracy,0.8259972489683631
ggg,stdnt_abi,knn,smote+kmeans,fscore,0.00821917808219178
ggg,stdnt_abi,knn,smote+kmeans,precision,0.025787965616045846
ggg,stdnt_abi,knn,smote+kmeans,recall,0.1855670103092784
ggg,asmt_stdnt_abd,knn,smote+kmeans,accuracy,0.8285190279688216
ggg,asmt_stdnt_abd,knn,smote+kmeans,fscore,0.015468607825295725
ggg,asmt_stdnt_abd,knn,smote+kmeans,precision,0.047287899860917935
ggg,asmt_stdnt_abd,knn,smote+kmeans,recall,0.3505154639175257
ggg,asmt_stdnt_abi,knn,smote+kmeans,accuracy,0.8292067858780376
ggg,asmt_stdnt_abi,knn,smote+kmeans,fscore,0.010036496350364963
ggg,asmt_stdnt_abi,knn,smote+kmeans,precision,0.031791907514450865
ggg,asmt_stdnt_abi,knn,smote+kmeans,recall,0.2268041237113402
