module,attributes,classifier,technique,metric,score
ddd,asmt,knn,smote+pca,accuracy,0.3480288895576287
ddd,asmt,knn,smote+pca,fscore,0.07557550311278413
ddd,asmt,knn,smote+pca,precision,0.05902306648575305
ddd,asmt,knn,smote+pca,recall,0.6027713625866051
ddd,stdnt,knn,smote+pca,accuracy,0.7229912729461329
ddd,stdnt,knn,smote+pca,fscore,0.03198104826769322
ddd,stdnt,knn,smote+pca,precision,0.0665024630541872
ddd,stdnt,knn,smote+pca,recall,0.2494226327944573
ddd,abd,knn,smote+pca,accuracy,0.5750827565452904
ddd,abd,knn,smote+pca,fscore,0.07807981492192019
ddd,abd,knn,smote+pca,precision,0.09211873080859777
ddd,abd,knn,smote+pca,recall,0.6235565819861432
ddd,abi,knn,smote+pca,accuracy,0.6074330424315377
ddd,abi,knn,smote+pca,fscore,0.07334396289317292
ddd,abi,knn,smote+pca,precision,0.09433258762117824
ddd,abi,knn,smote+pca,recall,0.5842956120092379
ddd,asmt_stdnt,knn,smote+pca,accuracy,0.7332229912729461
ddd,asmt_stdnt,knn,smote+pca,fscore,0.04558153212762829
ddd,asmt_stdnt,knn,smote+pca,precision,0.09393939393939392
ddd,asmt_stdnt,knn,smote+pca,recall,0.3579676674364896
ddd,asmt_abd,knn,smote+pca,accuracy,0.6236834185976528
ddd,asmt_abd,knn,smote+pca,fscore,0.08472622478386167
ddd,asmt_abd,knn,smote+pca,precision,0.11069277108433737
ddd,asmt_abd,knn,smote+pca,recall,0.6789838337182448
ddd,asmt_abi,knn,smote+pca,accuracy,0.6164610291904905
ddd,asmt_abi,knn,smote+pca,fscore,0.08527801786228753
ddd,asmt_abi,knn,smote+pca,precision,0.10930576070901034
ddd,asmt_abi,knn,smote+pca,recall,0.6836027713625866
ddd,stdnt_abd,knn,smote+pca,accuracy,0.5871200722238941
ddd,stdnt_abd,knn,smote+pca,fscore,0.06942628903413217
ddd,stdnt_abd,knn,smote+pca,precision,0.08569379705987809
ddd,stdnt_abd,knn,smote+pca,recall,0.5519630484988453
ddd,stdnt_abi,knn,smote+pca,accuracy,0.6026181161600963
ddd,stdnt_abi,knn,smote+pca,fscore,0.0646476412347117
ddd,stdnt_abi,knn,smote+pca,precision,0.083710407239819
ddd,stdnt_abi,knn,smote+pca,recall,0.5127020785219399
ddd,asmt_stdnt_abd,knn,smote+pca,accuracy,0.6208245561239844
ddd,asmt_stdnt_abd,knn,smote+pca,fscore,0.07780187997107736
ddd,asmt_stdnt_abd,knn,smote+pca,precision,0.10247619047619047
ddd,asmt_stdnt_abd,knn,smote+pca,recall,0.6212471131639723
ddd,asmt_stdnt_abi,knn,smote+pca,accuracy,0.6476075835088775
ddd,asmt_stdnt_abi,knn,smote+pca,fscore,0.07250580046403712
ddd,asmt_stdnt_abi,knn,smote+pca,precision,0.103777501037775
ddd,asmt_stdnt_abi,knn,smote+pca,recall,0.5773672055427251
