module,attributes,classifier,technique,metric,score
fff,asmt,knn,smote+pca,accuracy,0.7369491080797481
fff,asmt,knn,smote+pca,fscore,0.01986883968573469
fff,asmt,knn,smote+pca,precision,0.03766617429837518
fff,asmt,knn,smote+pca,recall,0.6
fff,stdnt,knn,smote+pca,accuracy,0.8357161594963274
fff,stdnt,knn,smote+pca,fscore,0.006406484931685951
fff,stdnt,knn,smote+pca,precision,0.020868824531516183
fff,stdnt,knn,smote+pca,recall,0.19215686274509805
fff,abd,knn,smote+pca,accuracy,0.8500131164742917
fff,abd,knn,smote+pca,fscore,0.015100234313980734
fff,abd,knn,smote+pca,precision,0.051236749116607784
fff,abd,knn,smote+pca,recall,0.4549019607843137
fff,abi,knn,smote+pca,accuracy,0.8742130115424974
fff,abi,knn,smote+pca,fscore,0.016133229247983348
fff,abi,knn,smote+pca,precision,0.06488749345892203
fff,abi,knn,smote+pca,recall,0.4862745098039216
fff,asmt_stdnt,knn,smote+pca,accuracy,0.9058237145855194
fff,asmt_stdnt,knn,smote+pca,fscore,0.008489518709593157
fff,asmt_stdnt,knn,smote+pca,precision,0.04958047292143402
fff,asmt_stdnt,knn,smote+pca,recall,0.2549019607843137
fff,asmt_abd,knn,smote+pca,accuracy,0.8655561385099685
fff,asmt_abd,knn,smote+pca,fscore,0.015358583886502668
fff,asmt_abd,knn,smote+pca,precision,0.05809945839487937
fff,asmt_abd,knn,smote+pca,recall,0.4627450980392157
fff,asmt_abi,knn,smote+pca,accuracy,0.8344700944386149
fff,asmt_abi,knn,smote+pca,fscore,0.016133229247983348
fff,asmt_abi,knn,smote+pca,precision,0.049264998013508136
fff,asmt_abi,knn,smote+pca,recall,0.4862745098039216
fff,stdnt_abd,knn,smote+pca,accuracy,0.8448976915005246
fff,stdnt_abd,knn,smote+pca,fscore,0.01639131000390269
fff,stdnt_abd,knn,smote+pca,precision,0.053344623200677385
fff,stdnt_abd,knn,smote+pca,recall,0.4941176470588236
fff,stdnt_abi,knn,smote+pca,accuracy,0.8724422875131165
fff,stdnt_abi,knn,smote+pca,fscore,0.015358583886502668
fff,stdnt_abi,knn,smote+pca,precision,0.0612668743509865
fff,stdnt_abi,knn,smote+pca,recall,0.4627450980392157
fff,asmt_stdnt_abd,knn,smote+pca,accuracy,0.8621458551941238
fff,asmt_stdnt_abd,knn,smote+pca,fscore,0.016262278019905027
fff,asmt_stdnt_abd,knn,smote+pca,precision,0.059608965188364324
fff,asmt_stdnt_abd,knn,smote+pca,recall,0.4901960784313725
fff,asmt_stdnt_abi,knn,smote+pca,accuracy,0.8780823714585521
fff,asmt_stdnt_abi,knn,smote+pca,fscore,0.015487733454805754
fff,asmt_stdnt_abi,knn,smote+pca,precision,0.06460369163952226
fff,asmt_stdnt_abi,knn,smote+pca,recall,0.4666666666666667
