module,attributes,classifier,technique,metric,score
ggg,asmt,knn,smote+pca,accuracy,0.2698303530490601
ggg,asmt,knn,smote+pca,fscore,0.034249662009914375
ggg,asmt,knn,smote+pca,precision,0.02345679012345679
ggg,asmt,knn,smote+pca,recall,0.7835051546391752
ggg,stdnt,knn,smote+pca,accuracy,0.900733608436497
ggg,stdnt,knn,smote+pca,fscore,0.0073092736409319315
ggg,stdnt,knn,smote+pca,precision,0.043478260869565216
ggg,stdnt,knn,smote+pca,recall,0.16494845360824742
ggg,abd,knn,smote+pca,accuracy,0.8461714809720312
ggg,abd,knn,smote+pca,fscore,0.010036496350364963
ggg,abd,knn,smote+pca,precision,0.035598705501618116
ggg,abd,knn,smote+pca,recall,0.2268041237113402
ggg,abi,knn,smote+pca,accuracy,0.8243924805135259
ggg,abi,knn,smote+pca,fscore,0.014113362167083997
ggg,abi,knn,smote+pca,precision,0.04240766073871409
ggg,abi,knn,smote+pca,recall,0.31958762886597936
ggg,asmt_stdnt,knn,smote+pca,accuracy,0.9016506189821184
ggg,asmt_stdnt,knn,smote+pca,fscore,0.006854009595613435
ggg,asmt_stdnt,knn,smote+pca,precision,0.04143646408839779
ggg,asmt_stdnt,knn,smote+pca,recall,0.15463917525773194
ggg,asmt_abd,knn,smote+pca,accuracy,0.8399816597890876
ggg,asmt_abd,knn,smote+pca,fscore,0.010943912448700409
ggg,asmt_abd,knn,smote+pca,precision,0.03697996918335902
ggg,asmt_abd,knn,smote+pca,recall,0.24742268041237114
ggg,asmt_abi,knn,smote+pca,accuracy,0.8175149014213663
ggg,asmt_abi,knn,smote+pca,fscore,0.01591994541733
ggg,asmt_abi,knn,smote+pca,precision,0.04551365409622887
ggg,asmt_abi,knn,smote+pca,recall,0.3608247422680412
ggg,stdnt_abd,knn,smote+pca,accuracy,0.8672627235213205
ggg,stdnt_abd,knn,smote+pca,fscore,0.010036496350364963
ggg,stdnt_abd,knn,smote+pca,precision,0.04182509505703422
ggg,stdnt_abd,knn,smote+pca,recall,0.2268041237113402
ggg,stdnt_abi,knn,smote+pca,accuracy,0.8668042182485098
ggg,stdnt_abi,knn,smote+pca,fscore,0.00821917808219178
ggg,stdnt_abi,knn,smote+pca,precision,0.03461538461538462
ggg,stdnt_abi,knn,smote+pca,recall,0.1855670103092784
ggg,asmt_stdnt_abd,knn,smote+pca,accuracy,0.8716185236130215
ggg,asmt_stdnt_abd,knn,smote+pca,fscore,0.010943912448700409
ggg,asmt_stdnt_abd,knn,smote+pca,precision,0.046966731898238745
ggg,asmt_stdnt_abd,knn,smote+pca,recall,0.24742268041237114
ggg,asmt_stdnt_abi,knn,smote+pca,accuracy,0.8670334708849152
ggg,asmt_stdnt_abi,knn,smote+pca,fscore,0.009128251939753538
ggg,asmt_stdnt_abi,knn,smote+pca,precision,0.03824091778202677
ggg,asmt_stdnt_abi,knn,smote+pca,recall,0.20618556701030927
