module,attributes,classifier,technique,metric,score
aaa,asmt,knn,smote,accuracy,0.7484745762711864
aaa,asmt,knn,smote,fscore,0.0054090601757944565
aaa,asmt,knn,smote,precision,0.0121580547112462
aaa,asmt,knn,smote,recall,0.08
aaa,stdnt,knn,smote,accuracy,0.7620338983050847
aaa,stdnt,knn,smote,fscore,0.02411252511721366
aaa,stdnt,knn,smote,precision,0.05341246290801187
aaa,stdnt,knn,smote,recall,0.36
aaa,abd,knn,smote,accuracy,0.7457627118644068
aaa,abd,knn,smote,fscore,0.026755852842809364
aaa,abd,knn,smote,precision,0.0547945205479452
aaa,abd,knn,smote,recall,0.4
aaa,abi,knn,smote,accuracy,0.7749152542372881
aaa,abi,knn,smote,fscore,0.03070761014686248
aaa,abi,knn,smote,precision,0.0701219512195122
aaa,abi,knn,smote,recall,0.46
aaa,asmt_stdnt,knn,smote,accuracy,0.8393220338983051
aaa,asmt_stdnt,knn,smote,fscore,0.022788203753351208
aaa,asmt_stdnt,knn,smote,precision,0.07692307692307693
aaa,asmt_stdnt,knn,smote,recall,0.34
aaa,asmt_abd,knn,smote,accuracy,0.7830508474576271
aaa,asmt_abd,knn,smote,fscore,0.029392117568470277
aaa,asmt_abd,knn,smote,precision,0.07006369426751592
aaa,asmt_abd,knn,smote,recall,0.44
aaa,asmt_abi,knn,smote,accuracy,0.7972881355932203
aaa,asmt_abi,knn,smote,fscore,0.03333333333333333
aaa,asmt_abi,knn,smote,precision,0.08361204013377926
aaa,asmt_abi,knn,smote,recall,0.5
aaa,stdnt_abd,knn,smote,accuracy,0.7694915254237288
aaa,stdnt_abd,knn,smote,fscore,0.025435073627844716
aaa,stdnt_abd,knn,smote,precision,0.057926829268292686
aaa,stdnt_abd,knn,smote,recall,0.38
aaa,stdnt_abi,knn,smote,accuracy,0.7979661016949152
aaa,stdnt_abi,knn,smote,fscore,0.028074866310160432
aaa,stdnt_abi,knn,smote,precision,0.07241379310344828
aaa,stdnt_abi,knn,smote,recall,0.42
aaa,asmt_stdnt_abd,knn,smote,accuracy,0.7884745762711864
aaa,asmt_stdnt_abd,knn,smote,fscore,0.022788203753351208
aaa,asmt_stdnt_abd,knn,smote,precision,0.057432432432432436
aaa,asmt_stdnt_abd,knn,smote,recall,0.34
aaa,asmt_stdnt_abi,knn,smote,accuracy,0.8101694915254237
aaa,asmt_stdnt_abi,knn,smote,fscore,0.025435073627844716
aaa,asmt_stdnt_abi,knn,smote,precision,0.0708955223880597
aaa,asmt_stdnt_abi,knn,smote,recall,0.38
