module,attributes,classifier,technique,metric,score
ccc,asmt,knn,smote,accuracy,0.2983402050956761
ccc,asmt,knn,smote,fscore,0.11573705179282867
ccc,asmt,knn,smote,precision,0.08284614287751317
ccc,asmt,knn,smote,recall,0.7391857506361323
ccc,stdnt,knn,smote,accuracy,0.6808330690347817
ccc,stdnt,knn,smote,fscore,0.06326781326781326
ccc,stdnt,knn,smote,precision,0.10838302350052613
ccc,stdnt,knn,smote,recall,0.3931297709923664
ccc,abd,knn,smote,accuracy,0.6261761285548155
ccc,abd,knn,smote,fscore,0.0772436223193414
ccc,abd,knn,smote,precision,0.10826210826210826
ccc,abd,knn,smote,recall,0.4834605597964377
ccc,abi,knn,smote,accuracy,0.6223702294111428
ccc,abi,knn,smote,fscore,0.08754549130610595
ccc,abi,knn,smote,precision,0.11856516976998906
ccc,abi,knn,smote,recall,0.5508905852417303
ccc,asmt_stdnt,knn,smote,accuracy,0.6647637170948303
ccc,asmt_stdnt,knn,smote,fscore,0.060686827268067664
ccc,asmt_stdnt,knn,smote,precision,0.09942895532415184
ccc,asmt_stdnt,knn,smote,recall,0.3765903307888041
ccc,asmt_abd,knn,smote,accuracy,0.6226873876731156
ccc,asmt_abd,knn,smote,fscore,0.08017048914146539
ccc,asmt_abd,knn,smote,precision,0.1105513574027428
ccc,asmt_abd,knn,smote,recall,0.5025445292620865
ccc,asmt_abi,knn,smote,accuracy,0.6318849772703246
ccc,asmt_abi,knn,smote,fscore,0.0840591452298967
ccc,asmt_abi,knn,smote,precision,0.11769710720363018
ccc,asmt_abi,knn,smote,recall,0.5279898218829516
ccc,stdnt_abd,knn,smote,accuracy,0.5875885400148008
ccc,stdnt_abd,knn,smote,fscore,0.08812531581606872
ccc,stdnt_abd,knn,smote,precision,0.10935540506646603
ccc,stdnt_abd,knn,smote,recall,0.55470737913486
ccc,stdnt_abi,knn,smote,accuracy,0.5870599429115129
ccc,stdnt_abi,knn,smote,fscore,0.08793208004851426
ccc,stdnt_abi,knn,smote,precision,0.10902255639097744
ccc,stdnt_abi,knn,smote,recall,0.5534351145038168
ccc,asmt_stdnt_abd,knn,smote,accuracy,0.6004863093350249
ccc,asmt_stdnt_abd,knn,smote,fscore,0.08773880521580915
ccc,asmt_stdnt_abd,knn,smote,precision,0.1124061124061124
ccc,asmt_stdnt_abd,knn,smote,recall,0.5521628498727735
ccc,asmt_stdnt_abi,knn,smote,accuracy,0.5941431440955703
ccc,asmt_stdnt_abi,knn,smote,fscore,0.08754549130610595
ccc,asmt_stdnt_abi,knn,smote,precision,0.1104873692268436
ccc,asmt_stdnt_abi,knn,smote,recall,0.5508905852417303
