module,attributes,classifier,technique,metric,score
fff,asmt,knn,smote,accuracy,0.7703961175236097
fff,asmt,knn,smote,fscore,0.023718488756399456
fff,asmt,knn,smote,precision,0.050664451827242524
fff,asmt,knn,smote,recall,0.7176470588235294
fff,stdnt,knn,smote,accuracy,0.8535545645330536
fff,stdnt,knn,smote,fscore,0.007057900927983271
fff,stdnt,knn,smote,precision,0.02588686481303931
fff,stdnt,knn,smote,recall,0.21176470588235294
fff,abd,knn,smote,accuracy,0.8427990556138509
fff,abd,knn,smote,fscore,0.01497103430319599
fff,abd,knn,smote,precision,0.048482293423271504
fff,abd,knn,smote,recall,0.4509803921568628
fff,abi,knn,smote,accuracy,0.8787381951731374
fff,abi,knn,smote,fscore,0.015616866215512754
fff,abi,knn,smote,precision,0.06543075245365322
fff,abi,knn,smote,recall,0.4705882352941176
fff,asmt_stdnt,knn,smote,accuracy,0.9011673662119624
fff,asmt_stdnt,knn,smote,fscore,0.008879603029511622
fff,asmt_stdnt,knn,smote,precision,0.04899135446685879
fff,asmt_stdnt,knn,smote,recall,0.26666666666666666
fff,asmt_abd,knn,smote,accuracy,0.8570304302203567
fff,asmt_abd,knn,smote,fscore,0.016907270126154245
fff,asmt_abd,knn,smote,precision,0.059496567505720827
fff,asmt_abd,knn,smote,recall,0.5098039215686274
fff,asmt_abi,knn,smote,accuracy,0.8366998950682056
fff,asmt_abi,knn,smote,fscore,0.016778305261104246
fff,asmt_abi,knn,smote,precision,0.05174488567990373
fff,asmt_abi,knn,smote,recall,0.5058823529411764
fff,stdnt_abd,knn,smote,accuracy,0.8230587618048268
fff,stdnt_abd,knn,smote,fscore,0.015616866215512754
fff,stdnt_abd,knn,smote,precision,0.0447260529258293
fff,stdnt_abd,knn,smote,recall,0.4705882352941176
fff,stdnt_abi,knn,smote,accuracy,0.86549055613851
fff,stdnt_abi,knn,smote,fscore,0.011735558742991264
fff,stdnt_abi,knn,smote,precision,0.04554655870445344
fff,stdnt_abi,knn,smote,recall,0.35294117647058826
fff,asmt_stdnt_abd,knn,smote,accuracy,0.8366998950682056
fff,asmt_stdnt_abd,knn,smote,fscore,0.018453541260558804
fff,asmt_stdnt_abd,knn,smote,precision,0.056371576022231036
fff,asmt_stdnt_abd,knn,smote,recall,0.5568627450980392
fff,asmt_stdnt_abi,knn,smote,accuracy,0.8668677859391396
fff,asmt_stdnt_abi,knn,smote,fscore,0.01716514954486346
fff,asmt_stdnt_abi,knn,smote,precision,0.06473761647866601
fff,asmt_stdnt_abi,knn,smote,recall,0.5176470588235295
