module,attributes,classifier,technique,metric,score
aaa,asmt,nb,base,accuracy,0.9661016949152542
aaa,asmt,nb,base,fscore,0.0
aaa,asmt,nb,base,precision,0.0
aaa,asmt,nb,base,recall,0.0
aaa,stdnt,nb,base,accuracy,0.3389830508474576
aaa,stdnt,nb,base,fscore,0.05408970976253298
aaa,stdnt,nb,base,precision,0.0407149950347567
aaa,stdnt,nb,base,recall,0.82
aaa,abd,nb,base,accuracy,0.3505084745762712
aaa,abd,nb,base,fscore,0.057932850559578676
aaa,abd,nb,base,precision,0.04417670682730924
aaa,abd,nb,base,recall,0.88
aaa,abi,nb,base,accuracy,0.4528813559322034
aaa,abi,nb,base,fscore,0.052805280528052806
aaa,abi,nb,base,precision,0.04778972520908005
aaa,abi,nb,base,recall,0.8
aaa,asmt_stdnt,nb,base,accuracy,0.3410169491525424
aaa,asmt_stdnt,nb,base,fscore,0.05408970976253298
aaa,asmt_stdnt,nb,base,precision,0.04083665338645418
aaa,asmt_stdnt,nb,base,recall,0.82
aaa,asmt_abd,nb,base,accuracy,0.3511864406779661
aaa,asmt_abd,nb,base,fscore,0.057932850559578676
aaa,asmt_abd,nb,base,precision,0.044221105527638194
aaa,asmt_abd,nb,base,recall,0.88
aaa,asmt_abi,nb,base,accuracy,0.4535593220338983
aaa,asmt_abi,nb,base,fscore,0.052805280528052806
aaa,asmt_abi,nb,base,precision,0.04784688995215311
aaa,asmt_abi,nb,base,recall,0.8
aaa,stdnt_abd,nb,base,accuracy,0.3064406779661017
aaa,stdnt_abd,nb,base,fscore,0.05665349143610012
aaa,stdnt_abd,nb,base,precision,0.04060434372049103
aaa,stdnt_abd,nb,base,recall,0.86
aaa,stdnt_abi,nb,base,accuracy,0.3735593220338983
aaa,stdnt_abi,nb,base,fscore,0.052805280528052806
aaa,stdnt_abi,nb,base,precision,0.0419287211740042
aaa,stdnt_abi,nb,base,recall,0.8
aaa,asmt_stdnt_abd,nb,base,accuracy,0.30915254237288137
aaa,asmt_stdnt_abd,nb,base,fscore,0.05665349143610012
aaa,asmt_stdnt_abd,nb,base,precision,0.040758293838862564
aaa,asmt_stdnt_abd,nb,base,recall,0.86
aaa,asmt_stdnt_abi,nb,base,accuracy,0.3755932203389831
aaa,asmt_stdnt_abi,nb,base,fscore,0.052805280528052806
aaa,asmt_stdnt_abi,nb,base,precision,0.04206098843322818
aaa,asmt_stdnt_abi,nb,base,recall,0.8
