module,attributes,classifier,technique,metric,score
bbb,asmt,nb,base,accuracy,0.8853485838779956
bbb,asmt,nb,base,fscore,0.0
bbb,asmt,nb,base,precision,0.0
bbb,asmt,nb,base,recall,0.0
bbb,stdnt,nb,base,accuracy,0.8587962962962963
bbb,stdnt,nb,base,fscore,0.012987012987012988
bbb,stdnt,nb,base,precision,0.16494845360824742
bbb,stdnt,nb,base,recall,0.05700712589073635
bbb,abd,nb,base,accuracy,0.7623910675381264
bbb,abd,nb,base,fscore,0.06558672461477677
bbb,abd,nb,base,precision,0.1777301927194861
bbb,abd,nb,base,recall,0.2957244655581948
bbb,abi,nb,base,accuracy,0.8187636165577342
bbb,abi,nb,base,fscore,0.047068209014758666
bbb,abi,nb,base,precision,0.2099644128113879
bbb,abi,nb,base,recall,0.21021377672209027
bbb,asmt_stdnt,nb,base,accuracy,0.8073257080610022
bbb,asmt_stdnt,nb,base,fscore,0.012449255751014885
bbb,asmt_stdnt,nb,base,precision,0.06917293233082708
bbb,asmt_stdnt,nb,base,recall,0.05463182897862233
bbb,asmt_abd,nb,base,accuracy,0.7429193899782135
bbb,asmt_abd,nb,base,fscore,0.061757719714964375
bbb,asmt_abd,nb,base,precision,0.15455746367239098
bbb,asmt_abd,nb,base,recall,0.27790973871733965
bbb,asmt_abi,nb,base,accuracy,0.8133169934640523
bbb,asmt_abi,nb,base,fscore,0.045769026077700906
bbb,asmt_abi,nb,base,precision,0.1970217640320733
bbb,asmt_abi,nb,base,recall,0.2042755344418052
bbb,stdnt_abd,nb,base,accuracy,0.778322440087146
bbb,stdnt_abd,nb,base,fscore,0.0519893899204244
bbb,stdnt_abd,nb,base,precision,0.16638370118845497
bbb,stdnt_abd,nb,base,recall,0.2327790973871734
bbb,stdnt_abi,nb,base,accuracy,0.8257080610021786
bbb,stdnt_abi,nb,base,fscore,0.04238304678128749
bbb,stdnt_abi,nb,base,precision,0.21031746031746032
bbb,stdnt_abi,nb,base,recall,0.18883610451306407
bbb,asmt_stdnt_abd,nb,base,accuracy,0.7604847494553377
bbb,asmt_stdnt_abd,nb,base,fscore,0.048365665692266815
bbb,asmt_stdnt_abd,nb,base,precision,0.14207650273224046
bbb,asmt_stdnt_abd,nb,base,recall,0.2161520190023753
bbb,asmt_stdnt_abi,nb,base,accuracy,0.8197167755991286
bbb,asmt_stdnt_abi,nb,base,fscore,0.04055496264674493
bbb,asmt_stdnt_abi,nb,base,precision,0.19338422391857507
bbb,asmt_stdnt_abi,nb,base,recall,0.18052256532066507
