module,attributes,classifier,technique,metric,score
ddd,asmt,nb,base,accuracy,0.9348480288895576
ddd,asmt,nb,base,fscore,0.0
ddd,asmt,nb,base,precision,0.0
ddd,asmt,nb,base,recall,0.0
ddd,stdnt,nb,base,accuracy,0.8618718025880229
ddd,stdnt,nb,base,fscore,0.01523070031357324
ddd,stdnt,nb,base,precision,0.0868824531516184
ddd,stdnt,nb,base,recall,0.11778290993071595
ddd,abd,nb,base,accuracy,0.3018356906409871
ddd,abd,nb,base,fscore,0.11300397501419647
ddd,abd,nb,base,precision,0.0795522686388167
ddd,abd,nb,base,recall,0.9191685912240184
ddd,abi,nb,base,accuracy,0.2372855853144749
ddd,abi,nb,base,fscore,0.11434245992339337
ddd,abi,nb,base,precision,0.07405365674384418
ddd,abi,nb,base,recall,0.930715935334873
ddd,asmt_stdnt,nb,base,accuracy,0.8733072524826964
ddd,asmt_stdnt,nb,base,fscore,0.01434120107559008
ddd,asmt_stdnt,nb,base,precision,0.09504950495049504
ddd,asmt_stdnt,nb,base,recall,0.11085450346420324
ddd,asmt_abd,nb,base,accuracy,0.30740294914234123
ddd,asmt_abd,nb,base,fscore,0.11300397501419647
ddd,asmt_abd,nb,base,precision,0.0801449859041482
ddd,asmt_abd,nb,base,recall,0.9191685912240184
ddd,asmt_abi,nb,base,accuracy,0.24510984050556725
ddd,asmt_abi,nb,base,fscore,0.11434245992339337
ddd,asmt_abi,nb,base,precision,0.07476808905380332
ddd,asmt_abi,nb,base,recall,0.930715935334873
ddd,stdnt_abd,nb,base,accuracy,0.3165814023472765
ddd,stdnt_abd,nb,base,fscore,0.1121999715949439
ddd,stdnt_abd,nb,base,precision,0.08062869973463972
ddd,stdnt_abd,nb,base,recall,0.9122401847575058
ddd,stdnt_abi,nb,base,accuracy,0.2521817634667469
ddd,stdnt_abi,nb,base,fscore,0.11380729388392224
ddd,stdnt_abi,nb,base,precision,0.07510769807079977
ddd,stdnt_abi,nb,base,recall,0.9260969976905312
ddd,asmt_stdnt_abd,nb,base,accuracy,0.3233523924164911
ddd,asmt_stdnt_abd,nb,base,fscore,0.1121999715949439
ddd,asmt_stdnt_abd,nb,base,precision,0.08137618459002884
ddd,asmt_stdnt_abd,nb,base,recall,0.9122401847575058
ddd,asmt_stdnt_abi,nb,base,accuracy,0.25850135419801384
ddd,asmt_stdnt_abi,nb,base,fscore,0.11380729388392224
ddd,asmt_stdnt_abi,nb,base,precision,0.07570322824240136
ddd,asmt_stdnt_abi,nb,base,recall,0.9260969976905312
