module,attributes,classifier,technique,metric,score
eee,asmt,nb,base,accuracy,0.9853990914990266
eee,asmt,nb,base,fscore,0.0
eee,asmt,nb,base,precision,0.0
eee,asmt,nb,base,recall,0.0
eee,stdnt,nb,base,accuracy,0.15704088254380272
eee,stdnt,nb,base,fscore,0.02752
eee,stdnt,nb,base,precision,0.0162940507768094
eee,stdnt,nb,base,recall,0.9555555555555556
eee,abd,nb,base,accuracy,0.5921479558728099
eee,abd,nb,base,fscore,0.02372555306187881
eee,abd,nb,base,precision,0.02877138413685848
eee,abd,nb,base,recall,0.8222222222222222
eee,abi,nb,base,accuracy,0.6917585983127839
eee,abi,nb,base,fscore,0.02245749117741418
eee,abi,nb,base,precision,0.035897435897435895
eee,abi,nb,base,recall,0.7777777777777778
eee,asmt_stdnt,nb,base,accuracy,0.2501622323166775
eee,asmt_stdnt,nb,base,fscore,0.026256804354787062
eee,asmt_stdnt,nb,base,precision,0.017461669505962518
eee,asmt_stdnt,nb,base,recall,0.9111111111111112
eee,asmt_abd,nb,base,accuracy,0.6035042180402336
eee,asmt_abd,nb,base,fscore,0.02309172546504169
eee,asmt_abd,nb,base,precision,0.028823058446757407
eee,asmt_abd,nb,base,recall,0.8
eee,asmt_abi,nb,base,accuracy,0.7047371836469825
eee,asmt_abi,nb,base,fscore,0.021822849807445442
eee,asmt_abi,nb,base,precision,0.03644158628081458
eee,asmt_abi,nb,base,recall,0.7555555555555555
eee,stdnt_abd,nb,base,accuracy,0.508760545100584
eee,stdnt_abd,nb,base,fscore,0.02562459961563101
eee,stdnt_abd,nb,base,precision,0.02582311168495804
eee,stdnt_abd,nb,base,recall,0.8888888888888888
eee,stdnt_abi,nb,base,accuracy,0.49091499026606106
eee,stdnt_abi,nb,base,fscore,0.026256804354787062
eee,stdnt_abi,nb,base,precision,0.025529265255292654
eee,stdnt_abi,nb,base,recall,0.9111111111111112
eee,asmt_stdnt_abd,nb,base,accuracy,0.5133030499675535
eee,asmt_stdnt_abd,nb,base,fscore,0.02562459961563101
eee,asmt_stdnt_abd,nb,base,precision,0.026058631921824102
eee,asmt_stdnt_abd,nb,base,recall,0.8888888888888888
eee,asmt_stdnt_abi,nb,base,accuracy,0.5191434133679429
eee,asmt_stdnt_abi,nb,base,fscore,0.02562459961563101
eee,asmt_stdnt_abi,nb,base,precision,0.026367831245880026
eee,asmt_stdnt_abi,nb,base,recall,0.8888888888888888
