module,attributes,classifier,technique,metric,score
ggg,asmt,nb,base,accuracy,0.977762494268684
ggg,asmt,nb,base,fscore,0.0
ggg,asmt,nb,base,precision,0.0
ggg,asmt,nb,base,recall,0.0
ggg,stdnt,nb,base,accuracy,0.19990829894543788
ggg,stdnt,nb,base,fscore,0.0408713227037952
ggg,stdnt,nb,base,precision,0.025454545454545452
ggg,stdnt,nb,base,recall,0.9381443298969072
ggg,abd,nb,base,accuracy,0.925951398441082
ggg,abd,nb,base,fscore,0.0027472527472527475
ggg,abd,nb,base,precision,0.025210084033613446
ggg,abd,nb,base,recall,0.061855670103092786
ggg,abi,nb,base,accuracy,0.5206327372764786
ggg,abi,nb,base,fscore,0.0315884476534296
ggg,abi,nb,base,precision,0.03280224929709466
ggg,abi,nb,base,recall,0.7216494845360825
ggg,asmt_stdnt,nb,base,accuracy,0.20816139385602933
ggg,asmt_stdnt,nb,base,fscore,0.041311180960934
ggg,asmt_stdnt,nb,base,precision,0.025981361197401864
ggg,asmt_stdnt,nb,base,recall,0.9484536082474226
ggg,asmt_abd,nb,base,accuracy,0.9211370930765704
ggg,asmt_abd,nb,base,fscore,0.0032043945983062485
ggg,asmt_abd,nb,base,precision,0.02681992337164751
ggg,asmt_abd,nb,base,recall,0.07216494845360824
ggg,asmt_abi,nb,base,accuracy,0.5103163686382394
ggg,asmt_abi,nb,base,fscore,0.033363390441839495
ggg,asmt_abi,nb,base,precision,0.03383630544124371
ggg,asmt_abi,nb,base,recall,0.7628865979381443
ggg,stdnt_abd,nb,base,accuracy,0.4138010087116002
ggg,stdnt_abd,nb,base,fscore,0.03734533183352081
ggg,stdnt_abd,nb,base,precision,0.031607006854531605
ggg,stdnt_abd,nb,base,recall,0.8556701030927835
ggg,stdnt_abi,nb,base,accuracy,0.3851444291609353
ggg,stdnt_abi,nb,base,fscore,0.039550561797752806
ggg,stdnt_abi,nb,base,precision,0.03187250996015936
ggg,stdnt_abi,nb,base,recall,0.9072164948453608
ggg,asmt_stdnt_abd,nb,base,accuracy,0.4287024300779459
ggg,asmt_stdnt_abd,nb,base,fscore,0.03734533183352081
ggg,asmt_stdnt_abd,nb,base,precision,0.032409215150331905
ggg,asmt_stdnt_abd,nb,base,recall,0.8556701030927835
ggg,asmt_stdnt_abi,nb,base,accuracy,0.3842274186153141
ggg,asmt_stdnt_abi,nb,base,fscore,0.039550561797752806
ggg,asmt_stdnt_abi,nb,base,precision,0.03182640144665461
ggg,asmt_stdnt_abi,nb,base,recall,0.9072164948453608
