module,attributes,classifier,technique,metric,score
aaa,asmt,nb,ae,accuracy,0.9661016949152542
aaa,asmt,nb,ae,fscore,0.0
aaa,asmt,nb,ae,precision,0.0
aaa,asmt,nb,ae,recall,0.0
aaa,stdnt,nb,ae,accuracy,0.9566101694915254
aaa,stdnt,nb,ae,fscore,0.0027081922816519968
aaa,stdnt,nb,ae,precision,0.1111111111111111
aaa,stdnt,nb,ae,recall,0.04
aaa,abd,nb,ae,accuracy,0.2494915254237288
aaa,abd,nb,ae,fscore,0.057932850559578676
aaa,abd,nb,ae,precision,0.038427947598253284
aaa,abd,nb,ae,recall,0.88
aaa,abi,nb,ae,accuracy,0.3559322033898305
aaa,abi,nb,ae,fscore,0.05921052631578948
aaa,abi,nb,ae,precision,0.045454545454545456
aaa,abi,nb,ae,recall,0.9
aaa,asmt_stdnt,nb,ae,accuracy,0.9661016949152542
aaa,asmt_stdnt,nb,ae,fscore,0.0
aaa,asmt_stdnt,nb,ae,precision,0.0
aaa,asmt_stdnt,nb,ae,recall,0.0
aaa,asmt_abd,nb,ae,accuracy,0.9030508474576272
aaa,asmt_abd,nb,ae,fscore,0.006756756756756757
aaa,asmt_abd,nb,ae,precision,0.04854368932038835
aaa,asmt_abd,nb,ae,recall,0.1
aaa,asmt_abi,nb,ae,accuracy,0.7111864406779661
aaa,asmt_abi,nb,ae,fscore,0.03070761014686248
aaa,asmt_abi,nb,ae,precision,0.05450236966824645
aaa,asmt_abi,nb,ae,recall,0.46
aaa,stdnt_abd,nb,ae,accuracy,0.9593220338983052
aaa,stdnt_abd,nb,ae,fscore,0.0040595399188092015
aaa,stdnt_abd,nb,ae,precision,0.1875
aaa,stdnt_abd,nb,ae,recall,0.06
aaa,stdnt_abi,nb,ae,accuracy,0.4433898305084746
aaa,stdnt_abi,nb,ae,fscore,0.052805280528052806
aaa,stdnt_abi,nb,ae,precision,0.04700352526439483
aaa,stdnt_abi,nb,ae,recall,0.8
aaa,asmt_stdnt_abd,nb,ae,accuracy,0.32949152542372884
aaa,asmt_stdnt_abd,nb,ae,fscore,0.060486522024983565
aaa,asmt_stdnt_abd,nb,ae,precision,0.0446168768186227
aaa,asmt_stdnt_abd,nb,ae,recall,0.92
aaa,asmt_stdnt_abi,nb,ae,accuracy,0.8779661016949153
aaa,asmt_stdnt_abi,nb,ae,fscore,0.01747311827956989
aaa,asmt_stdnt_abi,nb,ae,precision,0.08333333333333333
aaa,asmt_stdnt_abi,nb,ae,recall,0.26
