module,attributes,classifier,technique,metric,score
ddd,asmt,nb,ae,accuracy,0.9348480288895576
ddd,asmt,nb,ae,fscore,0.0
ddd,asmt,nb,ae,precision,0.0
ddd,asmt,nb,ae,recall,0.0
ddd,stdnt,nb,ae,accuracy,0.9219079145350588
ddd,stdnt,nb,ae,fscore,0.0039044901636882414
ddd,stdnt,nb,ae,precision,0.11607142857142858
ddd,stdnt,nb,ae,recall,0.030023094688221712
ddd,abd,nb,ae,accuracy,0.1679205537165212
ddd,abd,nb,ae,fscore,0.11808013591958093
ddd,abd,nb,ae,precision,0.0703085483055134
ddd,abd,nb,ae,recall,0.9630484988452656
ddd,abi,nb,ae,accuracy,0.3025880228708998
ddd,abi,nb,ae,fscore,0.09951386903059764
ddd,abi,nb,ae,precision,0.07104940792160065
ddd,abi,nb,ae,recall,0.8036951501154734
ddd,asmt_stdnt,nb,ae,accuracy,0.9348480288895576
ddd,asmt_stdnt,nb,ae,fscore,0.0
ddd,asmt_stdnt,nb,ae,precision,0.0
ddd,asmt_stdnt,nb,ae,recall,0.0
ddd,asmt_abd,nb,ae,accuracy,0.3365934396629552
ddd,asmt_abd,nb,ae,fscore,0.11085844229675952
ddd,asmt_abd,nb,ae,precision,0.08200168208578637
ddd,asmt_abd,nb,ae,recall,0.9006928406466512
ddd,asmt_abi,nb,ae,accuracy,0.8582606078844418
ddd,asmt_abi,nb,ae,fscore,0.03981713611561717
ddd,asmt_abi,nb,ae,precision,0.17329910141206675
ddd,asmt_abi,nb,ae,recall,0.3117782909930716
ddd,stdnt_abd,nb,ae,accuracy,0.8915136924465844
ddd,stdnt_abd,nb,ae,fscore,0.01434120107559008
ddd,stdnt_abd,nb,ae,precision,0.125
ddd,stdnt_abd,nb,ae,recall,0.11085450346420324
ddd,stdnt_abi,nb,ae,accuracy,0.8537466145049654
ddd,stdnt_abi,nb,ae,fscore,0.022023809523809525
ddd,stdnt_abi,nb,ae,precision,0.10771470160116448
ddd,stdnt_abi,nb,ae,recall,0.17090069284064666
ddd,asmt_stdnt_abd,nb,ae,accuracy,0.11044237135118867
ddd,asmt_stdnt_abd,nb,ae,fscore,0.12074084546868373
ddd,asmt_stdnt_abd,nb,ae,precision,0.06742460129480499
ddd,asmt_stdnt_abd,nb,ae,recall,0.9861431870669746
ddd,asmt_stdnt_abi,nb,ae,accuracy,0.9348480288895576
ddd,asmt_stdnt_abi,nb,ae,fscore,0.0
ddd,asmt_stdnt_abi,nb,ae,precision,0.0
ddd,asmt_stdnt_abi,nb,ae,recall,0.0
