module,attributes,classifier,technique,metric,score
eee,asmt,nb,ae,accuracy,0.9853990914990266
eee,asmt,nb,ae,fscore,0.0
eee,asmt,nb,ae,precision,0.0
eee,asmt,nb,ae,recall,0.0
eee,stdnt,nb,ae,accuracy,0.9795587280986372
eee,stdnt,nb,ae,fscore,0.002592352559948153
eee,stdnt,nb,ae,precision,0.15384615384615385
eee,stdnt,nb,ae,recall,0.08888888888888889
eee,abd,nb,ae,accuracy,0.3114860480207657
eee,abd,nb,ae,fscore,0.02688860435339309
eee,abd,nb,ae,precision,0.01943544655252198
eee,abd,nb,ae,recall,0.9333333333333332
eee,abi,nb,ae,accuracy,0.9853990914990266
eee,abi,nb,ae,fscore,0.0
eee,abi,nb,ae,precision,0.0
eee,abi,nb,ae,recall,0.0
eee,asmt_stdnt,nb,ae,accuracy,0.9756651524983776
eee,asmt_stdnt,nb,ae,fscore,0.0
eee,asmt_stdnt,nb,ae,precision,0.0
eee,asmt_stdnt,nb,ae,recall,0.0
eee,asmt_abd,nb,ae,accuracy,0.32673588578844903
eee,asmt_abd,nb,ae,fscore,0.026256804354787062
eee,asmt_abd,nb,ae,precision,0.019412878787878788
eee,asmt_abd,nb,ae,recall,0.9111111111111112
eee,asmt_abi,nb,ae,accuracy,0.5123296560674886
eee,asmt_abi,nb,ae,fscore,0.024991989746876
eee,asmt_abi,nb,ae,precision,0.025390625
eee,asmt_abi,nb,ae,recall,0.8666666666666667
eee,stdnt_abd,nb,ae,accuracy,0.9523036988968202
eee,stdnt_abd,nb,ae,fscore,0.003886010362694301
eee,stdnt_abd,nb,ae,precision,0.05263157894736842
eee,stdnt_abd,nb,ae,recall,0.13333333333333333
eee,stdnt_abi,nb,ae,accuracy,0.872160934458144
eee,stdnt_abi,nb,ae,fscore,0.012894906511927788
eee,stdnt_abi,nb,ae,precision,0.05141388174807198
eee,stdnt_abi,nb,ae,recall,0.4444444444444444
eee,asmt_stdnt_abd,nb,ae,accuracy,0.14925373134328354
eee,asmt_stdnt_abd,nb,ae,fscore,0.02752
eee,asmt_stdnt_abd,nb,ae,precision,0.016147202403304545
eee,asmt_stdnt_abd,nb,ae,recall,0.9555555555555556
eee,asmt_stdnt_abi,nb,ae,accuracy,0.3303049967553537
eee,asmt_stdnt_abi,nb,ae,fscore,0.02815099168266155
eee,asmt_stdnt_abi,nb,ae,precision,0.0208827717133365
eee,asmt_stdnt_abi,nb,ae,recall,0.9777777777777776
