module,attributes,classifier,technique,metric,score
fff,asmt,nb,ae,accuracy,0.9832764952780692
fff,asmt,nb,ae,fscore,0.0
fff,asmt,nb,ae,precision,0.0
fff,asmt,nb,ae,recall,0.0
fff,stdnt,nb,ae,accuracy,0.9692418677859392
fff,stdnt,nb,ae,fscore,0.0013107877834578582
fff,stdnt,nb,ae,precision,0.042735042735042736
fff,stdnt,nb,ae,recall,0.0392156862745098
fff,abd,nb,ae,accuracy,0.9832764952780692
fff,abd,nb,ae,fscore,0.0
fff,abd,nb,ae,precision,0.0
fff,abd,nb,ae,recall,0.0
fff,abi,nb,ae,accuracy,0.934155299055614
fff,abi,nb,ae,fscore,0.0005245213742460005
fff,abi,nb,ae,precision,0.005284015852047556
fff,abi,nb,ae,recall,0.015686274509803918
fff,asmt_stdnt,nb,ae,accuracy,0.9243179433368309
fff,asmt_stdnt,nb,ae,fscore,0.0067973856209150325
fff,asmt_stdnt,nb,ae,precision,0.0518444666001994
fff,asmt_stdnt,nb,ae,recall,0.20392156862745095
fff,asmt_abd,nb,ae,accuracy,0.9786857292759706
fff,asmt_abd,nb,ae,fscore,0.0003934168251262213
fff,asmt_abd,nb,ae,precision,0.03947368421052632
fff,asmt_abd,nb,ae,recall,0.011764705882352941
fff,asmt_abi,nb,ae,accuracy,0.9469438614900316
fff,asmt_abi,nb,ae,fscore,0.0009177318911832188
fff,asmt_abi,nb,ae,precision,0.01232394366197183
fff,asmt_abi,nb,ae,recall,0.027450980392156862
fff,stdnt_abd,nb,ae,accuracy,0.9832764952780692
fff,stdnt_abd,nb,ae,fscore,0.0
fff,stdnt_abd,nb,ae,precision,0.0
fff,stdnt_abd,nb,ae,recall,0.0
fff,stdnt_abi,nb,ae,accuracy,0.9662250786988458
fff,stdnt_abi,nb,ae,fscore,0.0002622950819672132
fff,stdnt_abi,nb,ae,precision,0.007575757575757577
fff,stdnt_abi,nb,ae,recall,0.007843137254901959
fff,asmt_stdnt_abd,nb,ae,accuracy,0.978357817418678
fff,asmt_stdnt_abd,nb,ae,fscore,0.0001311561413863204
fff,asmt_stdnt_abd,nb,ae,precision,0.012987012987012988
fff,asmt_stdnt_abd,nb,ae,recall,0.0039215686274509795
fff,asmt_stdnt_abi,nb,ae,accuracy,0.9521248688352572
fff,asmt_stdnt_abi,nb,ae,fscore,0.003273751063969096
fff,asmt_stdnt_abi,nb,ae,precision,0.047619047619047616
fff,asmt_stdnt_abi,nb,ae,recall,0.09803921568627452
