module,attributes,classifier,technique,metric,score
ggg,asmt,nb,ae,accuracy,0.977762494268684
ggg,asmt,nb,ae,fscore,0.0
ggg,asmt,nb,ae,precision,0.0
ggg,asmt,nb,ae,recall,0.0
ggg,stdnt,nb,ae,accuracy,0.977762494268684
ggg,stdnt,nb,ae,fscore,0.0
ggg,stdnt,nb,ae,precision,0.0
ggg,stdnt,nb,ae,recall,0.0
ggg,abd,nb,ae,accuracy,0.94612563044475
ggg,abd,nb,ae,fscore,0.0018323408153916628
ggg,abd,nb,ae,precision,0.0273972602739726
ggg,abd,nb,ae,recall,0.041237113402061855
ggg,abi,nb,ae,accuracy,0.6918844566712518
ggg,abi,nb,ae,fscore,0.026244343891402715
ggg,abi,nb,ae,precision,0.0425531914893617
ggg,abi,nb,ae,recall,0.5979381443298969
ggg,asmt_stdnt,nb,ae,accuracy,0.977762494268684
ggg,asmt_stdnt,nb,ae,fscore,0.0
ggg,asmt_stdnt,nb,ae,precision,0.0
ggg,asmt_stdnt,nb,ae,recall,0.0
ggg,asmt_abd,nb,ae,accuracy,0.9507106831728565
ggg,asmt_abd,nb,ae,fscore,0.002289901534234028
ggg,asmt_abd,nb,ae,precision,0.0390625
ggg,asmt_abd,nb,ae,recall,0.05154639175257732
ggg,asmt_abi,nb,ae,accuracy,0.3796423658872077
ggg,asmt_abi,nb,ae,fscore,0.034692498310430274
ggg,asmt_abi,nb,ae,precision,0.027868259138617443
ggg,asmt_abi,nb,ae,recall,0.7938144329896907
ggg,stdnt_abd,nb,ae,accuracy,0.9397065566254011
ggg,stdnt_abd,nb,ae,fscore,0.0018323408153916628
ggg,stdnt_abd,nb,ae,precision,0.02298850574712644
ggg,stdnt_abd,nb,ae,recall,0.041237113402061855
ggg,stdnt_abi,nb,ae,accuracy,0.1192113709307657
ggg,stdnt_abi,nb,ae,fscore,0.039550561797752806
ggg,stdnt_abi,nb,ae,precision,0.022443254271869426
ggg,stdnt_abi,nb,ae,recall,0.9072164948453608
ggg,asmt_stdnt_abd,nb,ae,accuracy,0.11714809720311785
ggg,asmt_stdnt_abd,nb,ae,fscore,0.041311180960934
ggg,asmt_stdnt_abd,nb,ae,precision,0.02336211274758761
ggg,asmt_stdnt_abd,nb,ae,recall,0.9484536082474226
ggg,asmt_stdnt_abi,nb,ae,accuracy,0.9571297569922054
ggg,asmt_stdnt_abi,nb,ae,fscore,0.0
ggg,asmt_stdnt_abi,nb,ae,precision,0.0
ggg,asmt_stdnt_abi,nb,ae,recall,0.0
