module,attributes,classifier,technique,metric,score
aaa,asmt,nb,kmeans,accuracy,0.9661016949152542
aaa,asmt,nb,kmeans,fscore,0.0
aaa,asmt,nb,kmeans,precision,0.0
aaa,asmt,nb,kmeans,recall,0.0
aaa,stdnt,nb,kmeans,accuracy,0.8766101694915254
aaa,stdnt,nb,kmeans,fscore,0.0040595399188092015
aaa,stdnt,nb,kmeans,precision,0.021739130434782608
aaa,stdnt,nb,kmeans,recall,0.06
aaa,abd,nb,kmeans,accuracy,0.35322033898305083
aaa,abd,nb,kmeans,fscore,0.057932850559578676
aaa,abd,nb,kmeans,precision,0.04435483870967742
aaa,abd,nb,kmeans,recall,0.88
aaa,abi,nb,kmeans,accuracy,0.4542372881355932
aaa,abi,nb,kmeans,fscore,0.052805280528052806
aaa,abi,nb,kmeans,precision,0.04790419161676647
aaa,abi,nb,kmeans,recall,0.8
aaa,asmt_stdnt,nb,kmeans,accuracy,0.7030508474576271
aaa,asmt_stdnt,nb,kmeans,fscore,0.028074866310160432
aaa,asmt_stdnt,nb,kmeans,precision,0.04883720930232558
aaa,asmt_stdnt,nb,kmeans,recall,0.42
aaa,asmt_abd,nb,kmeans,accuracy,0.3647457627118644
aaa,asmt_abd,nb,kmeans,fscore,0.055372445616348055
aaa,asmt_abd,nb,kmeans,precision,0.04325437693099897
aaa,asmt_abd,nb,kmeans,recall,0.84
aaa,asmt_abi,nb,kmeans,accuracy,0.5403389830508475
aaa,asmt_abi,nb,kmeans,fscore,0.04765056254136334
aaa,asmt_abi,nb,kmeans,precision,0.051428571428571435
aaa,asmt_abi,nb,kmeans,recall,0.72
aaa,stdnt_abd,nb,kmeans,accuracy,0.6183050847457627
aaa,stdnt_abd,nb,kmeans,fscore,0.039867109634551486
aaa,stdnt_abd,nb,kmeans,precision,0.052356020942408384
aaa,stdnt_abd,nb,kmeans,recall,0.6
aaa,stdnt_abi,nb,kmeans,accuracy,0.6447457627118645
aaa,stdnt_abi,nb,kmeans,fscore,0.039867109634551486
aaa,stdnt_abi,nb,kmeans,precision,0.05617977528089888
aaa,stdnt_abi,nb,kmeans,recall,0.6
aaa,asmt_stdnt_abd,nb,kmeans,accuracy,0.6745762711864407
aaa,asmt_stdnt_abd,nb,kmeans,fscore,0.037258815701929474
aaa,asmt_stdnt_abd,nb,kmeans,precision,0.05761316872427984
aaa,asmt_stdnt_abd,nb,kmeans,recall,0.56
aaa,asmt_stdnt_abi,nb,kmeans,accuracy,0.6745762711864407
aaa,asmt_stdnt_abi,nb,kmeans,fscore,0.039867109634551486
aaa,asmt_stdnt_abi,nb,kmeans,precision,0.061224489795918366
aaa,asmt_stdnt_abi,nb,kmeans,recall,0.6
