module,attributes,classifier,technique,metric,score
ccc,asmt,nb,kmeans,accuracy,0.9169045353631462
ccc,asmt,nb,kmeans,fscore,0.0
ccc,asmt,nb,kmeans,precision,0.0
ccc,asmt,nb,kmeans,recall,0.0
ccc,stdnt,nb,kmeans,accuracy,0.27835923459139444
ccc,stdnt,nb,kmeans,fscore,0.12544589774078474
ccc,stdnt,nb,kmeans,precision,0.08664111689022723
ccc,stdnt,nb,kmeans,recall,0.8053435114503816
ccc,abd,nb,kmeans,accuracy,0.5376889734644255
ccc,abd,nb,kmeans,fscore,0.1049784633877592
ccc,abd,nb,kmeans,precision,0.11305285868392664
ccc,abd,nb,kmeans,recall,0.6666666666666666
ccc,abi,nb,kmeans,accuracy,0.5277513479226134
ccc,abi,nb,kmeans,fscore,0.11291770573566084
ccc,abi,nb,kmeans,precision,0.11759817161853316
ccc,abi,nb,kmeans,recall,0.7201017811704835
ccc,asmt_stdnt,nb,kmeans,accuracy,0.2864996299820277
ccc,asmt_stdnt,nb,kmeans,fscore,0.1183608514024269
ccc,asmt_stdnt,nb,kmeans,precision,0.08318188172794631
ccc,asmt_stdnt,nb,kmeans,recall,0.7569974554707379
ccc,asmt_abd,nb,kmeans,accuracy,0.4329210275927688
ccc,asmt_abd,nb,kmeans,fscore,0.10763228968690608
ccc,asmt_abd,nb,kmeans,precision,0.0951538733639901
ccc,asmt_abd,nb,kmeans,recall,0.6844783715012722
ccc,asmt_abi,nb,kmeans,accuracy,0.6095781795115762
ccc,asmt_abi,nb,kmeans,fscore,0.07214918985019872
ccc,asmt_abi,nb,kmeans,precision,0.0979253112033195
ccc,asmt_abi,nb,kmeans,recall,0.450381679389313
ccc,stdnt_abd,nb,kmeans,accuracy,0.3699122528808542
ccc,stdnt_abd,nb,kmeans,fscore,0.12284183369716213
ccc,stdnt_abd,nb,kmeans,precision,0.09653774173424827
ccc,stdnt_abd,nb,kmeans,recall,0.7875318066157758
ccc,stdnt_abi,nb,kmeans,accuracy,0.4771117454276351
ccc,stdnt_abi,nb,kmeans,fscore,0.1110334498252621
ccc,stdnt_abi,nb,kmeans,precision,0.1054628224582701
ccc,stdnt_abi,nb,kmeans,recall,0.7073791348600509
ccc,asmt_stdnt_abd,nb,kmeans,accuracy,0.43905275399090815
ccc,asmt_stdnt_abd,nb,kmeans,fscore,0.1023171832681312
ccc,asmt_stdnt_abd,nb,kmeans,precision,0.092057761732852
ccc,asmt_stdnt_abd,nb,kmeans,recall,0.648854961832061
ccc,asmt_stdnt_abi,nb,kmeans,accuracy,0.4604080769637383
ccc,asmt_stdnt_abi,nb,kmeans,fscore,0.11254115534271177
ccc,asmt_stdnt_abi,nb,kmeans,precision,0.1035622475211164
ccc,asmt_stdnt_abi,nb,kmeans,recall,0.7175572519083969
