module,attributes,classifier,technique,metric,score
fff,asmt,nb,kmeans,accuracy,0.9832764952780692
fff,asmt,nb,kmeans,fscore,0.0
fff,asmt,nb,kmeans,precision,0.0
fff,asmt,nb,kmeans,recall,0.0
fff,stdnt,nb,kmeans,accuracy,0.617392444910808
fff,stdnt,nb,kmeans,fscore,0.011346592761656341
fff,stdnt,nb,kmeans,precision,0.01512254475925604
fff,stdnt,nb,kmeans,recall,0.3411764705882353
fff,abd,nb,kmeans,accuracy,0.4857030430220357
fff,abd,nb,kmeans,fscore,0.026404348951592032
fff,abd,nb,kmeans,precision,0.025515947467166983
fff,abd,nb,kmeans,recall,0.8
fff,abi,nb,kmeans,accuracy,0.5192156348373557
fff,abi,nb,kmeans,fscore,0.026532064971202998
fff,abi,nb,kmeans,precision,0.02738445097515362
fff,abi,nb,kmeans,recall,0.8039215686274509
fff,asmt_stdnt,nb,kmeans,accuracy,0.6490687303252886
fff,asmt_stdnt,nb,kmeans,fscore,0.0214104976318692
fff,asmt_stdnt,nb,kmeans,precision,0.03040914117213417
fff,asmt_stdnt,nb,kmeans,recall,0.6470588235294118
fff,asmt_abd,nb,kmeans,accuracy,0.2087486883525708
fff,asmt_abd,nb,kmeans,fscore,0.03022865262885932
fff,asmt_abd,nb,kmeans,precision,0.01905847857957322
fff,asmt_abd,nb,kmeans,recall,0.9176470588235294
fff,asmt_abi,nb,kmeans,accuracy,0.612998426023085
fff,asmt_abi,nb,kmeans,fscore,0.02691511387163561
fff,asmt_abi,nb,kmeans,precision,0.034312108215110534
fff,asmt_abi,nb,kmeans,recall,0.8156862745098039
fff,stdnt_abd,nb,kmeans,accuracy,0.534693074501574
fff,stdnt_abd,nb,kmeans,fscore,0.02499838093387734
fff,stdnt_abd,nb,kmeans,precision,0.02670910600608912
fff,stdnt_abd,nb,kmeans,recall,0.7568627450980392
fff,stdnt_abi,nb,kmeans,accuracy,0.7997114375655824
fff,stdnt_abi,nb,kmeans,fscore,0.017036218219650172
fff,stdnt_abi,nb,kmeans,precision,0.042796471741261034
fff,stdnt_abi,nb,kmeans,recall,0.5137254901960784
fff,asmt_stdnt_abd,nb,kmeans,accuracy,0.3817549842602309
fff,asmt_stdnt_abd,nb,kmeans,fscore,0.02921028822541036
fff,asmt_stdnt_abd,nb,kmeans,precision,0.023482959268495432
fff,asmt_stdnt_abd,nb,kmeans,recall,0.8862745098039215
fff,asmt_stdnt_abi,nb,kmeans,accuracy,0.3045645330535152
fff,asmt_stdnt_abi,nb,kmeans,fscore,0.02997416020671835
fff,asmt_stdnt_abi,nb,kmeans,precision,0.02145565522981596
fff,asmt_stdnt_abi,nb,kmeans,recall,0.9098039215686274
