module,attributes,classifier,technique,metric,score
ccc,asmt,nb,pca,accuracy,0.9169045353631462
ccc,asmt,nb,pca,fscore,0.0
ccc,asmt,nb,pca,precision,0.0
ccc,asmt,nb,pca,recall,0.0
ccc,stdnt,nb,pca,accuracy,0.9169045353631462
ccc,stdnt,nb,pca,fscore,0.0
ccc,stdnt,nb,pca,precision,0.0
ccc,stdnt,nb,pca,recall,0.0
ccc,abd,nb,pca,accuracy,0.3693836557775663
ccc,abd,nb,pca,fscore,0.13210900473933648
ccc,abd,nb,pca,precision,0.1026545956728556
ccc,abd,nb,pca,recall,0.8511450381679391
ccc,abi,nb,pca,accuracy,0.384395813510942
ccc,abi,nb,pca,fscore,0.1295234328653352
ccc,abi,nb,pca,precision,0.10319836143059713
ccc,abi,nb,pca,recall,0.8333333333333334
ccc,asmt_stdnt,nb,pca,accuracy,0.9162702188392008
ccc,asmt_stdnt,nb,pca,fscore,0.00042278828876440123
ccc,asmt_stdnt,nb,pca,precision,0.2
ccc,asmt_stdnt,nb,pca,recall,0.002544529262086514
ccc,asmt_abd,nb,pca,accuracy,0.4616767100116291
ccc,asmt_abd,nb,pca,fscore,0.11197604790419162
ccc,asmt_abd,nb,pca,precision,0.1033529845246868
ccc,asmt_abd,nb,pca,recall,0.7137404580152672
ccc,asmt_abi,nb,pca,accuracy,0.4428586531345808
ccc,asmt_abi,nb,pca,fscore,0.1196700129211808
ccc,asmt_abi,nb,pca,precision,0.1058368495077356
ccc,asmt_abi,nb,pca,recall,0.7659033078880407
ccc,stdnt_abd,nb,pca,accuracy,0.4064911724283751
ccc,stdnt_abd,nb,pca,fscore,0.12544589774078474
ccc,stdnt_abd,nb,pca,precision,0.10387266163439447
ccc,stdnt_abd,nb,pca,recall,0.8053435114503816
ccc,stdnt_abi,nb,pca,accuracy,0.4213976107410932
ccc,stdnt_abi,nb,pca,fscore,0.1265597147950089
ccc,stdnt_abi,nb,pca,precision,0.10712489522212908
ccc,stdnt_abi,nb,pca,recall,0.8129770992366412
ccc,asmt_stdnt_abd,nb,pca,accuracy,0.4964583994079713
ccc,asmt_stdnt_abd,nb,pca,fscore,0.1083891610838916
ccc,asmt_stdnt_abd,nb,pca,precision,0.10709345979055522
ccc,asmt_stdnt_abd,nb,pca,recall,0.6895674300254453
ccc,asmt_stdnt_abi,nb,pca,accuracy,0.4759488318004018
ccc,asmt_stdnt_abi,nb,pca,fscore,0.11498605021921085
ccc,asmt_stdnt_abi,nb,pca,precision,0.10835680751173707
ccc,asmt_stdnt_abi,nb,pca,recall,0.7340966921119593
