module,attributes,classifier,technique,metric,score
fff,asmt,nb,pca,accuracy,0.9832764952780692
fff,asmt,nb,pca,fscore,0.0
fff,asmt,nb,pca,precision,0.0
fff,asmt,nb,pca,recall,0.0
fff,stdnt,nb,pca,accuracy,0.9685860440713536
fff,stdnt,nb,pca,fscore,0.0015727391874180866
fff,stdnt,nb,pca,precision,0.04838709677419355
fff,stdnt,nb,pca,recall,0.047058823529411764
fff,abd,nb,pca,accuracy,0.9585519412381952
fff,abd,nb,pca,fscore,0.009789205769105266
fff,abd,nb,pca,precision,0.14231499051233396
fff,abd,nb,pca,recall,0.29411764705882354
fff,abi,nb,pca,accuracy,0.980259706190976
fff,abi,nb,pca,fscore,0.0001311561413863204
fff,abi,nb,pca,precision,0.02083333333333333
fff,abi,nb,pca,recall,0.0039215686274509795
fff,asmt_stdnt,nb,pca,accuracy,0.9695041972717734
fff,asmt_stdnt,nb,pca,fscore,0.002881466928618206
fff,asmt_stdnt,nb,pca,precision,0.08661417322834647
fff,asmt_stdnt,nb,pca,recall,0.08627450980392158
fff,asmt_abd,nb,pca,accuracy,0.8795907660020986
fff,asmt_abd,nb,pca,fscore,0.018711018711018712
fff,asmt_abd,nb,pca,precision,0.07704654895666131
fff,asmt_abd,nb,pca,recall,0.5647058823529412
fff,asmt_abi,nb,pca,accuracy,0.9732423924449108
fff,asmt_abi,nb,pca,fscore,0.0006556087327083197
fff,asmt_abi,nb,pca,precision,0.030674846625766868
fff,asmt_abi,nb,pca,recall,0.0196078431372549
fff,stdnt_abd,nb,pca,accuracy,0.9701600209863588
fff,stdnt_abd,nb,pca,fscore,0.003273751063969096
fff,stdnt_abd,nb,pca,precision,0.1
fff,stdnt_abd,nb,pca,recall,0.09803921568627452
fff,stdnt_abi,nb,pca,accuracy,0.9737670514165792
fff,stdnt_abi,nb,pca,fscore,0.0009177318911832188
fff,stdnt_abi,nb,pca,precision,0.0440251572327044
fff,stdnt_abi,nb,pca,recall,0.027450980392156862
fff,asmt_stdnt_abd,nb,pca,accuracy,0.9390739769150052
fff,asmt_stdnt_abd,nb,pca,fscore,0.011216903612886395
fff,asmt_stdnt_abd,nb,pca,precision,0.1016548463356974
fff,asmt_stdnt_abd,nb,pca,recall,0.33725490196078434
fff,asmt_stdnt_abi,nb,pca,accuracy,0.9655036726128016
fff,asmt_stdnt_abi,nb,pca,fscore,0.0026198585276395073
fff,asmt_stdnt_abi,nb,pca,precision,0.06430868167202572
fff,asmt_stdnt_abi,nb,pca,recall,0.0784313725490196
