module,attributes,classifier,technique,metric,score
ggg,asmt,nb,pca,accuracy,0.977762494268684
ggg,asmt,nb,pca,fscore,0.0
ggg,asmt,nb,pca,precision,0.0
ggg,asmt,nb,pca,recall,0.0
ggg,stdnt,nb,pca,accuracy,0.9401650618982118
ggg,stdnt,nb,pca,fscore,0.0032043945983062485
ggg,stdnt,nb,pca,precision,0.03932584269662921
ggg,stdnt,nb,pca,recall,0.07216494845360824
ggg,abd,nb,pca,accuracy,0.9433745988078864
ggg,abd,nb,pca,fscore,0.0027472527472527475
ggg,abd,nb,pca,precision,0.037037037037037035
ggg,abd,nb,pca,recall,0.061855670103092786
ggg,abi,nb,pca,accuracy,0.9747822099954151
ggg,abi,nb,pca,fscore,0.0
ggg,abi,nb,pca,precision,0.0
ggg,abi,nb,pca,recall,0.0
ggg,asmt_stdnt,nb,pca,accuracy,0.9403943145346172
ggg,asmt_stdnt,nb,pca,fscore,0.0032043945983062485
ggg,asmt_stdnt,nb,pca,precision,0.03954802259887006
ggg,asmt_stdnt,nb,pca,recall,0.07216494845360824
ggg,asmt_abd,nb,pca,accuracy,0.950252177900046
ggg,asmt_abd,nb,pca,fscore,0.002289901534234028
ggg,asmt_abd,nb,pca,precision,0.038461538461538464
ggg,asmt_abd,nb,pca,recall,0.05154639175257732
ggg,asmt_abi,nb,pca,accuracy,0.9738651994497936
ggg,asmt_abi,nb,pca,fscore,0.0
ggg,asmt_abi,nb,pca,precision,0.0
ggg,asmt_abi,nb,pca,recall,0.0
ggg,stdnt_abd,nb,pca,accuracy,0.9060064190738194
ggg,stdnt_abd,nb,pca,fscore,0.006398537477148082
ggg,stdnt_abd,nb,pca,precision,0.04105571847507331
ggg,stdnt_abd,nb,pca,recall,0.14432989690721648
ggg,stdnt_abi,nb,pca,accuracy,0.9442916093535076
ggg,stdnt_abi,nb,pca,fscore,0.003661327231121281
ggg,stdnt_abi,nb,pca,precision,0.04938271604938271
ggg,stdnt_abi,nb,pca,recall,0.08247422680412371
ggg,asmt_stdnt_abd,nb,pca,accuracy,0.9138010087116002
ggg,asmt_stdnt_abd,nb,pca,fscore,0.005942857142857143
ggg,asmt_stdnt_abd,nb,pca,precision,0.04262295081967213
ggg,asmt_stdnt_abd,nb,pca,recall,0.13402061855670105
ggg,asmt_stdnt_abi,nb,pca,accuracy,0.9491059147180192
ggg,asmt_stdnt_abi,nb,pca,fscore,0.003661327231121281
ggg,asmt_stdnt_abi,nb,pca,precision,0.056737588652482275
ggg,asmt_stdnt_abi,nb,pca,recall,0.08247422680412371
