module,attributes,classifier,technique,metric,score
aaa,asmt,nb,smote+ae,accuracy,0.6203389830508474
aaa,asmt,nb,smote+ae,fscore,0.021462105969148226
aaa,asmt,nb,smote+ae,precision,0.029520295202952032
aaa,asmt,nb,smote+ae,recall,0.32
aaa,stdnt,nb,smote+ae,accuracy,0.5410169491525424
aaa,stdnt,nb,smote+ae,fscore,0.04376657824933687
aaa,stdnt,nb,smote+ae,precision,0.047619047619047616
aaa,stdnt,nb,smote+ae,recall,0.66
aaa,abd,nb,smote+ae,accuracy,0.27661016949152545
aaa,abd,nb,smote+ae,fscore,0.06176084099868594
aaa,abd,nb,smote+ae,precision,0.0423042304230423
aaa,abd,nb,smote+ae,recall,0.94
aaa,abi,nb,smote+ae,accuracy,0.31322033898305085
aaa,abi,nb,smote+ae,fscore,0.060486522024983565
aaa,abi,nb,smote+ae,precision,0.04360189573459716
aaa,abi,nb,smote+ae,recall,0.92
aaa,asmt_stdnt,nb,smote+ae,accuracy,0.7898305084745763
aaa,asmt_stdnt,nb,smote+ae,fscore,0.0054090601757944565
aaa,asmt_stdnt,nb,smote+ae,precision,0.01492537313432836
aaa,asmt_stdnt,nb,smote+ae,recall,0.08
aaa,asmt_abd,nb,smote+ae,accuracy,0.3816949152542373
aaa,asmt_abd,nb,smote+ae,fscore,0.057932850559578676
aaa,asmt_abd,nb,smote+ae,precision,0.04631578947368421
aaa,asmt_abd,nb,smote+ae,recall,0.88
aaa,asmt_abi,nb,smote+ae,accuracy,0.2908474576271187
aaa,asmt_abi,nb,smote+ae,fscore,0.06430446194225722
aaa,asmt_abi,nb,smote+ae,precision,0.04478976234003657
aaa,asmt_abi,nb,smote+ae,recall,0.98
aaa,stdnt_abd,nb,smote+ae,accuracy,0.336271186440678
aaa,stdnt_abd,nb,smote+ae,fscore,0.055372445616348055
aaa,stdnt_abd,nb,smote+ae,precision,0.04146100691016782
aaa,stdnt_abd,nb,smote+ae,recall,0.84
aaa,stdnt_abi,nb,smote+ae,accuracy,0.3383050847457627
aaa,stdnt_abi,nb,smote+ae,fscore,0.06303348653972422
aaa,stdnt_abi,nb,smote+ae,precision,0.046966731898238745
aaa,stdnt_abi,nb,smote+ae,recall,0.96
aaa,asmt_stdnt_abd,nb,smote+ae,accuracy,0.3701694915254237
aaa,asmt_stdnt_abd,nb,smote+ae,fscore,0.05921052631578948
aaa,asmt_stdnt_abd,nb,smote+ae,precision,0.04643962848297214
aaa,asmt_stdnt_abd,nb,smote+ae,recall,0.9
aaa,asmt_stdnt_abi,nb,smote+ae,accuracy,0.4284745762711865
aaa,asmt_stdnt_abi,nb,smote+ae,fscore,0.057932850559578676
aaa,asmt_stdnt_abi,nb,smote+ae,precision,0.04994324631101021
aaa,asmt_stdnt_abi,nb,smote+ae,recall,0.88
