module,attributes,classifier,technique,metric,score
ccc,asmt,nb,smote+ae,accuracy,0.4384184374669627
ccc,asmt,nb,smote+ae,fscore,0.0894768733589174
ccc,asmt,nb,smote+ae,precision,0.08185513673318551
ccc,asmt,nb,smote+ae,recall,0.5636132315521628
ccc,stdnt,nb,smote+ae,accuracy,0.4776403425309229
ccc,stdnt,nb,smote+ae,fscore,0.08773880521580915
ccc,stdnt,nb,smote+ae,precision,0.08640254827792156
ccc,stdnt,nb,smote+ae,recall,0.5521628498727735
ccc,abd,nb,smote+ae,accuracy,0.2647214293265673
ccc,abd,nb,smote+ae,fscore,0.13689186527476854
ccc,abd,nb,smote+ae,precision,0.0919433787538034
ccc,abd,nb,smote+ae,recall,0.8842239185750637
ccc,abi,nb,smote+ae,accuracy,0.25235225710963105
ccc,abi,nb,smote+ae,fscore,0.14456649666535895
ccc,abi,nb,smote+ae,precision,0.09497422680412372
ccc,abi,nb,smote+ae,recall,0.9376590330788804
ccc,asmt_stdnt,nb,smote+ae,accuracy,0.4623110265355746
ccc,asmt_stdnt,nb,smote+ae,fscore,0.08561020036429873
ccc,asmt_stdnt,nb,smote+ae,precision,0.08219976680917218
ccc,asmt_stdnt,nb,smote+ae,recall,0.5381679389312977
ccc,asmt_abd,nb,smote+ae,accuracy,0.2398773654720372
ccc,asmt_abd,nb,smote+ae,fscore,0.14256259204712812
ccc,asmt_abd,nb,smote+ae,precision,0.09241344195519348
ccc,asmt_abd,nb,smote+ae,recall,0.9236641221374046
ccc,asmt_abi,nb,smote+ae,accuracy,0.2432603869330796
ccc,asmt_abi,nb,smote+ae,fscore,0.1409198113207547
ccc,asmt_abi,nb,smote+ae,precision,0.09185242121445042
ccc,asmt_abi,nb,smote+ae,recall,0.9122137404580152
ccc,stdnt_abd,nb,smote+ae,accuracy,0.2315255312400888
ccc,stdnt_abd,nb,smote+ae,fscore,0.14110248599783826
ccc,stdnt_abd,nb,smote+ae,precision,0.09066801363808563
ccc,stdnt_abd,nb,smote+ae,recall,0.9134860050890584
ccc,stdnt_abi,nb,smote+ae,accuracy,0.29220847869753674
ccc,stdnt_abi,nb,smote+ae,fscore,0.13358326756116812
ccc,stdnt_abi,nb,smote+ae,precision,0.09321217127908578
ccc,stdnt_abi,nb,smote+ae,recall,0.861323155216285
ccc,asmt_stdnt_abd,nb,smote+ae,accuracy,0.16608520985304998
ccc,asmt_stdnt_abd,nb,smote+ae,fscore,0.14711067580803133
ccc,asmt_stdnt_abd,nb,smote+ae,precision,0.08728498372849837
ccc,asmt_stdnt_abd,nb,smote+ae,recall,0.9554707379134859
ccc,asmt_stdnt_abi,nb,smote+ae,accuracy,0.2844909609895338
ccc,asmt_stdnt_abi,nb,smote+ae,fscore,0.13762551683402244
ccc,asmt_stdnt_abi,nb,smote+ae,precision,0.09471544715447154
ccc,asmt_stdnt_abi,nb,smote+ae,recall,0.8893129770992366
