module,attributes,classifier,technique,metric,score
ddd,asmt,nb,smote+ae,accuracy,0.9348480288895576
ddd,asmt,nb,smote+ae,fscore,0.0
ddd,asmt,nb,smote+ae,precision,0.0
ddd,asmt,nb,smote+ae,recall,0.0
ddd,stdnt,nb,smote+ae,accuracy,0.41603972314173937
ddd,stdnt,nb,smote+ae,fscore,0.08913168487636572
ddd,stdnt,nb,smote+ae,precision,0.07620452310717797
ddd,stdnt,nb,smote+ae,recall,0.7159353348729792
ddd,abd,nb,smote+ae,accuracy,0.13451700270839606
ddd,abd,nb,smote+ae,fscore,0.12047511312217195
ddd,abd,nb,smote+ae,precision,0.06903257170636849
ddd,abd,nb,smote+ae,recall,0.9838337182448036
ddd,abi,nb,smote+ae,accuracy,0.17077941619018958
ddd,abi,nb,smote+ae,fscore,0.11674695381127798
ddd,abi,nb,smote+ae,precision,0.06980684513724161
ddd,abi,nb,smote+ae,recall,0.9515011547344112
ddd,asmt_stdnt,nb,smote+ae,accuracy,0.34366536262413483
ddd,asmt_stdnt,nb,smote+ae,fscore,0.10439247005134056
ddd,asmt_stdnt,nb,smote+ae,precision,0.07852392190517056
ddd,asmt_stdnt,nb,smote+ae,recall,0.8452655889145496
ddd,asmt_abd,nb,smote+ae,accuracy,0.17619620824556126
ddd,asmt_abd,nb,smote+ae,fscore,0.1151446398184912
ddd,asmt_abd,nb,smote+ae,precision,0.06935428766655279
ddd,asmt_abd,nb,smote+ae,recall,0.9376443418013856
ddd,asmt_abi,nb,smote+ae,accuracy,0.14158892566957568
ddd,asmt_abi,nb,smote+ae,fscore,0.1151446398184912
ddd,asmt_abi,nb,smote+ae,precision,0.06673241288625904
ddd,asmt_abi,nb,smote+ae,recall,0.9376443418013856
ddd,stdnt_abd,nb,smote+ae,accuracy,0.15844116761962082
ddd,stdnt_abd,nb,smote+ae,fscore,0.1178136505239309
ddd,stdnt_abd,nb,smote+ae,precision,0.06942590120160214
ddd,stdnt_abd,nb,smote+ae,recall,0.9607390300230948
ddd,stdnt_abi,nb,smote+ae,accuracy,0.10532651218778212
ddd,stdnt_abi,nb,smote+ae,fscore,0.12127208480565373
ddd,stdnt_abi,nb,smote+ae,precision,0.06733636791712448
ddd,stdnt_abi,nb,smote+ae,recall,0.9907621247113164
ddd,asmt_stdnt_abd,nb,smote+ae,accuracy,0.19590731266927475
ddd,asmt_stdnt_abd,nb,smote+ae,fscore,0.1170137413231336
ddd,asmt_stdnt_abd,nb,smote+ae,precision,0.07198884434373366
ddd,asmt_stdnt_abd,nb,smote+ae,recall,0.9538106235565821
ddd,asmt_stdnt_abi,nb,smote+ae,accuracy,0.17785133915136925
ddd,asmt_stdnt_abi,nb,smote+ae,fscore,0.11300397501419647
ddd,asmt_stdnt_abi,nb,smote+ae,precision,0.06830272867684915
ddd,asmt_stdnt_abi,nb,smote+ae,recall,0.9191685912240184
