module,attributes,classifier,technique,metric,score
fff,asmt,nb,smote+ae,accuracy,0.5636149003147953
fff,asmt,nb,smote+ae,fscore,0.02997416020671835
fff,asmt,nb,smote+ae,precision,0.03380445869153431
fff,asmt,nb,smote+ae,recall,0.9098039215686274
fff,stdnt,nb,smote+ae,accuracy,0.26882214060860443
fff,stdnt,nb,smote+ae,fscore,0.026787447428016826
fff,stdnt,nb,smote+ae,precision,0.01830562433675274
fff,stdnt,nb,smote+ae,recall,0.8117647058823529
fff,abd,nb,smote+ae,accuracy,0.1966159496327387
fff,abd,nb,smote+ae,fscore,0.030483079307672436
fff,abd,nb,smote+ae,precision,0.018929975134354696
fff,abd,nb,smote+ae,recall,0.9254901960784314
fff,abi,nb,smote+ae,accuracy,0.18349947534102834
fff,abi,nb,smote+ae,fscore,0.02971960201576431
fff,abi,nb,smote+ae,precision,0.01817463453180561
fff,abi,nb,smote+ae,recall,0.9019607843137256
fff,asmt_stdnt,nb,smote+ae,accuracy,0.5684024134312696
fff,asmt_stdnt,nb,smote+ae,fscore,0.0298468893339363
fff,asmt_stdnt,nb,smote+ae,precision,0.03403064230995875
fff,asmt_stdnt,nb,smote+ae,recall,0.9058823529411764
fff,asmt_abd,nb,smote+ae,accuracy,0.42720356768100737
fff,asmt_abd,nb,smote+ae,fscore,0.030101414637297333
fff,asmt_abd,nb,smote+ae,precision,0.026048071548351037
fff,asmt_abd,nb,smote+ae,recall,0.9137254901960784
fff,asmt_abi,nb,smote+ae,accuracy,0.1540529905561385
fff,asmt_abi,nb,smote+ae,fscore,0.03035587418458955
fff,asmt_abi,nb,smote+ae,precision,0.017919780387372273
fff,asmt_abi,nb,smote+ae,recall,0.9215686274509804
fff,stdnt_abd,nb,smote+ae,accuracy,0.28023347324239245
fff,stdnt_abd,nb,smote+ae,fscore,0.03111885854477371
fff,stdnt_abd,nb,smote+ae,precision,0.021514015354401
fff,stdnt_abd,nb,smote+ae,recall,0.9450980392156862
fff,stdnt_abi,nb,smote+ae,accuracy,0.1979931794333683
fff,stdnt_abi,nb,smote+ae,fscore,0.03022865262885932
fff,stdnt_abi,nb,smote+ae,precision,0.01880726571290789
fff,stdnt_abi,nb,smote+ae,recall,0.9176470588235294
fff,asmt_stdnt_abd,nb,smote+ae,accuracy,0.18631951731374607
fff,asmt_stdnt_abd,nb,smote+ae,fscore,0.031627186471309625
fff,asmt_stdnt_abd,nb,smote+ae,precision,0.01937984496124031
fff,asmt_stdnt_abd,nb,smote+ae,recall,0.9607843137254902
fff,asmt_stdnt_abi,nb,smote+ae,accuracy,0.4566500524658972
fff,asmt_stdnt_abi,nb,smote+ae,fscore,0.030610268001291574
fff,asmt_stdnt_abi,nb,smote+ae,precision,0.027869238005644403
fff,asmt_stdnt_abi,nb,smote+ae,recall,0.9294117647058824
