module,attributes,classifier,technique,metric,score
ggg,asmt,nb,smote+ae,accuracy,0.6286107290233838
ggg,asmt,nb,smote+ae,fscore,0.022217184311947403
ggg,asmt,nb,smote+ae,precision,0.030228254164096236
ggg,asmt,nb,smote+ae,recall,0.5051546391752577
ggg,stdnt,nb,smote+ae,accuracy,0.33723062815222377
ggg,stdnt,nb,smote+ae,fscore,0.03380662609871535
ggg,stdnt,nb,smote+ae,precision,0.025475543478260868
ggg,stdnt,nb,smote+ae,recall,0.7731958762886598
ggg,abd,nb,smote+ae,accuracy,0.1082072443833104
ggg,abd,nb,smote+ae,fscore,0.04043126684636118
ggg,abd,nb,smote+ae,precision,0.022652907123080795
ggg,abd,nb,smote+ae,recall,0.9278350515463918
ggg,abi,nb,smote+ae,accuracy,0.3885832187070151
ggg,abi,nb,smote+ae,fscore,0.036019810895992786
ggg,abi,nb,smote+ae,precision,0.029304029304029307
ggg,abi,nb,smote+ae,recall,0.8247422680412371
ggg,asmt_stdnt,nb,smote+ae,accuracy,0.07932141219624025
ggg,asmt_stdnt,nb,smote+ae,fscore,0.04306864064602961
ggg,asmt_stdnt,nb,smote+ae,precision,0.023351982486013136
ggg,asmt_stdnt,nb,smote+ae,recall,0.9896907216494846
ggg,asmt_abd,nb,smote+ae,accuracy,0.1893626776707932
ggg,asmt_abd,nb,smote+ae,fscore,0.037786774628879895
ggg,asmt_abd,nb,smote+ae,precision,0.023288051011921263
ggg,asmt_abd,nb,smote+ae,recall,0.865979381443299
ggg,asmt_abi,nb,smote+ae,accuracy,0.3551123337918386
ggg,asmt_abi,nb,smote+ae,fscore,0.03646185010128292
ggg,asmt_abi,nb,smote+ae,precision,0.028144544822793608
ggg,asmt_abi,nb,smote+ae,recall,0.8350515463917526
ggg,stdnt_abd,nb,smote+ae,accuracy,0.26043099495644195
ggg,stdnt_abd,nb,smote+ae,fscore,0.036019810895992786
ggg,stdnt_abd,nb,smote+ae,precision,0.024323502584372148
ggg,stdnt_abd,nb,smote+ae,recall,0.8247422680412371
ggg,stdnt_abi,nb,smote+ae,accuracy,0.2365887207702889
ggg,stdnt_abi,nb,smote+ae,fscore,0.037786774628879895
ggg,stdnt_abi,nb,smote+ae,precision,0.024698618053513668
ggg,stdnt_abi,nb,smote+ae,recall,0.865979381443299
ggg,asmt_stdnt_abd,nb,smote+ae,accuracy,0.2730398899587345
ggg,asmt_stdnt_abd,nb,smote+ae,fscore,0.03646185010128292
ggg,asmt_stdnt_abd,nb,smote+ae,precision,0.02503090234857849
ggg,asmt_stdnt_abd,nb,smote+ae,recall,0.8350515463917526
ggg,asmt_stdnt_abi,nb,smote+ae,accuracy,0.3223292067858781
ggg,asmt_stdnt_abi,nb,smote+ae,fscore,0.035577572618779564
ggg,asmt_stdnt_abi,nb,smote+ae,precision,0.026184951939012262
ggg,asmt_stdnt_abi,nb,smote+ae,recall,0.8144329896907216
