module,attributes,classifier,technique,metric,score
aaa,asmt,nb,smote+kmeans,accuracy,0.4379661016949152
aaa,asmt,nb,smote+kmeans,fscore,0.04765056254136334
aaa,asmt,nb,smote+kmeans,precision,0.04230317273795535
aaa,asmt,nb,smote+kmeans,recall,0.72
aaa,stdnt,nb,smote+kmeans,accuracy,0.551864406779661
aaa,stdnt,nb,smote+kmeans,fscore,0.022788203753351208
aaa,stdnt,nb,smote+kmeans,precision,0.026356589147286818
aaa,stdnt,nb,smote+kmeans,recall,0.34
aaa,abd,nb,smote+kmeans,accuracy,0.4305084745762712
aaa,abd,nb,smote+kmeans,fscore,0.05151915455746367
aaa,abd,nb,smote+kmeans,precision,0.04493087557603687
aaa,abd,nb,smote+kmeans,recall,0.78
aaa,abi,nb,smote+kmeans,accuracy,0.5816949152542373
aaa,abi,nb,smote+kmeans,fscore,0.045062955599734916
aaa,abi,nb,smote+kmeans,precision,0.053543307086614166
aaa,abi,nb,smote+kmeans,recall,0.68
aaa,asmt_stdnt,nb,smote+kmeans,accuracy,0.6440677966101694
aaa,asmt_stdnt,nb,smote+kmeans,fscore,0.032021347565043365
aaa,asmt_stdnt,nb,smote+kmeans,precision,0.045889101338432124
aaa,asmt_stdnt,nb,smote+kmeans,recall,0.48
aaa,asmt_abd,nb,smote+kmeans,accuracy,0.5037288135593221
aaa,asmt_abd,nb,smote+kmeans,fscore,0.05151915455746367
aaa,asmt_abd,nb,smote+kmeans,precision,0.05131578947368421
aaa,asmt_abd,nb,smote+kmeans,recall,0.78
aaa,asmt_abi,nb,smote+kmeans,accuracy,0.5993220338983051
aaa,asmt_abi,nb,smote+kmeans,fscore,0.0424684804246848
aaa,asmt_abi,nb,smote+kmeans,precision,0.052892561983471066
aaa,asmt_abi,nb,smote+kmeans,recall,0.64
aaa,stdnt_abd,nb,smote+kmeans,accuracy,0.6101694915254238
aaa,stdnt_abd,nb,smote+kmeans,fscore,0.03333333333333333
aaa,stdnt_abd,nb,smote+kmeans,precision,0.043478260869565216
aaa,stdnt_abd,nb,smote+kmeans,recall,0.5
aaa,stdnt_abi,nb,smote+kmeans,accuracy,0.6420338983050847
aaa,stdnt_abi,nb,smote+kmeans,fscore,0.038563829787234036
aaa,stdnt_abi,nb,smote+kmeans,precision,0.054104477611940295
aaa,stdnt_abi,nb,smote+kmeans,recall,0.58
aaa,asmt_stdnt_abd,nb,smote+kmeans,accuracy,0.568135593220339
aaa,asmt_stdnt_abd,nb,smote+kmeans,fscore,0.037258815701929474
aaa,asmt_stdnt_abd,nb,smote+kmeans,precision,0.04354587869362364
aaa,asmt_stdnt_abd,nb,smote+kmeans,recall,0.56
aaa,asmt_stdnt_abi,nb,smote+kmeans,accuracy,0.6474576271186441
aaa,asmt_stdnt_abi,nb,smote+kmeans,fscore,0.03333333333333333
aaa,asmt_stdnt_abi,nb,smote+kmeans,precision,0.04807692307692308
aaa,asmt_stdnt_abi,nb,smote+kmeans,recall,0.5
