module,attributes,classifier,technique,metric,score
bbb,asmt,nb,smote+kmeans,accuracy,0.3661492374727669
bbb,asmt,nb,smote+kmeans,fscore,0.026602176541717048
bbb,asmt,nb,smote+kmeans,precision,0.02468212415856395
bbb,asmt,nb,smote+kmeans,recall,0.11757719714964372
bbb,stdnt,nb,smote+kmeans,accuracy,0.33510348583878
bbb,stdnt,nb,smote+kmeans,fscore,0.14896030245746691
bbb,stdnt,nb,smote+kmeans,precision,0.1131533601378518
bbb,stdnt,nb,smote+kmeans,recall,0.7019002375296912
bbb,abd,nb,smote+kmeans,accuracy,0.7640250544662309
bbb,abd,nb,smote+kmeans,fscore,0.07193489104751903
bbb,abd,nb,smote+kmeans,precision,0.19041000694927032
bbb,abd,nb,smote+kmeans,recall,0.3254156769596199
bbb,abi,nb,smote+kmeans,accuracy,0.8461328976034859
bbb,abi,nb,smote+kmeans,fscore,0.021018593371059012
bbb,abi,nb,smote+kmeans,precision,0.17567567567567569
bbb,abi,nb,smote+kmeans,recall,0.09263657957244656
bbb,asmt_stdnt,nb,smote+kmeans,accuracy,0.7328431372549019
bbb,asmt_stdnt,nb,smote+kmeans,fscore,0.042643923240938165
bbb,asmt_stdnt,nb,smote+kmeans,precision,0.1111111111111111
bbb,asmt_stdnt,nb,smote+kmeans,recall,0.19002375296912116
bbb,asmt_abd,nb,smote+kmeans,accuracy,0.8796296296296297
bbb,asmt_abd,nb,smote+kmeans,fscore,0.01271817074820728
bbb,asmt_abd,nb,smote+kmeans,precision,0.34558823529411764
bbb,asmt_abd,nb,smote+kmeans,recall,0.05581947743467933
bbb,asmt_abi,nb,smote+kmeans,accuracy,0.8605664488017429
bbb,asmt_abi,nb,smote+kmeans,fscore,0.023415421881308032
bbb,asmt_abi,nb,smote+kmeans,precision,0.2443820224719101
bbb,asmt_abi,nb,smote+kmeans,recall,0.10332541567695963
bbb,stdnt_abd,nb,smote+kmeans,accuracy,0.7655228758169934
bbb,stdnt_abd,nb,smote+kmeans,fscore,0.07244094488188976
bbb,stdnt_abd,nb,smote+kmeans,precision,0.19273743016759776
bbb,stdnt_abd,nb,smote+kmeans,recall,0.32779097387173395
bbb,stdnt_abi,nb,smote+kmeans,accuracy,0.8254357298474946
bbb,stdnt_abi,nb,smote+kmeans,fscore,0.040293529019346234
bbb,stdnt_abi,nb,smote+kmeans,precision,0.20350404312668466
bbb,stdnt_abi,nb,smote+kmeans,recall,0.17933491686460806
bbb,asmt_stdnt_abd,nb,smote+kmeans,accuracy,0.8616557734204793
bbb,asmt_stdnt_abd,nb,smote+kmeans,fscore,0.019684508561412968
bbb,asmt_stdnt_abd,nb,smote+kmeans,precision,0.228125
bbb,asmt_stdnt_abd,nb,smote+kmeans,recall,0.08669833729216153
bbb,asmt_stdnt_abi,nb,smote+kmeans,accuracy,0.8410947712418301
bbb,asmt_stdnt_abi,nb,smote+kmeans,fscore,0.026602176541717048
bbb,asmt_stdnt_abi,nb,smote+kmeans,precision,0.1892925430210325
bbb,asmt_stdnt_abi,nb,smote+kmeans,recall,0.11757719714964372
