module,attributes,classifier,technique,metric,score
ccc,asmt,nb,smote+kmeans,accuracy,0.7621313035204567
ccc,asmt,nb,smote+kmeans,fscore,0.03367633302151544
ccc,asmt,nb,smote+kmeans,precision,0.09060402684563758
ccc,asmt,nb,smote+kmeans,recall,0.20610687022900764
ccc,stdnt,nb,smote+kmeans,accuracy,0.32477006026006977
ccc,stdnt,nb,smote+kmeans,fscore,0.11892214378045145
ccc,stdnt,nb,smote+kmeans,precision,0.08797999117257614
ccc,stdnt,nb,smote+kmeans,recall,0.7608142493638677
ccc,abd,nb,smote+kmeans,accuracy,0.4280579342425204
ccc,abd,nb,smote+kmeans,fscore,0.1258173172181494
ccc,abd,nb,smote+kmeans,precision,0.10773668137088564
ccc,abd,nb,smote+kmeans,recall,0.8078880407124682
ccc,abi,nb,smote+kmeans,accuracy,0.6369595094618882
ccc,abi,nb,smote+kmeans,fscore,0.05189990732159407
ccc,abi,nb,smote+kmeans,precision,0.0799492385786802
ccc,abi,nb,smote+kmeans,recall,0.32061068702290074
ccc,asmt_stdnt,nb,smote+kmeans,accuracy,0.5447721746484829
ccc,asmt_stdnt,nb,smote+kmeans,fscore,0.0762660158633313
ccc,asmt_stdnt,nb,smote+kmeans,precision,0.08782201405152225
ccc,asmt_stdnt,nb,smote+kmeans,recall,0.4770992366412214
ccc,asmt_abd,nb,smote+kmeans,accuracy,0.5539697642456919
ccc,asmt_abd,nb,smote+kmeans,fscore,0.07136303394841473
ccc,asmt_abd,nb,smote+kmeans,precision,0.08468424872973628
ccc,asmt_abd,nb,smote+kmeans,recall,0.4452926208651399
ccc,asmt_abi,nb,smote+kmeans,accuracy,0.3879902738132995
ccc,asmt_abi,nb,smote+kmeans,fscore,0.12433075550267697
ccc,asmt_abi,nb,smote+kmeans,precision,0.10020776730062332
ccc,asmt_abi,nb,smote+kmeans,recall,0.7977099236641222
ccc,stdnt_abd,nb,smote+kmeans,accuracy,0.5318744053282588
ccc,stdnt_abd,nb,smote+kmeans,fscore,0.10079309306294547
ccc,stdnt_abd,nb,smote+kmeans,precision,0.10804993542832544
ccc,stdnt_abd,nb,smote+kmeans,recall,0.6386768447837149
ccc,stdnt_abi,nb,smote+kmeans,accuracy,0.5959403742467492
ccc,stdnt_abi,nb,smote+kmeans,fscore,0.0900555275113579
ccc,stdnt_abi,nb,smote+kmeans,precision,0.11354378818737272
ccc,stdnt_abi,nb,smote+kmeans,recall,0.5674300254452926
ccc,asmt_stdnt_abd,nb,smote+kmeans,accuracy,0.5607358071677767
ccc,asmt_stdnt_abd,nb,smote+kmeans,fscore,0.0865783351876201
ccc,asmt_stdnt_abd,nb,smote+kmeans,precision,0.101301775147929
ccc,asmt_stdnt_abd,nb,smote+kmeans,recall,0.544529262086514
ccc,asmt_stdnt_abi,nb,smote+kmeans,accuracy,0.6083095464636854
ccc,asmt_stdnt_abi,nb,smote+kmeans,fscore,0.06880359330338914
ccc,asmt_stdnt_abi,nb,smote+kmeans,precision,0.0937934873364876
ccc,asmt_stdnt_abi,nb,smote+kmeans,recall,0.4287531806615776
