module,attributes,classifier,technique,metric,score
ggg,asmt,nb,smote+kmeans,accuracy,0.7581384685923888
ggg,asmt,nb,smote+kmeans,fscore,0.018173557473875508
ggg,asmt,nb,smote+kmeans,precision,0.03853564547206165
ggg,asmt,nb,smote+kmeans,recall,0.4123711340206185
ggg,stdnt,nb,smote+kmeans,accuracy,0.3601558917927556
ggg,stdnt,nb,smote+kmeans,fscore,0.028474576271186436
ggg,stdnt,nb,smote+kmeans,precision,0.02234042553191489
ggg,stdnt,nb,smote+kmeans,recall,0.6494845360824743
ggg,abd,nb,smote+kmeans,accuracy,0.39225126088950013
ggg,abd,nb,smote+kmeans,fscore,0.034249662009914375
ggg,abd,nb,smote+kmeans,precision,0.028085735402808572
ggg,abd,nb,smote+kmeans,recall,0.7835051546391752
ggg,abi,nb,smote+kmeans,accuracy,0.4250343878954608
ggg,abi,nb,smote+kmeans,fscore,0.032919954904171364
ggg,abi,nb,smote+kmeans,precision,0.02854908095424325
ggg,abi,nb,smote+kmeans,recall,0.7525773195876289
ggg,asmt_stdnt,nb,smote+kmeans,accuracy,0.6419073819348923
ggg,asmt_stdnt,nb,smote+kmeans,fscore,0.01862366568248921
ggg,asmt_stdnt,nb,smote+kmeans,precision,0.026502908855850032
ggg,asmt_stdnt,nb,smote+kmeans,recall,0.42268041237113396
ggg,asmt_abd,nb,smote+kmeans,accuracy,0.33310408069692804
ggg,asmt_abd,nb,smote+kmeans,fscore,0.03646185010128292
ggg,asmt_abd,nb,smote+kmeans,precision,0.027236045729657026
ggg,asmt_abd,nb,smote+kmeans,recall,0.8350515463917526
ggg,asmt_abi,nb,smote+kmeans,accuracy,0.4839523154516277
ggg,asmt_abi,nb,smote+kmeans,fscore,0.023561395559583143
ggg,asmt_abi,nb,smote+kmeans,precision,0.023029229406554472
ggg,asmt_abi,nb,smote+kmeans,recall,0.5360824742268041
ggg,stdnt_abd,nb,smote+kmeans,accuracy,0.6187528656579551
ggg,stdnt_abd,nb,smote+kmeans,fscore,0.022665457842248413
ggg,stdnt_abd,nb,smote+kmeans,precision,0.030012004801920768
ggg,stdnt_abd,nb,smote+kmeans,recall,0.5154639175257731
ggg,stdnt_abi,nb,smote+kmeans,accuracy,0.5064190738193489
ggg,stdnt_abi,nb,smote+kmeans,fscore,0.025797691785471828
ggg,stdnt_abi,nb,smote+kmeans,precision,0.026267281105990786
ggg,stdnt_abi,nb,smote+kmeans,recall,0.5876288659793815
ggg,asmt_stdnt_abd,nb,smote+kmeans,accuracy,0.6508482347546997
ggg,asmt_stdnt_abd,nb,smote+kmeans,fscore,0.019073569482288832
ggg,asmt_stdnt_abd,nb,smote+kmeans,precision,0.02781456953642384
ggg,asmt_stdnt_abd,nb,smote+kmeans,recall,0.4329896907216495
ggg,asmt_stdnt_abi,nb,smote+kmeans,accuracy,0.6001834021091242
ggg,asmt_stdnt_abi,nb,smote+kmeans,fscore,0.022217184311947403
ggg,asmt_stdnt_abi,nb,smote+kmeans,precision,0.028080229226361032
ggg,asmt_stdnt_abi,nb,smote+kmeans,recall,0.5051546391752577
