module,attributes,classifier,technique,metric,score
bbb,asmt,nb,smote+pca,accuracy,0.3661492374727669
bbb,asmt,nb,smote+pca,fscore,0.026602176541717048
bbb,asmt,nb,smote+pca,precision,0.02468212415856395
bbb,asmt,nb,smote+pca,recall,0.11757719714964372
bbb,stdnt,nb,smote+pca,accuracy,0.5977668845315904
bbb,stdnt,nb,smote+pca,fscore,0.07874427730542838
bbb,stdnt,nb,smote+pca,precision,0.11090641120117907
bbb,stdnt,nb,smote+pca,recall,0.3574821852731592
bbb,abd,nb,smote+pca,accuracy,0.4248366013071895
bbb,abd,nb,smote+pca,fscore,0.14123006833712984
bbb,abd,nb,smote+pca,precision,0.12405513561582925
bbb,abd,nb,smote+pca,recall,0.6627078384798101
bbb,abi,nb,smote+pca,accuracy,0.5012254901960784
bbb,abi,nb,smote+pca,fscore,0.15268519683058734
bbb,abi,nb,smote+pca,precision,0.15043370508054524
bbb,abi,nb,smote+pca,recall,0.7209026128266033
bbb,asmt_stdnt,nb,smote+pca,accuracy,0.4565631808278867
bbb,asmt_stdnt,nb,smote+pca,fscore,0.034787262510034785
bbb,asmt_stdnt,nb,smote+pca,precision,0.038134350249339984
bbb,asmt_stdnt,nb,smote+pca,recall,0.1543942992874109
bbb,asmt_abd,nb,smote+pca,accuracy,0.4419934640522876
bbb,asmt_abd,nb,smote+pca,fscore,0.11981566820276494
bbb,asmt_abd,nb,smote+pca,precision,0.1116412213740458
bbb,asmt_abd,nb,smote+pca,recall,0.5558194774346793
bbb,asmt_abi,nb,smote+pca,accuracy,0.5758442265795207
bbb,asmt_abi,nb,smote+pca,fscore,0.1047741935483871
bbb,asmt_abi,nb,smote+pca,precision,0.13160453808752026
bbb,asmt_abi,nb,smote+pca,recall,0.4821852731591449
bbb,stdnt_abd,nb,smote+pca,accuracy,0.4911492374727669
bbb,stdnt_abd,nb,smote+pca,fscore,0.12581344902386118
bbb,stdnt_abd,nb,smote+pca,precision,0.1270291162071631
bbb,stdnt_abd,nb,smote+pca,recall,0.5855106888361045
bbb,stdnt_abi,nb,smote+pca,accuracy,0.5554193899782135
bbb,stdnt_abi,nb,smote+pca,fscore,0.13414634146341464
bbb,stdnt_abi,nb,smote+pca,precision,0.15176774935326245
bbb,stdnt_abi,nb,smote+pca,recall,0.6270783847980997
bbb,asmt_stdnt_abd,nb,smote+pca,accuracy,0.4763071895424836
bbb,asmt_stdnt_abd,nb,smote+pca,fscore,0.11498973305954825
bbb,asmt_stdnt_abd,nb,smote+pca,precision,0.11487179487179487
bbb,asmt_stdnt_abd,nb,smote+pca,recall,0.5320665083135392
bbb,asmt_stdnt_abi,nb,smote+pca,accuracy,0.6199618736383442
bbb,asmt_stdnt_abi,nb,smote+pca,fscore,0.09962478975287876
bbb,asmt_stdnt_abi,nb,smote+pca,precision,0.1415961750643619
bbb,asmt_stdnt_abi,nb,smote+pca,recall,0.4572446555819478
