module,attributes,classifier,technique,metric,score
eee,asmt,nb,smote+pca,accuracy,0.5502920181700195
eee,asmt,nb,smote+pca,fscore,0.02118780096308186
eee,asmt,nb,smote+pca,precision,0.023454157782515996
eee,asmt,nb,smote+pca,recall,0.7333333333333333
eee,stdnt,nb,smote+pca,accuracy,0.6693705386112914
eee,stdnt,nb,smote+pca,fscore,0.012894906511927788
eee,stdnt,nb,smote+pca,precision,0.01972386587771203
eee,stdnt,nb,smote+pca,recall,0.4444444444444444
eee,abd,nb,smote+pca,accuracy,0.6713173264114212
eee,abd,nb,smote+pca,fscore,0.019916479280436883
eee,abd,nb,smote+pca,precision,0.030097087378640777
eee,abd,nb,smote+pca,recall,0.6888888888888889
eee,abi,nb,smote+pca,accuracy,0.5233614536015574
eee,abi,nb,smote+pca,fscore,0.024991989746876
eee,abi,nb,smote+pca,precision,0.02596537949400799
eee,abi,nb,smote+pca,recall,0.8666666666666667
eee,asmt_stdnt,nb,smote+pca,accuracy,0.7076573653471772
eee,asmt_stdnt,nb,smote+pca,fscore,0.014175257731958763
eee,asmt_stdnt,nb,smote+pca,precision,0.024444444444444446
eee,asmt_stdnt,nb,smote+pca,recall,0.4888888888888889
eee,asmt_abd,nb,smote+pca,accuracy,0.737183646982479
eee,asmt_abd,nb,smote+pca,fscore,0.01673101673101673
eee,asmt_abd,nb,smote+pca,precision,0.03182374541003672
eee,asmt_abd,nb,smote+pca,recall,0.5777777777777777
eee,asmt_abi,nb,smote+pca,accuracy,0.6129136924075276
eee,asmt_abi,nb,smote+pca,fscore,0.019916479280436883
eee,asmt_abi,nb,smote+pca,precision,0.0256198347107438
eee,asmt_abi,nb,smote+pca,recall,0.6888888888888889
eee,stdnt_abd,nb,smote+pca,accuracy,0.6797534068786503
eee,stdnt_abd,nb,smote+pca,fscore,0.0160926939169617
eee,stdnt_abd,nb,smote+pca,precision,0.0252016129032258
eee,stdnt_abd,nb,smote+pca,recall,0.5555555555555556
eee,stdnt_abi,nb,smote+pca,accuracy,0.5571057754704737
eee,stdnt_abi,nb,smote+pca,fscore,0.02372555306187881
eee,stdnt_abi,nb,smote+pca,precision,0.02654232424677188
eee,stdnt_abi,nb,smote+pca,recall,0.8222222222222222
eee,asmt_stdnt_abd,nb,smote+pca,accuracy,0.737183646982479
eee,asmt_stdnt_abd,nb,smote+pca,fscore,0.014175257731958763
eee,asmt_stdnt_abd,nb,smote+pca,precision,0.027194066749072928
eee,asmt_stdnt_abd,nb,smote+pca,recall,0.4888888888888889
eee,asmt_stdnt_abi,nb,smote+pca,accuracy,0.627190136275146
eee,asmt_stdnt_abi,nb,smote+pca,fscore,0.0160926939169617
eee,asmt_stdnt_abi,nb,smote+pca,precision,0.021663778162911613
eee,asmt_stdnt_abi,nb,smote+pca,recall,0.5555555555555556
