module,attributes,classifier,technique,metric,score
fff,asmt,nb,smote+pca,accuracy,0.5636149003147953
fff,asmt,nb,smote+pca,fscore,0.02997416020671835
fff,asmt,nb,smote+pca,precision,0.03380445869153431
fff,asmt,nb,smote+pca,recall,0.9098039215686274
fff,stdnt,nb,smote+pca,accuracy,0.5755508919202519
fff,stdnt,nb,smote+pca,fscore,0.018324777438430046
fff,stdnt,nb,smote+pca,precision,0.021695645483920604
fff,stdnt,nb,smote+pca,recall,0.5529411764705883
fff,abd,nb,smote+pca,accuracy,0.3837224554039874
fff,abd,nb,smote+pca,fscore,0.02882813004977054
fff,abd,nb,smote+pca,precision,0.02325823946599917
fff,abd,nb,smote+pca,recall,0.8745098039215686
fff,abi,nb,smote+pca,accuracy,0.3401757607555089
fff,abi,nb,smote+pca,fscore,0.027808316626786518
fff,abi,nb,smote+pca,precision,0.021004298554122704
fff,abi,nb,smote+pca,recall,0.8431372549019608
fff,asmt_stdnt,nb,smote+pca,accuracy,0.6577256033578174
fff,asmt_stdnt,nb,smote+pca,fscore,0.02755319837009249
fff,asmt_stdnt,nb,smote+pca,precision,0.03951762523191095
fff,asmt_stdnt,nb,smote+pca,recall,0.8352941176470589
fff,asmt_abd,nb,smote+pca,accuracy,0.30849947534102834
fff,asmt_abd,nb,smote+pca,fscore,0.02895553257497415
fff,asmt_abd,nb,smote+pca,precision,0.020862438297476017
fff,asmt_abd,nb,smote+pca,recall,0.8784313725490196
fff,asmt_abi,nb,smote+pca,accuracy,0.3157791185729276
fff,asmt_abi,nb,smote+pca,fscore,0.0283183552078619
fff,asmt_abi,nb,smote+pca,precision,0.020629238884702337
fff,asmt_abi,nb,smote+pca,recall,0.8588235294117647
fff,stdnt_abd,nb,smote+pca,accuracy,0.4296956977964323
fff,stdnt_abd,nb,smote+pca,fscore,0.02755319837009249
fff,stdnt_abd,nb,smote+pca,precision,0.02402165332130371
fff,stdnt_abd,nb,smote+pca,recall,0.8352941176470589
fff,stdnt_abi,nb,smote+pca,accuracy,0.3786070304302204
fff,stdnt_abi,nb,smote+pca,fscore,0.026787447428016826
fff,stdnt_abi,nb,smote+pca,precision,0.02148640232509861
fff,stdnt_abi,nb,smote+pca,recall,0.8117647058823529
fff,asmt_stdnt_abd,nb,smote+pca,accuracy,0.3939533053515215
fff,asmt_stdnt_abd,nb,smote+pca,fscore,0.02691511387163561
fff,asmt_stdnt_abd,nb,smote+pca,precision,0.02212295256328441
fff,asmt_stdnt_abd,nb,smote+pca,recall,0.8156862745098039
fff,asmt_stdnt_abi,nb,smote+pca,accuracy,0.3595881427072403
fff,asmt_stdnt_abi,nb,smote+pca,fscore,0.02665976446227514
fff,asmt_stdnt_abi,nb,smote+pca,precision,0.020761943156621648
fff,asmt_stdnt_abi,nb,smote+pca,recall,0.807843137254902
