module,attributes,classifier,technique,metric,score
eee,asmt,nb,smote,accuracy,0.5502920181700195
eee,asmt,nb,smote,fscore,0.02118780096308186
eee,asmt,nb,smote,precision,0.023454157782515996
eee,asmt,nb,smote,recall,0.7333333333333333
eee,stdnt,nb,smote,accuracy,0.16125892277741727
eee,stdnt,nb,smote,fscore,0.02562459961563101
eee,stdnt,nb,smote,precision,0.015267175572519085
eee,stdnt,nb,smote,recall,0.8888888888888888
eee,abd,nb,smote,accuracy,0.6109669046073978
eee,abd,nb,smote,fscore,0.021822849807445442
eee,abd,nb,smote,precision,0.02782324058919804
eee,abd,nb,smote,recall,0.7555555555555555
eee,abi,nb,smote,accuracy,0.6018818948734588
eee,abi,nb,smote,fscore,0.02372555306187881
eee,abi,nb,smote,precision,0.02945859872611465
eee,abi,nb,smote,recall,0.8222222222222222
eee,asmt_stdnt,nb,smote,accuracy,0.1599610642439974
eee,asmt_stdnt,nb,smote,fscore,0.024991989746876
eee,asmt_stdnt,nb,smote,precision,0.01487414187643021
eee,asmt_stdnt,nb,smote,recall,0.8666666666666667
eee,asmt_abd,nb,smote,accuracy,0.6190785204412719
eee,asmt_abd,nb,smote,fscore,0.021822849807445442
eee,asmt_abd,nb,smote,precision,0.02840434419381788
eee,asmt_abd,nb,smote,recall,0.7555555555555555
eee,asmt_abi,nb,smote,accuracy,0.6203763789746918
eee,asmt_abi,nb,smote,fscore,0.02372555306187881
eee,asmt_abi,nb,smote,precision,0.030859049207673062
eee,asmt_abi,nb,smote,recall,0.8222222222222222
eee,stdnt_abd,nb,smote,accuracy,0.5791693705386113
eee,stdnt_abd,nb,smote,fscore,0.02245749117741418
eee,stdnt_abd,nb,smote,precision,0.0264750378214826
eee,stdnt_abd,nb,smote,recall,0.7777777777777778
eee,stdnt_abi,nb,smote,accuracy,0.5434782608695652
eee,stdnt_abi,nb,smote,fscore,0.024991989746876
eee,stdnt_abi,nb,smote,precision,0.02708333333333333
eee,stdnt_abi,nb,smote,recall,0.8666666666666667
eee,asmt_stdnt_abd,nb,smote,accuracy,0.5918234912394549
eee,asmt_stdnt_abd,nb,smote,fscore,0.02245749117741418
eee,asmt_stdnt_abd,nb,smote,precision,0.027279812938425563
eee,asmt_stdnt_abd,nb,smote,recall,0.7777777777777778
eee,asmt_stdnt_abi,nb,smote,accuracy,0.5587280986372486
eee,asmt_stdnt_abi,nb,smote,fscore,0.024991989746876
eee,asmt_stdnt_abi,nb,smote,precision,0.02799712849964106
eee,asmt_stdnt_abi,nb,smote,recall,0.8666666666666667
