module,attributes,classifier,technique,metric,score
ggg,asmt,nb,smote,accuracy,0.6286107290233838
ggg,asmt,nb,smote,fscore,0.022217184311947403
ggg,asmt,nb,smote,precision,0.030228254164096236
ggg,asmt,nb,smote,recall,0.5051546391752577
ggg,stdnt,nb,smote,accuracy,0.2065566254011921
ggg,stdnt,nb,smote,fscore,0.03999101325544822
ggg,stdnt,nb,smote,precision,0.0251270468661773
ggg,stdnt,nb,smote,recall,0.9175257731958762
ggg,abd,nb,smote,accuracy,0.4135717560751949
ggg,abd,nb,smote,fscore,0.03646185010128292
ggg,abd,nb,smote,precision,0.030880670987418982
ggg,abd,nb,smote,recall,0.8350515463917526
ggg,abi,nb,smote,accuracy,0.39912883998165977
ggg,abi,nb,smote,fscore,0.0369036903690369
ggg,abi,nb,smote,precision,0.03050595238095238
ggg,abi,nb,smote,recall,0.8453608247422679
ggg,asmt_stdnt,nb,smote,accuracy,0.20586886749197614
ggg,asmt_stdnt,nb,smote,fscore,0.041311180960934
ggg,asmt_stdnt,nb,smote,precision,0.02590819487468319
ggg,asmt_stdnt,nb,smote,recall,0.9484536082474226
ggg,asmt_abd,nb,smote,accuracy,0.43305823016964695
ggg,asmt_abd,nb,smote,fscore,0.0369036903690369
ggg,asmt_abd,nb,smote,precision,0.03228346456692913
ggg,asmt_abd,nb,smote,recall,0.8453608247422679
ggg,asmt_abi,nb,smote,accuracy,0.39225126088950013
ggg,asmt_abi,nb,smote,fscore,0.03734533183352081
ggg,asmt_abi,nb,smote,precision,0.030514705882352937
ggg,asmt_abi,nb,smote,recall,0.8556701030927835
ggg,stdnt_abd,nb,smote,accuracy,0.3789546079779917
ggg,stdnt_abd,nb,smote,fscore,0.038669064748201434
ggg,stdnt_abd,nb,smote,precision,0.03089080459770115
ggg,stdnt_abd,nb,smote,recall,0.8865979381443299
ggg,stdnt_abi,nb,smote,accuracy,0.396377808344796
ggg,stdnt_abi,nb,smote,fscore,0.03822801888913874
ggg,stdnt_abi,nb,smote,precision,0.031411677753141166
ggg,stdnt_abi,nb,smote,recall,0.8762886597938144
ggg,asmt_stdnt_abd,nb,smote,accuracy,0.3709307657038056
ggg,asmt_stdnt_abd,nb,smote,fscore,0.03910991233985165
ggg,asmt_stdnt_abd,nb,smote,precision,0.030840127614321162
ggg,asmt_stdnt_abd,nb,smote,recall,0.8969072164948454
ggg,asmt_stdnt_abi,nb,smote,accuracy,0.3901879871618524
ggg,asmt_stdnt_abi,nb,smote,fscore,0.03822801888913874
ggg,asmt_stdnt_abi,nb,smote,precision,0.031101353823637032
ggg,asmt_stdnt_abi,nb,smote,recall,0.8762886597938144
