module,attributes,classifier,technique,metric,score
bbb,asmt,nn,base,accuracy,0.8853485838779956
bbb,asmt,nn,base,fscore,0.0
bbb,asmt,nn,base,precision,0.0
bbb,asmt,nn,base,recall,0.0
bbb,stdnt,nn,base,accuracy,0.8853485838779956
bbb,stdnt,nn,base,fscore,0.0
bbb,stdnt,nn,base,precision,0.0
bbb,stdnt,nn,base,recall,0.0
bbb,abd,nn,base,accuracy,0.8589324618736384
bbb,abd,nn,base,fscore,0.0010887316276537834
bbb,abd,nn,base,precision,0.0198019801980198
bbb,abd,nn,base,recall,0.004750593824228029
bbb,abi,nn,base,accuracy,0.7608932461873639
bbb,abi,nn,base,fscore,0.0019045027887362265
bbb,abi,nn,base,precision,0.007543103448275862
bbb,abi,nn,base,recall,0.00831353919239905
bbb,asmt_stdnt,nn,base,accuracy,0.8818082788671024
bbb,asmt_stdnt,nn,base,fscore,0.0002722940776038121
bbb,asmt_stdnt,nn,base,precision,0.03571428571428571
bbb,asmt_stdnt,nn,base,recall,0.0011876484560570072
bbb,asmt_abd,nn,base,accuracy,0.8498093681917211
bbb,asmt_abd,nn,base,fscore,0.002176278563656148
bbb,asmt_abd,nn,base,precision,0.02888086642599278
bbb,asmt_abd,nn,base,recall,0.009501187648456056
bbb,asmt_abi,nn,base,accuracy,0.7694716775599129
bbb,asmt_abi,nn,base,fscore,0.002176278563656148
bbb,asmt_abi,nn,base,precision,0.00922722029988466
bbb,asmt_abi,nn,base,recall,0.009501187648456056
bbb,stdnt_abd,nn,base,accuracy,0.8651960784313726
bbb,stdnt_abd,nn,base,fscore,0.0013607293509320993
bbb,stdnt_abd,nn,base,precision,0.03164556962025317
bbb,stdnt_abd,nn,base,recall,0.005938242280285036
bbb,stdnt_abi,nn,base,accuracy,0.7997004357298475
bbb,stdnt_abi,nn,base,fscore,0.002991162474507138
bbb,stdnt_abi,nn,base,precision,0.016897081413210446
bbb,stdnt_abi,nn,base,recall,0.01306413301662708
bbb,asmt_stdnt_abd,nn,base,accuracy,0.7633442265795207
bbb,asmt_stdnt_abd,nn,base,fscore,0.011372867587327376
bbb,asmt_stdnt_abd,nn,base,precision,0.042857142857142864
bbb,asmt_stdnt_abd,nn,base,recall,0.0498812351543943
bbb,asmt_stdnt_abi,nn,base,accuracy,0.7539488017429193
bbb,asmt_stdnt_abi,nn,base,fscore,0.010295312923327013
bbb,asmt_stdnt_abi,nn,base,precision,0.03650336215177714
bbb,asmt_stdnt_abi,nn,base,recall,0.04513064133016627
