module,attributes,classifier,technique,metric,score
fff,asmt,nn,base,accuracy,0.9832764952780692
fff,asmt,nn,base,fscore,0.0
fff,asmt,nn,base,precision,0.0
fff,asmt,nn,base,recall,0.0
fff,stdnt,nn,base,accuracy,0.9832764952780692
fff,stdnt,nn,base,fscore,0.0
fff,stdnt,nn,base,precision,0.0
fff,stdnt,nn,base,recall,0.0
fff,abd,nn,base,accuracy,0.9245146904512068
fff,abd,nn,base,fscore,0.0014417720689429187
fff,abd,nn,base,precision,0.01198257080610022
fff,abd,nn,base,recall,0.043137254901960784
fff,abi,nn,base,accuracy,0.966618572927597
fff,abi,nn,base,fscore,0.001048767697954903
fff,abi,nn,base,precision,0.02962962962962963
fff,abi,nn,base,recall,0.031372549019607836
fff,asmt_stdnt,nn,base,accuracy,0.9818336831059812
fff,asmt_stdnt,nn,base,fscore,0.0001311561413863204
fff,asmt_stdnt,nn,base,precision,0.04166666666666666
fff,asmt_stdnt,nn,base,recall,0.0039215686274509795
fff,asmt_abd,nn,base,accuracy,0.949501573976915
fff,asmt_abd,nn,base,fscore,0.0020964360587002093
fff,asmt_abd,nn,base,precision,0.029250457038391225
fff,asmt_abd,nn,base,recall,0.06274509803921569
fff,asmt_abi,nn,base,accuracy,0.9616343126967472
fff,asmt_abi,nn,base,fscore,0.0019655375745266327
fff,asmt_abi,nn,base,precision,0.04166666666666666
fff,asmt_abi,nn,base,recall,0.05882352941176471
fff,stdnt_abd,nn,base,accuracy,0.9397953830010494
fff,stdnt_abd,nn,base,fscore,0.003273751063969096
fff,stdnt_abd,nn,base,precision,0.035063113604488085
fff,stdnt_abd,nn,base,recall,0.09803921568627452
fff,stdnt_abi,nn,base,accuracy,0.9649790136411333
fff,stdnt_abi,nn,base,fscore,0.003012245432519154
fff,stdnt_abi,nn,base,precision,0.07076923076923076
fff,stdnt_abi,nn,base,recall,0.09019607843137256
fff,asmt_stdnt_abd,nn,base,accuracy,0.9445173137460652
fff,asmt_stdnt_abd,nn,base,fscore,0.003273751063969096
fff,asmt_stdnt_abd,nn,base,precision,0.0390015600624025
fff,asmt_stdnt_abd,nn,base,recall,0.09803921568627452
fff,asmt_stdnt_abi,nn,base,accuracy,0.9422219307450156
fff,asmt_stdnt_abi,nn,base,fscore,0.006927651787464872
fff,asmt_stdnt_abi,nn,base,precision,0.07240437158469945
fff,asmt_stdnt_abi,nn,base,recall,0.207843137254902
