module,attributes,classifier,technique,metric,score
ccc,asmt,nn,ae,accuracy,0.9169045353631462
ccc,asmt,nn,ae,fscore,0.0
ccc,asmt,nn,ae,precision,0.0
ccc,asmt,nn,ae,recall,0.0
ccc,stdnt,nn,ae,accuracy,0.9169045353631462
ccc,stdnt,nn,ae,fscore,0.0
ccc,stdnt,nn,ae,precision,0.0
ccc,stdnt,nn,ae,recall,0.0
ccc,abd,nn,ae,accuracy,0.9169045353631462
ccc,abd,nn,ae,fscore,0.0
ccc,abd,nn,ae,precision,0.0
ccc,abd,nn,ae,recall,0.0
ccc,abi,nn,ae,accuracy,0.9169045353631462
ccc,abi,nn,ae,fscore,0.0
ccc,abi,nn,ae,precision,0.0
ccc,abi,nn,ae,recall,0.0
ccc,asmt_stdnt,nn,ae,accuracy,0.9169045353631462
ccc,asmt_stdnt,nn,ae,fscore,0.0
ccc,asmt_stdnt,nn,ae,precision,0.0
ccc,asmt_stdnt,nn,ae,recall,0.0
ccc,asmt_abd,nn,ae,accuracy,0.9169045353631462
ccc,asmt_abd,nn,ae,fscore,0.0
ccc,asmt_abd,nn,ae,precision,0.0
ccc,asmt_abd,nn,ae,recall,0.0
ccc,asmt_abi,nn,ae,accuracy,0.9165873771011734
ccc,asmt_abi,nn,ae,fscore,0.00021141649048625792
ccc,asmt_abi,nn,ae,precision,0.2
ccc,asmt_abi,nn,ae,recall,0.001272264631043257
ccc,stdnt_abd,nn,ae,accuracy,0.9169045353631462
ccc,stdnt_abd,nn,ae,fscore,0.0
ccc,stdnt_abd,nn,ae,precision,0.0
ccc,stdnt_abd,nn,ae,recall,0.0
ccc,stdnt_abi,nn,ae,accuracy,0.9169045353631462
ccc,stdnt_abi,nn,ae,fscore,0.0
ccc,stdnt_abi,nn,ae,precision,0.0
ccc,stdnt_abi,nn,ae,recall,0.0
ccc,asmt_stdnt_abd,nn,ae,accuracy,0.9169045353631462
ccc,asmt_stdnt_abd,nn,ae,fscore,0.0
ccc,asmt_stdnt_abd,nn,ae,precision,0.0
ccc,asmt_stdnt_abd,nn,ae,recall,0.0
ccc,asmt_stdnt_abi,nn,ae,accuracy,0.9169045353631462
ccc,asmt_stdnt_abi,nn,ae,fscore,0.0
ccc,asmt_stdnt_abi,nn,ae,precision,0.0
ccc,asmt_stdnt_abi,nn,ae,recall,0.0
