module,attributes,classifier,technique,metric,score
ddd,asmt,nn,ae,accuracy,0.9348480288895576
ddd,asmt,nn,ae,fscore,0.0
ddd,asmt,nn,ae,precision,0.0
ddd,asmt,nn,ae,recall,0.0
ddd,stdnt,nn,ae,accuracy,0.9348480288895576
ddd,stdnt,nn,ae,fscore,0.0
ddd,stdnt,nn,ae,precision,0.0
ddd,stdnt,nn,ae,recall,0.0
ddd,abd,nn,ae,accuracy,0.9348480288895576
ddd,abd,nn,ae,fscore,0.0
ddd,abd,nn,ae,precision,0.0
ddd,abd,nn,ae,recall,0.0
ddd,abi,nn,ae,accuracy,0.9348480288895576
ddd,abi,nn,ae,fscore,0.0
ddd,abi,nn,ae,precision,0.0
ddd,abi,nn,ae,recall,0.0
ddd,asmt_stdnt,nn,ae,accuracy,0.9348480288895576
ddd,asmt_stdnt,nn,ae,fscore,0.0
ddd,asmt_stdnt,nn,ae,precision,0.0
ddd,asmt_stdnt,nn,ae,recall,0.0
ddd,asmt_abd,nn,ae,accuracy,0.9348480288895576
ddd,asmt_abd,nn,ae,fscore,0.0
ddd,asmt_abd,nn,ae,precision,0.0
ddd,asmt_abd,nn,ae,recall,0.0
ddd,asmt_abi,nn,ae,accuracy,0.9342461631056276
ddd,asmt_abi,nn,ae,fscore,0.0
ddd,asmt_abi,nn,ae,precision,0.0
ddd,asmt_abi,nn,ae,recall,0.0
ddd,stdnt_abd,nn,ae,accuracy,0.9348480288895576
ddd,stdnt_abd,nn,ae,fscore,0.0
ddd,stdnt_abd,nn,ae,precision,0.0
ddd,stdnt_abd,nn,ae,recall,0.0
ddd,stdnt_abi,nn,ae,accuracy,0.9348480288895576
ddd,stdnt_abi,nn,ae,fscore,0.0
ddd,stdnt_abi,nn,ae,precision,0.0
ddd,stdnt_abi,nn,ae,recall,0.0
ddd,asmt_stdnt_abd,nn,ae,accuracy,0.9348480288895576
ddd,asmt_stdnt_abd,nn,ae,fscore,0.0
ddd,asmt_stdnt_abd,nn,ae,precision,0.0
ddd,asmt_stdnt_abd,nn,ae,recall,0.0
ddd,asmt_stdnt_abi,nn,ae,accuracy,0.9345470959975926
ddd,asmt_stdnt_abi,nn,ae,fscore,0.0
ddd,asmt_stdnt_abi,nn,ae,precision,0.0
ddd,asmt_stdnt_abi,nn,ae,recall,0.0
