module,attributes,classifier,technique,metric,score
eee,asmt,nn,ae,accuracy,0.9853990914990266
eee,asmt,nn,ae,fscore,0.0
eee,asmt,nn,ae,precision,0.0
eee,asmt,nn,ae,recall,0.0
eee,stdnt,nn,ae,accuracy,0.9853990914990266
eee,stdnt,nn,ae,fscore,0.0
eee,stdnt,nn,ae,precision,0.0
eee,stdnt,nn,ae,recall,0.0
eee,abd,nn,ae,accuracy,0.9853990914990266
eee,abd,nn,ae,fscore,0.0
eee,abd,nn,ae,precision,0.0
eee,abd,nn,ae,recall,0.0
eee,abi,nn,ae,accuracy,0.9853990914990266
eee,abi,nn,ae,fscore,0.0
eee,abi,nn,ae,precision,0.0
eee,abi,nn,ae,recall,0.0
eee,asmt_stdnt,nn,ae,accuracy,0.9853990914990266
eee,asmt_stdnt,nn,ae,fscore,0.0
eee,asmt_stdnt,nn,ae,precision,0.0
eee,asmt_stdnt,nn,ae,recall,0.0
eee,asmt_abd,nn,ae,accuracy,0.9853990914990266
eee,asmt_abd,nn,ae,fscore,0.0
eee,asmt_abd,nn,ae,precision,0.0
eee,asmt_abd,nn,ae,recall,0.0
eee,asmt_abi,nn,ae,accuracy,0.9853990914990266
eee,asmt_abi,nn,ae,fscore,0.0
eee,asmt_abi,nn,ae,precision,0.0
eee,asmt_abi,nn,ae,recall,0.0
eee,stdnt_abd,nn,ae,accuracy,0.9850746268656716
eee,stdnt_abd,nn,ae,fscore,0.0
eee,stdnt_abd,nn,ae,precision,0.0
eee,stdnt_abd,nn,ae,recall,0.0
eee,stdnt_abi,nn,ae,accuracy,0.9853990914990266
eee,stdnt_abi,nn,ae,fscore,0.0
eee,stdnt_abi,nn,ae,precision,0.0
eee,stdnt_abi,nn,ae,recall,0.0
eee,asmt_stdnt_abd,nn,ae,accuracy,0.9853990914990266
eee,asmt_stdnt_abd,nn,ae,fscore,0.0
eee,asmt_stdnt_abd,nn,ae,precision,0.0
eee,asmt_stdnt_abd,nn,ae,recall,0.0
eee,asmt_stdnt_abi,nn,ae,accuracy,0.9853990914990266
eee,asmt_stdnt_abi,nn,ae,fscore,0.0
eee,asmt_stdnt_abi,nn,ae,precision,0.0
eee,asmt_stdnt_abi,nn,ae,recall,0.0
