module,attributes,classifier,technique,metric,score
fff,asmt,nn,ae,accuracy,0.9832764952780692
fff,asmt,nn,ae,fscore,0.0
fff,asmt,nn,ae,precision,0.0
fff,asmt,nn,ae,recall,0.0
fff,stdnt,nn,ae,accuracy,0.9832764952780692
fff,stdnt,nn,ae,fscore,0.0
fff,stdnt,nn,ae,precision,0.0
fff,stdnt,nn,ae,recall,0.0
fff,abd,nn,ae,accuracy,0.9832764952780692
fff,abd,nn,ae,fscore,0.0
fff,abd,nn,ae,precision,0.0
fff,abd,nn,ae,recall,0.0
fff,abi,nn,ae,accuracy,0.9825550891920252
fff,abi,nn,ae,fscore,0.0
fff,abi,nn,ae,precision,0.0
fff,abi,nn,ae,recall,0.0
fff,asmt_stdnt,nn,ae,accuracy,0.9832764952780692
fff,asmt_stdnt,nn,ae,fscore,0.0
fff,asmt_stdnt,nn,ae,precision,0.0
fff,asmt_stdnt,nn,ae,recall,0.0
fff,asmt_abd,nn,ae,accuracy,0.9832764952780692
fff,asmt_abd,nn,ae,fscore,0.0
fff,asmt_abd,nn,ae,precision,0.0
fff,asmt_abd,nn,ae,recall,0.0
fff,asmt_abi,nn,ae,accuracy,0.9831453305351522
fff,asmt_abi,nn,ae,fscore,0.0
fff,asmt_abi,nn,ae,precision,0.0
fff,asmt_abi,nn,ae,recall,0.0
fff,stdnt_abd,nn,ae,accuracy,0.9832764952780692
fff,stdnt_abd,nn,ae,fscore,0.0
fff,stdnt_abd,nn,ae,precision,0.0
fff,stdnt_abd,nn,ae,recall,0.0
fff,stdnt_abi,nn,ae,accuracy,0.9832764952780692
fff,stdnt_abi,nn,ae,fscore,0.0
fff,stdnt_abi,nn,ae,precision,0.0
fff,stdnt_abi,nn,ae,recall,0.0
fff,asmt_stdnt_abd,nn,ae,accuracy,0.9832764952780692
fff,asmt_stdnt_abd,nn,ae,fscore,0.0
fff,asmt_stdnt_abd,nn,ae,precision,0.0
fff,asmt_stdnt_abd,nn,ae,recall,0.0
fff,asmt_stdnt_abi,nn,ae,accuracy,0.9832764952780692
fff,asmt_stdnt_abi,nn,ae,fscore,0.0
fff,asmt_stdnt_abi,nn,ae,precision,0.0
fff,asmt_stdnt_abi,nn,ae,recall,0.0
