module,attributes,classifier,technique,metric,score
ccc,asmt,nn,kmeans,accuracy,0.9169045353631462
ccc,asmt,nn,kmeans,fscore,0.0
ccc,asmt,nn,kmeans,precision,0.0
ccc,asmt,nn,kmeans,recall,0.0
ccc,stdnt,nn,kmeans,accuracy,0.8942805793424252
ccc,stdnt,nn,kmeans,fscore,0.007373077733305245
ccc,stdnt,nn,kmeans,precision,0.12323943661971833
ccc,stdnt,nn,kmeans,recall,0.04452926208651401
ccc,abd,nn,kmeans,accuracy,0.9103499312823766
ccc,abd,nn,kmeans,fscore,0.0016900813351642546
ccc,abd,nn,kmeans,precision,0.10256410256410256
ccc,abd,nn,kmeans,recall,0.010178117048346057
ccc,abi,nn,kmeans,accuracy,0.90453536314621
ccc,abi,nn,kmeans,fscore,0.004640860668705833
ccc,abi,nn,kmeans,precision,0.13664596273291926
ccc,abi,nn,kmeans,recall,0.027989821882951654
ccc,asmt_stdnt,nn,kmeans,accuracy,0.8947034570250555
ccc,asmt_stdnt,nn,kmeans,fscore,0.0082122552116235
ccc,asmt_stdnt,nn,kmeans,precision,0.13541666666666666
ccc,asmt_stdnt,nn,kmeans,recall,0.049618320610687015
ccc,asmt_abd,nn,kmeans,accuracy,0.9005180251612221
ccc,asmt_abd,nn,kmeans,fscore,0.005692599620493359
ccc,asmt_abd,nn,kmeans,precision,0.1291866028708134
ccc,asmt_abd,nn,kmeans,recall,0.03435114503816794
ccc,asmt_abi,nn,kmeans,accuracy,0.8986150755893858
ccc,asmt_abi,nn,kmeans,fscore,0.007373077733305245
ccc,asmt_abi,nn,kmeans,precision,0.1440329218106996
ccc,asmt_abi,nn,kmeans,recall,0.04452926208651401
ccc,stdnt_abd,nn,kmeans,accuracy,0.8496669838249287
ccc,stdnt_abd,nn,kmeans,fscore,0.03081086707609035
ccc,stdnt_abd,nn,kmeans,precision,0.15879828326180254
ccc,stdnt_abd,nn,kmeans,recall,0.18829516539440205
ccc,stdnt_abi,nn,kmeans,accuracy,0.8358177397187864
ccc,stdnt_abi,nn,kmeans,fscore,0.034085004676296375
ccc,stdnt_abi,nn,kmeans,precision,0.14977168949771688
ccc,stdnt_abi,nn,kmeans,recall,0.20865139949109412
ccc,asmt_stdnt_abd,nn,kmeans,accuracy,0.8463896817845438
ccc,asmt_stdnt_abd,nn,kmeans,fscore,0.03285847977539773
ccc,asmt_stdnt_abd,nn,kmeans,precision,0.1607324516785351
ccc,asmt_stdnt_abd,nn,kmeans,recall,0.2010178117048346
ccc,asmt_stdnt_abi,nn,kmeans,accuracy,0.8370863727666772
ccc,asmt_stdnt_abi,nn,kmeans,fscore,0.035310001038529444
ccc,asmt_stdnt_abi,nn,kmeans,precision,0.1552511415525114
ccc,asmt_stdnt_abi,nn,kmeans,recall,0.21628498727735368
