module,attributes,classifier,technique,metric,score
ddd,asmt,nn,kmeans,accuracy,0.9348480288895576
ddd,asmt,nn,kmeans,fscore,0.0
ddd,asmt,nn,kmeans,precision,0.0
ddd,asmt,nn,kmeans,recall,0.0
ddd,stdnt,nn,kmeans,accuracy,0.9316882335239242
ddd,stdnt,nn,kmeans,fscore,0.0012030075187969926
ddd,stdnt,nn,kmeans,precision,0.13793103448275862
ddd,stdnt,nn,kmeans,recall,0.009237875288683604
ddd,abd,nn,kmeans,accuracy,0.9163406560337044
ddd,abd,nn,kmeans,fscore,0.006000600060005999
ddd,abd,nn,kmeans,precision,0.12269938650306747
ddd,abd,nn,kmeans,recall,0.04618937644341802
ddd,abi,nn,kmeans,accuracy,0.9276256394823954
ddd,abi,nn,kmeans,fscore,0.004803362353647553
ddd,abi,nn,kmeans,precision,0.2
ddd,abi,nn,kmeans,recall,0.03695150115473441
ddd,asmt_stdnt,nn,kmeans,accuracy,0.9040024074631358
ddd,asmt_stdnt,nn,kmeans,fscore,0.014934289127837515
ddd,asmt_stdnt,nn,kmeans,precision,0.16393442622950818
ddd,asmt_stdnt,nn,kmeans,recall,0.11547344110854504
ddd,asmt_abd,nn,kmeans,accuracy,0.9121275955461932
ddd,asmt_abd,nn,kmeans,fscore,0.0134509041996712
ddd,asmt_abd,nn,kmeans,precision,0.1867219917012448
ddd,asmt_abd,nn,kmeans,recall,0.10392609699769054
ddd,asmt_abi,nn,kmeans,accuracy,0.8948239542582004
ddd,asmt_abi,nn,kmeans,fscore,0.03343689894954875
ddd,asmt_abi,nn,kmeans,precision,0.2296747967479675
ddd,asmt_abi,nn,kmeans,recall,0.26096997690531176
ddd,stdnt_abd,nn,kmeans,accuracy,0.891664158892567
ddd,stdnt_abd,nn,kmeans,fscore,0.016415460379047904
ddd,stdnt_abd,nn,kmeans,precision,0.1385390428211587
ddd,stdnt_abd,nn,kmeans,recall,0.12702078521939955
ddd,stdnt_abi,nn,kmeans,accuracy,0.8844417694854048
ddd,stdnt_abi,nn,kmeans,fscore,0.013153961136023915
ddd,stdnt_abi,nn,kmeans,precision,0.10401891252955082
ddd,stdnt_abi,nn,kmeans,recall,0.10161662817551964
ddd,asmt_stdnt_abd,nn,kmeans,accuracy,0.8854950346072826
ddd,asmt_stdnt_abd,nn,kmeans,fscore,0.02437574316290131
ddd,asmt_stdnt_abd,nn,kmeans,precision,0.16666666666666666
ddd,asmt_stdnt_abd,nn,kmeans,recall,0.18937644341801385
ddd,asmt_stdnt_abi,nn,kmeans,accuracy,0.8712007222389407
ddd,asmt_stdnt_abi,nn,kmeans,fscore,0.04356785398881366
ddd,asmt_stdnt_abi,nn,kmeans,precision,0.20584144645340752
ddd,asmt_stdnt_abi,nn,kmeans,recall,0.3418013856812933
