module,attributes,classifier,technique,metric,score
fff,asmt,nn,kmeans,accuracy,0.9832764952780692
fff,asmt,nn,kmeans,fscore,0.0
fff,asmt,nn,kmeans,precision,0.0
fff,asmt,nn,kmeans,recall,0.0
fff,stdnt,nn,kmeans,accuracy,0.9832764952780692
fff,stdnt,nn,kmeans,fscore,0.0
fff,stdnt,nn,kmeans,precision,0.0
fff,stdnt,nn,kmeans,recall,0.0
fff,abd,nn,kmeans,accuracy,0.9290398740818469
fff,abd,nn,kmeans,fscore,0.0015727391874180866
fff,abd,nn,kmeans,precision,0.01410105757931845
fff,abd,nn,kmeans,recall,0.047058823529411764
fff,abi,nn,kmeans,accuracy,0.8934942287513117
fff,abi,nn,kmeans,fscore,0.0023581815799816586
fff,abi,nn,kmeans,precision,0.012811387900355872
fff,abi,nn,kmeans,recall,0.07058823529411765
fff,asmt_stdnt,nn,kmeans,accuracy,0.9820304302203569
fff,asmt_stdnt,nn,kmeans,fscore,0.0002622950819672132
fff,asmt_stdnt,nn,kmeans,precision,0.08695652173913042
fff,asmt_stdnt,nn,kmeans,recall,0.007843137254901959
fff,asmt_abd,nn,kmeans,accuracy,0.9516657922350472
fff,asmt_abd,nn,kmeans,fscore,0.0015727391874180866
fff,asmt_abd,nn,kmeans,precision,0.023715415019762844
fff,asmt_abd,nn,kmeans,recall,0.047058823529411764
fff,asmt_abi,nn,kmeans,accuracy,0.9279249737670514
fff,asmt_abi,nn,kmeans,fscore,0.003665881120712228
fff,asmt_abi,nn,kmeans,precision,0.031111111111111114
fff,asmt_abi,nn,kmeans,recall,0.10980392156862744
fff,stdnt_abd,nn,kmeans,accuracy,0.9428777544596012
fff,stdnt_abd,nn,kmeans,fscore,0.002489028623829174
fff,stdnt_abd,nn,kmeans,precision,0.0290519877675841
fff,stdnt_abd,nn,kmeans,recall,0.07450980392156863
fff,stdnt_abi,nn,kmeans,accuracy,0.9495671563483736
fff,stdnt_abi,nn,kmeans,fscore,0.0035351882160392797
fff,stdnt_abi,nn,kmeans,precision,0.04753521126760563
fff,stdnt_abi,nn,kmeans,recall,0.10588235294117647
fff,asmt_stdnt_abd,nn,kmeans,accuracy,0.953305351521511
fff,asmt_stdnt_abd,nn,kmeans,fscore,0.00405785718960665
fff,asmt_stdnt_abd,nn,kmeans,precision,0.05973025048169558
fff,asmt_stdnt_abd,nn,kmeans,recall,0.1215686274509804
fff,asmt_stdnt_abi,nn,kmeans,accuracy,0.9437959076600211
fff,asmt_stdnt_abi,nn,kmeans,fscore,0.005102374566625237
fff,asmt_stdnt_abi,nn,kmeans,precision,0.057352941176470586
fff,asmt_stdnt_abi,nn,kmeans,recall,0.15294117647058825
