module,attributes,classifier,technique,metric,score
bbb,asmt,nn,pca,accuracy,0.8853485838779956
bbb,asmt,nn,pca,fscore,0.0
bbb,asmt,nn,pca,precision,0.0
bbb,asmt,nn,pca,recall,0.0
bbb,stdnt,nn,pca,accuracy,0.8853485838779956
bbb,stdnt,nn,pca,fscore,0.0
bbb,stdnt,nn,pca,precision,0.0
bbb,stdnt,nn,pca,recall,0.0
bbb,abd,nn,pca,accuracy,0.8811274509803921
bbb,abd,nn,pca,fscore,0.0002722940776038121
bbb,abd,nn,pca,precision,0.030303030303030307
bbb,abd,nn,pca,recall,0.0011876484560570072
bbb,abi,nn,pca,accuracy,0.8807189542483659
bbb,abi,nn,pca,fscore,0.0
bbb,abi,nn,pca,precision,0.0
bbb,abi,nn,pca,recall,0.0
bbb,asmt_stdnt,nn,pca,accuracy,0.8853485838779956
bbb,asmt_stdnt,nn,pca,fscore,0.0
bbb,asmt_stdnt,nn,pca,precision,0.0
bbb,asmt_stdnt,nn,pca,recall,0.0
bbb,asmt_abd,nn,pca,accuracy,0.8684640522875817
bbb,asmt_abd,nn,pca,fscore,0.0005445140212360467
bbb,asmt_abd,nn,pca,precision,0.015625
bbb,asmt_abd,nn,pca,recall,0.0023752969121140144
bbb,asmt_abi,nn,pca,accuracy,0.8762254901960784
bbb,asmt_abi,nn,pca,fscore,0.0005445140212360467
bbb,asmt_abi,nn,pca,precision,0.028169014084507043
bbb,asmt_abi,nn,pca,recall,0.0023752969121140144
bbb,stdnt_abd,nn,pca,accuracy,0.8809912854030502
bbb,stdnt_abd,nn,pca,fscore,0.0008166598611678236
bbb,stdnt_abd,nn,pca,precision,0.07894736842105263
bbb,stdnt_abd,nn,pca,recall,0.003562945368171021
bbb,stdnt_abi,nn,pca,accuracy,0.8816721132897604
bbb,stdnt_abi,nn,pca,fscore,0.0
bbb,stdnt_abi,nn,pca,precision,0.0
bbb,stdnt_abi,nn,pca,recall,0.0
bbb,asmt_stdnt_abd,nn,pca,accuracy,0.8617919389978214
bbb,asmt_stdnt_abd,nn,pca,fscore,0.0013607293509320993
bbb,asmt_stdnt_abd,nn,pca,precision,0.0273224043715847
bbb,asmt_stdnt_abd,nn,pca,recall,0.005938242280285036
bbb,asmt_stdnt_abi,nn,pca,accuracy,0.8660130718954249
bbb,asmt_stdnt_abi,nn,pca,fscore,0.0013607293509320993
bbb,asmt_stdnt_abi,nn,pca,precision,0.03289473684210526
bbb,asmt_stdnt_abi,nn,pca,recall,0.005938242280285036
