module,attributes,classifier,technique,metric,score
eee,asmt,nn,pca,accuracy,0.9853990914990266
eee,asmt,nn,pca,fscore,0.0
eee,asmt,nn,pca,precision,0.0
eee,asmt,nn,pca,recall,0.0
eee,stdnt,nn,pca,accuracy,0.9853990914990266
eee,stdnt,nn,pca,fscore,0.0
eee,stdnt,nn,pca,precision,0.0
eee,stdnt,nn,pca,recall,0.0
eee,abd,nn,pca,accuracy,0.9837767683322518
eee,abd,nn,pca,fscore,0.0
eee,abd,nn,pca,precision,0.0
eee,abd,nn,pca,recall,0.0
eee,abi,nn,pca,accuracy,0.9844256975989616
eee,abi,nn,pca,fscore,0.0
eee,abi,nn,pca,precision,0.0
eee,abi,nn,pca,recall,0.0
eee,asmt_stdnt,nn,pca,accuracy,0.9837767683322518
eee,asmt_stdnt,nn,pca,fscore,0.0
eee,asmt_stdnt,nn,pca,precision,0.0
eee,asmt_stdnt,nn,pca,recall,0.0
eee,asmt_abd,nn,pca,accuracy,0.9837767683322518
eee,asmt_abd,nn,pca,fscore,0.0
eee,asmt_abd,nn,pca,precision,0.0
eee,asmt_abd,nn,pca,recall,0.0
eee,asmt_abi,nn,pca,accuracy,0.9828033744321868
eee,asmt_abi,nn,pca,fscore,0.0
eee,asmt_abi,nn,pca,precision,0.0
eee,asmt_abi,nn,pca,recall,0.0
eee,stdnt_abd,nn,pca,accuracy,0.981181051265412
eee,stdnt_abd,nn,pca,fscore,0.0006487187804086928
eee,stdnt_abd,nn,pca,precision,0.06666666666666668
eee,stdnt_abd,nn,pca,recall,0.022222222222222227
eee,stdnt_abi,nn,pca,accuracy,0.9828033744321868
eee,stdnt_abi,nn,pca,fscore,0.0
eee,stdnt_abi,nn,pca,precision,0.0
eee,stdnt_abi,nn,pca,recall,0.0
eee,asmt_stdnt_abd,nn,pca,accuracy,0.9766385463984426
eee,asmt_stdnt_abd,nn,pca,fscore,0.0019448946515397078
eee,asmt_stdnt_abd,nn,pca,precision,0.09090909090909093
eee,asmt_stdnt_abd,nn,pca,recall,0.06666666666666668
eee,asmt_stdnt_abi,nn,pca,accuracy,0.9792342634652824
eee,asmt_stdnt_abi,nn,pca,fscore,0.0012970168612191958
eee,asmt_stdnt_abi,nn,pca,precision,0.08695652173913042
eee,asmt_stdnt_abi,nn,pca,recall,0.04444444444444445
