module,attributes,classifier,technique,metric,score
ggg,asmt,nn,pca,accuracy,0.977762494268684
ggg,asmt,nn,pca,fscore,0.0
ggg,asmt,nn,pca,precision,0.0
ggg,asmt,nn,pca,recall,0.0
ggg,stdnt,nn,pca,accuracy,0.977762494268684
ggg,stdnt,nn,pca,fscore,0.0
ggg,stdnt,nn,pca,precision,0.0
ggg,stdnt,nn,pca,recall,0.0
ggg,abd,nn,pca,accuracy,0.977762494268684
ggg,abd,nn,pca,fscore,0.0
ggg,abd,nn,pca,precision,0.0
ggg,abd,nn,pca,recall,0.0
ggg,abi,nn,pca,accuracy,0.9766162310866576
ggg,abi,nn,pca,fscore,0.00045840018336007336
ggg,abi,nn,pca,precision,0.14285714285714285
ggg,abi,nn,pca,recall,0.010309278350515464
ggg,asmt_stdnt,nn,pca,accuracy,0.977762494268684
ggg,asmt_stdnt,nn,pca,fscore,0.0
ggg,asmt_stdnt,nn,pca,precision,0.0
ggg,asmt_stdnt,nn,pca,recall,0.0
ggg,asmt_abd,nn,pca,accuracy,0.9768454837230628
ggg,asmt_abd,nn,pca,fscore,0.0
ggg,asmt_abd,nn,pca,precision,0.0
ggg,asmt_abd,nn,pca,recall,0.0
ggg,asmt_abi,nn,pca,accuracy,0.9775332416322788
ggg,asmt_abi,nn,pca,fscore,0.00045840018336007336
ggg,asmt_abi,nn,pca,precision,0.3333333333333333
ggg,asmt_abi,nn,pca,recall,0.010309278350515464
ggg,stdnt_abd,nn,pca,accuracy,0.9768454837230628
ggg,stdnt_abd,nn,pca,fscore,0.00045840018336007336
ggg,stdnt_abd,nn,pca,precision,0.16666666666666666
ggg,stdnt_abd,nn,pca,recall,0.010309278350515464
ggg,stdnt_abi,nn,pca,accuracy,0.9770747363594682
ggg,stdnt_abi,nn,pca,fscore,0.00045840018336007336
ggg,stdnt_abi,nn,pca,precision,0.2
ggg,stdnt_abi,nn,pca,recall,0.010309278350515464
ggg,asmt_stdnt_abd,nn,pca,accuracy,0.9759284731774416
ggg,asmt_stdnt_abd,nn,pca,fscore,0.00045840018336007336
ggg,asmt_stdnt_abd,nn,pca,precision,0.1
ggg,asmt_stdnt_abd,nn,pca,recall,0.010309278350515464
ggg,asmt_stdnt_abi,nn,pca,accuracy,0.9768454837230628
ggg,asmt_stdnt_abi,nn,pca,fscore,0.00045840018336007336
ggg,asmt_stdnt_abi,nn,pca,precision,0.16666666666666666
ggg,asmt_stdnt_abi,nn,pca,recall,0.010309278350515464
