module,attributes,classifier,technique,metric,score
aaa,asmt,nn,smote+ae,accuracy,0.4379661016949152
aaa,asmt,nn,smote+ae,fscore,0.04765056254136334
aaa,asmt,nn,smote+ae,precision,0.04230317273795535
aaa,asmt,nn,smote+ae,recall,0.72
aaa,stdnt,nn,smote+ae,accuracy,0.7233898305084746
aaa,stdnt,nn,smote+ae,fscore,0.021462105969148226
aaa,stdnt,nn,smote+ae,precision,0.04102564102564103
aaa,stdnt,nn,smote+ae,recall,0.32
aaa,abd,nn,smote+ae,accuracy,0.5349152542372881
aaa,abd,nn,smote+ae,fscore,0.04894179894179894
aaa,abd,nn,smote+ae,precision,0.05211267605633803
aaa,abd,nn,smote+ae,recall,0.74
aaa,abi,nn,smote+ae,accuracy,0.5010169491525424
aaa,abi,nn,smote+ae,fscore,0.05665349143610012
aaa,abi,nn,smote+ae,precision,0.05569948186528497
aaa,abi,nn,smote+ae,recall,0.86
aaa,asmt_stdnt,nn,smote+ae,accuracy,0.6291525423728813
aaa,asmt_stdnt,nn,smote+ae,fscore,0.037258815701929474
aaa,asmt_stdnt,nn,smote+ae,precision,0.05063291139240506
aaa,asmt_stdnt,nn,smote+ae,recall,0.56
aaa,asmt_abd,nn,smote+ae,accuracy,0.6122033898305085
aaa,asmt_abd,nn,smote+ae,fscore,0.0424684804246848
aaa,asmt_abd,nn,smote+ae,precision,0.054607508532423216
aaa,asmt_abd,nn,smote+ae,recall,0.64
aaa,asmt_abi,nn,smote+ae,accuracy,0.5952542372881356
aaa,asmt_abi,nn,smote+ae,fscore,0.045062955599734916
aaa,asmt_abi,nn,smote+ae,precision,0.05528455284552845
aaa,asmt_abi,nn,smote+ae,recall,0.68
aaa,stdnt_abd,nn,smote+ae,accuracy,0.7640677966101694
aaa,stdnt_abd,nn,smote+ae,fscore,0.035952063914780286
aaa,stdnt_abd,nn,smote+ae,precision,0.07670454545454546
aaa,stdnt_abd,nn,smote+ae,recall,0.54
aaa,stdnt_abi,nn,smote+ae,accuracy,0.6874576271186441
aaa,stdnt_abi,nn,smote+ae,fscore,0.05023132848645076
aaa,stdnt_abi,nn,smote+ae,precision,0.07802874743326489
aaa,stdnt_abi,nn,smote+ae,recall,0.76
aaa,asmt_stdnt_abd,nn,smote+ae,accuracy,0.6203389830508474
aaa,asmt_stdnt_abd,nn,smote+ae,fscore,0.04894179894179894
aaa,asmt_stdnt_abd,nn,smote+ae,precision,0.06335616438356165
aaa,asmt_stdnt_abd,nn,smote+ae,recall,0.74
aaa,asmt_stdnt_abi,nn,smote+ae,accuracy,0.7491525423728813
aaa,asmt_stdnt_abi,nn,smote+ae,fscore,0.028074866310160432
aaa,asmt_stdnt_abi,nn,smote+ae,precision,0.0580110497237569
aaa,asmt_stdnt_abi,nn,smote+ae,recall,0.42
