module,attributes,classifier,technique,metric,score
fff,asmt,nn,smote+ae,accuracy,0.5636149003147953
fff,asmt,nn,smote+ae,fscore,0.02997416020671835
fff,asmt,nn,smote+ae,precision,0.03380445869153431
fff,asmt,nn,smote+ae,recall,0.9098039215686274
fff,stdnt,nn,smote+ae,accuracy,0.5410545645330536
fff,stdnt,nn,smote+ae,fscore,0.017551842943509068
fff,stdnt,nn,smote+ae,precision,0.019249964351917868
fff,stdnt,nn,smote+ae,recall,0.5294117647058824
fff,abd,nn,smote+ae,accuracy,0.4110703043022036
fff,abd,nn,smote+ae,fscore,0.027808316626786518
fff,abd,nn,smote+ae,precision,0.023484434735117424
fff,abd,nn,smote+ae,recall,0.8431372549019608
fff,abi,nn,smote+ae,accuracy,0.7794464847848899
fff,abi,nn,smote+ae,fscore,0.020639968845330044
fff,abi,nn,smote+ae,precision,0.046409807355516634
fff,abi,nn,smote+ae,recall,0.6235294117647059
fff,asmt_stdnt,nn,smote+ae,accuracy,0.6211306400839455
fff,asmt_stdnt,nn,smote+ae,fscore,0.02742561448900388
fff,asmt_stdnt,nn,smote+ae,precision,0.03565422132526068
fff,asmt_stdnt,nn,smote+ae,recall,0.8313725490196079
fff,asmt_abd,nn,smote+ae,accuracy,0.7772166841552991
fff,asmt_abd,nn,smote+ae,fscore,0.0242306446388079
fff,asmt_abd,nn,smote+ae,precision,0.05318543799772469
fff,asmt_abd,nn,smote+ae,recall,0.7333333333333333
fff,asmt_abi,nn,smote+ae,accuracy,0.7892838405036726
fff,asmt_abi,nn,smote+ae,fscore,0.023718488756399456
fff,asmt_abi,nn,smote+ae,precision,0.055054151624548735
fff,asmt_abi,nn,smote+ae,recall,0.7176470588235294
fff,stdnt_abd,nn,smote+ae,accuracy,0.683696222455404
fff,stdnt_abd,nn,smote+ae,fscore,0.024358642135268203
fff,stdnt_abd,nn,smote+ae,precision,0.03802588996763754
fff,stdnt_abd,nn,smote+ae,recall,0.7372549019607844
fff,stdnt_abi,nn,smote+ae,accuracy,0.6777282266526757
fff,stdnt_abi,nn,smote+ae,fscore,0.020639968845330044
fff,stdnt_abi,nn,smote+ae,precision,0.031946955997588906
fff,stdnt_abi,nn,smote+ae,recall,0.6235294117647059
fff,asmt_stdnt_abd,nn,smote+ae,accuracy,0.7218651626442812
fff,asmt_stdnt_abd,nn,smote+ae,fscore,0.027042763796338232
fff,asmt_stdnt_abd,nn,smote+ae,precision,0.04745685740236149
fff,asmt_stdnt_abd,nn,smote+ae,recall,0.8196078431372549
fff,asmt_stdnt_abi,nn,smote+ae,accuracy,0.7747245540398741
fff,asmt_stdnt_abi,nn,smote+ae,fscore,0.02550987374554872
fff,asmt_stdnt_abi,nn,smote+ae,precision,0.055120313374370455
fff,asmt_stdnt_abi,nn,smote+ae,recall,0.7725490196078432
