module,attributes,classifier,technique,metric,score
aaa,asmt,nn,smote+kmeans,accuracy,0.25152542372881354
aaa,asmt,nn,smote+kmeans,fscore,0.060486522024983565
aaa,asmt,nn,smote+kmeans,precision,0.04013961605584642
aaa,asmt,nn,smote+kmeans,recall,0.92
aaa,stdnt,nn,smote+kmeans,accuracy,0.7403389830508474
aaa,stdnt,nn,smote+kmeans,fscore,0.01346801346801347
aaa,stdnt,nn,smote+kmeans,precision,0.028328611898017
aaa,stdnt,nn,smote+kmeans,recall,0.2
aaa,abd,nn,smote+kmeans,accuracy,0.8176271186440678
aaa,abd,nn,smote+kmeans,fscore,0.028074866310160432
aaa,abd,nn,smote+kmeans,precision,0.08045977011494253
aaa,abd,nn,smote+kmeans,recall,0.42
aaa,abi,nn,smote+kmeans,accuracy,0.8311864406779661
aaa,abi,nn,smote+kmeans,fscore,0.029392117568470277
aaa,abi,nn,smote+kmeans,precision,0.09053497942386833
aaa,abi,nn,smote+kmeans,recall,0.44
aaa,asmt_stdnt,nn,smote+kmeans,accuracy,0.905084745762712
aaa,asmt_stdnt,nn,smote+kmeans,fscore,0.0040595399188092015
aaa,asmt_stdnt,nn,smote+kmeans,precision,0.03125
aaa,asmt_stdnt,nn,smote+kmeans,recall,0.06
aaa,asmt_abd,nn,smote+kmeans,accuracy,0.8589830508474576
aaa,asmt_abd,nn,smote+kmeans,fscore,0.021462105969148226
aaa,asmt_abd,nn,smote+kmeans,precision,0.08421052631578947
aaa,asmt_abd,nn,smote+kmeans,recall,0.32
aaa,asmt_abi,nn,smote+kmeans,accuracy,0.8610169491525423
aaa,asmt_abi,nn,smote+kmeans,fscore,0.028074866310160432
aaa,asmt_abi,nn,smote+kmeans,precision,0.1065989847715736
aaa,asmt_abi,nn,smote+kmeans,recall,0.42
aaa,stdnt_abd,nn,smote+kmeans,accuracy,0.8922033898305085
aaa,stdnt_abd,nn,smote+kmeans,fscore,0.009446693657219974
aaa,stdnt_abd,nn,smote+kmeans,precision,0.05691056910569105
aaa,stdnt_abd,nn,smote+kmeans,recall,0.14
aaa,stdnt_abi,nn,smote+kmeans,accuracy,0.8874576271186441
aaa,stdnt_abi,nn,smote+kmeans,fscore,0.009446693657219974
aaa,stdnt_abi,nn,smote+kmeans,precision,0.05384615384615385
aaa,stdnt_abi,nn,smote+kmeans,recall,0.14
aaa,asmt_stdnt_abd,nn,smote+kmeans,accuracy,0.9328813559322032
aaa,asmt_stdnt_abd,nn,smote+kmeans,fscore,0.008102633355840648
aaa,asmt_stdnt_abd,nn,smote+kmeans,precision,0.09836065573770493
aaa,asmt_stdnt_abd,nn,smote+kmeans,recall,0.12
aaa,asmt_stdnt_abi,nn,smote+kmeans,accuracy,0.9138983050847458
aaa,asmt_stdnt_abi,nn,smote+kmeans,fscore,0.008102633355840648
aaa,asmt_stdnt_abi,nn,smote+kmeans,precision,0.06741573033707865
aaa,asmt_stdnt_abi,nn,smote+kmeans,recall,0.12
