module,attributes,classifier,technique,metric,score
eee,asmt,nn,smote+kmeans,accuracy,0.5502920181700195
eee,asmt,nn,smote+kmeans,fscore,0.02118780096308186
eee,asmt,nn,smote+kmeans,precision,0.023454157782515996
eee,asmt,nn,smote+kmeans,recall,0.7333333333333333
eee,stdnt,nn,smote+kmeans,accuracy,0.7748215444516547
eee,stdnt,nn,smote+kmeans,fscore,0.005177993527508091
eee,stdnt,nn,smote+kmeans,precision,0.012030075187969927
eee,stdnt,nn,smote+kmeans,recall,0.17777777777777778
eee,abd,nn,smote+kmeans,accuracy,0.926022063595068
eee,abd,nn,smote+kmeans,fscore,0.00646830530401035
eee,abd,nn,smote+kmeans,precision,0.04926108374384237
eee,abd,nn,smote+kmeans,recall,0.2222222222222222
eee,abi,nn,smote+kmeans,accuracy,0.9393251135626216
eee,abi,nn,smote+kmeans,fscore,0.010329244673983214
eee,abi,nn,smote+kmeans,precision,0.09195402298850576
eee,abi,nn,smote+kmeans,recall,0.3555555555555556
eee,asmt_stdnt,nn,smote+kmeans,accuracy,0.90979883192732
eee,asmt_stdnt,nn,smote+kmeans,fscore,0.0012970168612191958
eee,asmt_stdnt,nn,smote+kmeans,precision,0.008438818565400843
eee,asmt_stdnt,nn,smote+kmeans,recall,0.04444444444444445
eee,asmt_abd,nn,smote+kmeans,accuracy,0.937378325762492
eee,asmt_abd,nn,smote+kmeans,fscore,0.009043927648578809
eee,asmt_abd,nn,smote+kmeans,precision,0.07954545454545454
eee,asmt_abd,nn,smote+kmeans,recall,0.3111111111111111
eee,asmt_abi,nn,smote+kmeans,accuracy,0.9406229720960416
eee,asmt_abi,nn,smote+kmeans,fscore,0.008400646203554121
eee,asmt_abi,nn,smote+kmeans,precision,0.07926829268292683
eee,asmt_abi,nn,smote+kmeans,recall,0.2888888888888889
eee,stdnt_abd,nn,smote+kmeans,accuracy,0.9500324464633356
eee,stdnt_abd,nn,smote+kmeans,fscore,0.003886010362694301
eee,stdnt_abd,nn,smote+kmeans,precision,0.04958677685950413
eee,stdnt_abd,nn,smote+kmeans,recall,0.13333333333333333
eee,stdnt_abi,nn,smote+kmeans,accuracy,0.9633354964308891
eee,stdnt_abi,nn,smote+kmeans,fscore,0.0006487187804086928
eee,stdnt_abi,nn,smote+kmeans,precision,0.014285714285714284
eee,stdnt_abi,nn,smote+kmeans,recall,0.022222222222222227
eee,asmt_stdnt_abd,nn,smote+kmeans,accuracy,0.9542504866969499
eee,asmt_stdnt_abd,nn,smote+kmeans,fscore,0.003886010362694301
eee,asmt_stdnt_abd,nn,smote+kmeans,precision,0.05555555555555555
eee,asmt_stdnt_abd,nn,smote+kmeans,recall,0.13333333333333333
eee,asmt_stdnt_abi,nn,smote+kmeans,accuracy,0.962362102530824
eee,asmt_stdnt_abi,nn,smote+kmeans,fscore,0.003239390994493035
eee,asmt_stdnt_abi,nn,smote+kmeans,precision,0.061728395061728385
eee,asmt_stdnt_abi,nn,smote+kmeans,recall,0.1111111111111111
