module,attributes,classifier,technique,metric,score
aaa,asmt,nn,smote+pca,accuracy,0.4379661016949152
aaa,asmt,nn,smote+pca,fscore,0.04765056254136334
aaa,asmt,nn,smote+pca,precision,0.04230317273795535
aaa,asmt,nn,smote+pca,recall,0.72
aaa,stdnt,nn,smote+pca,accuracy,0.8698305084745763
aaa,stdnt,nn,smote+pca,fscore,0.01078894133513149
aaa,stdnt,nn,smote+pca,precision,0.05063291139240506
aaa,stdnt,nn,smote+pca,recall,0.16
aaa,abd,nn,smote+pca,accuracy,0.8223728813559322
aaa,abd,nn,smote+pca,fscore,0.025435073627844716
aaa,abd,nn,smote+pca,precision,0.076
aaa,abd,nn,smote+pca,recall,0.38
aaa,abi,nn,smote+pca,accuracy,0.8549152542372881
aaa,abi,nn,smote+pca,fscore,0.02411252511721366
aaa,abi,nn,smote+pca,precision,0.09
aaa,abi,nn,smote+pca,recall,0.36
aaa,asmt_stdnt,nn,smote+pca,accuracy,0.9308474576271186
aaa,asmt_stdnt,nn,smote+pca,fscore,0.008102633355840648
aaa,asmt_stdnt,nn,smote+pca,precision,0.09375
aaa,asmt_stdnt,nn,smote+pca,recall,0.12
aaa,asmt_abd,nn,smote+pca,accuracy,0.8569491525423729
aaa,asmt_abd,nn,smote+pca,fscore,0.021462105969148226
aaa,asmt_abd,nn,smote+pca,precision,0.08290155440414508
aaa,asmt_abd,nn,smote+pca,recall,0.32
aaa,asmt_abi,nn,smote+pca,accuracy,0.8840677966101695
aaa,asmt_abi,nn,smote+pca,fscore,0.022788203753351208
aaa,asmt_abi,nn,smote+pca,precision,0.10967741935483873
aaa,asmt_abi,nn,smote+pca,recall,0.34
aaa,stdnt_abd,nn,smote+pca,accuracy,0.9383050847457628
aaa,stdnt_abd,nn,smote+pca,fscore,0.008102633355840648
aaa,stdnt_abd,nn,smote+pca,precision,0.11320754716981132
aaa,stdnt_abd,nn,smote+pca,recall,0.12
aaa,stdnt_abi,nn,smote+pca,accuracy,0.91864406779661
aaa,stdnt_abi,nn,smote+pca,fscore,0.009446693657219974
aaa,stdnt_abi,nn,smote+pca,precision,0.08333333333333333
aaa,stdnt_abi,nn,smote+pca,recall,0.14
aaa,asmt_stdnt_abd,nn,smote+pca,accuracy,0.9423728813559322
aaa,asmt_stdnt_abd,nn,smote+pca,fscore,0.01078894133513149
aaa,asmt_stdnt_abd,nn,smote+pca,precision,0.1568627450980392
aaa,asmt_stdnt_abd,nn,smote+pca,recall,0.16
aaa,asmt_stdnt_abi,nn,smote+pca,accuracy,0.9261016949152544
aaa,asmt_stdnt_abi,nn,smote+pca,fscore,0.01078894133513149
aaa,asmt_stdnt_abi,nn,smote+pca,precision,0.10666666666666667
aaa,asmt_stdnt_abi,nn,smote+pca,recall,0.16
