module,attributes,classifier,technique,metric,score
bbb,asmt,nn,smote+pca,accuracy,0.15672657952069716
bbb,asmt,nn,smote+pca,fscore,0.031363088057901084
bbb,asmt,nn,smote+pca,precision,0.020948970456580125
bbb,asmt,nn,smote+pca,recall,0.13895486935866982
bbb,stdnt,nn,smote+pca,accuracy,0.7864923747276689
bbb,stdnt,nn,smote+pca,fscore,0.031363088057901084
bbb,stdnt,nn,smote+pca,precision,0.121875
bbb,stdnt,nn,smote+pca,recall,0.13895486935866982
bbb,abd,nn,smote+pca,accuracy,0.7287581699346405
bbb,abd,nn,smote+pca,fscore,0.026337006181134104
bbb,abd,nn,smote+pca,precision,0.07280832095096583
bbb,abd,nn,smote+pca,recall,0.1163895486935867
bbb,abi,nn,smote+pca,accuracy,0.7204520697167756
bbb,abi,nn,smote+pca,fscore,0.030042918454935626
bbb,abi,nn,smote+pca,precision,0.07804878048780488
bbb,abi,nn,smote+pca,recall,0.1330166270783848
bbb,asmt_stdnt,nn,smote+pca,accuracy,0.8056917211328976
bbb,asmt_stdnt,nn,smote+pca,fscore,0.006244061354689834
bbb,asmt_stdnt,nn,smote+pca,precision,0.036450079239302685
bbb,asmt_stdnt,nn,smote+pca,recall,0.02731591448931116
bbb,asmt_abd,nn,smote+pca,accuracy,0.7494553376906318
bbb,asmt_abd,nn,smote+pca,fscore,0.010564811052417716
bbb,asmt_abd,nn,smote+pca,precision,0.0362453531598513
bbb,asmt_abd,nn,smote+pca,recall,0.04631828978622328
bbb,asmt_abi,nn,smote+pca,accuracy,0.7212690631808278
bbb,asmt_abi,nn,smote+pca,fscore,0.00975609756097561
bbb,asmt_abi,nn,smote+pca,precision,0.028191072826938137
bbb,asmt_abi,nn,smote+pca,recall,0.04275534441805225
bbb,stdnt_abd,nn,smote+pca,accuracy,0.8367374727668845
bbb,stdnt_abd,nn,smote+pca,fscore,0.01888319395737793
bbb,stdnt_abd,nn,smote+pca,precision,0.14084507042253522
bbb,stdnt_abd,nn,smote+pca,recall,0.0831353919239905
bbb,stdnt_abi,nn,smote+pca,accuracy,0.8115468409586056
bbb,stdnt_abi,nn,smote+pca,fscore,0.0145985401459854
bbb,stdnt_abi,nn,smote+pca,precision,0.08307692307692308
bbb,stdnt_abi,nn,smote+pca,recall,0.06413301662707839
bbb,asmt_stdnt_abd,nn,smote+pca,accuracy,0.815631808278867
bbb,asmt_stdnt_abd,nn,smote+pca,fscore,0.0040766408479412965
bbb,asmt_stdnt_abd,nn,smote+pca,precision,0.027675276752767528
bbb,asmt_stdnt_abd,nn,smote+pca,recall,0.01781472684085511
bbb,asmt_stdnt_abi,nn,smote+pca,accuracy,0.8062363834422658
bbb,asmt_stdnt_abi,nn,smote+pca,fscore,0.006785181164337089
bbb,asmt_stdnt_abi,nn,smote+pca,precision,0.039619651347068144
bbb,asmt_stdnt_abi,nn,smote+pca,recall,0.029691211401425176
