module,attributes,classifier,technique,metric,score
ddd,asmt,nn,smote+pca,accuracy,0.7405958471260908
ddd,asmt,nn,smote+pca,fscore,0.07863544376987569
ddd,asmt,nn,smote+pca,precision,0.14822888283378746
ddd,asmt,nn,smote+pca,recall,0.6281755196304849
ddd,stdnt,nn,smote+pca,accuracy,0.6579897682816732
ddd,stdnt,nn,smote+pca,fscore,0.04097273397199705
ddd,stdnt,nn,smote+pca,precision,0.06562795089707271
ddd,stdnt,nn,smote+pca,recall,0.3210161662817552
ddd,abd,nn,smote+pca,accuracy,0.6713812819741197
ddd,abd,nn,smote+pca,fscore,0.07835766950990314
ddd,abd,nn,smote+pca,precision,0.11818578281726995
ddd,abd,nn,smote+pca,recall,0.6258660508083139
ddd,abi,nn,smote+pca,accuracy,0.6432440565753836
ddd,abi,nn,smote+pca,fscore,0.0918748205569911
ddd,abi,nn,smote+pca,precision,0.12412723041117145
ddd,abi,nn,smote+pca,recall,0.7390300230946882
ddd,asmt_stdnt,nn,smote+pca,accuracy,0.7786638579596751
ddd,asmt_stdnt,nn,smote+pca,fscore,0.040106163373636095
ddd,asmt_stdnt,nn,smote+pca,precision,0.10381679389312977
ddd,asmt_stdnt,nn,smote+pca,recall,0.3140877598152425
ddd,asmt_abd,nn,smote+pca,accuracy,0.7041829671983147
ddd,asmt_abd,nn,smote+pca,fscore,0.08775715724356208
ddd,asmt_abd,nn,smote+pca,precision,0.14232384507699486
ddd,asmt_abd,nn,smote+pca,recall,0.7043879907621247
ddd,asmt_abi,nn,smote+pca,accuracy,0.6956063797773097
ddd,asmt_abi,nn,smote+pca,fscore,0.09269622614435356
ddd,asmt_abi,nn,smote+pca,precision,0.14445438282647585
ddd,asmt_abi,nn,smote+pca,recall,0.7459584295612008
ddd,stdnt_abd,nn,smote+pca,accuracy,0.7539873608185375
ddd,stdnt_abd,nn,smote+pca,fscore,0.056441000146220215
ddd,stdnt_abd,nn,smote+pca,precision,0.12153652392947105
ddd,stdnt_abd,nn,smote+pca,recall,0.4457274826789838
ddd,stdnt_abi,nn,smote+pca,accuracy,0.7302136623532952
ddd,stdnt_abi,nn,smote+pca,fscore,0.05871184460347598
ddd,stdnt_abi,nn,smote+pca,precision,0.11407491486946653
ddd,stdnt_abi,nn,smote+pca,recall,0.464203233256351
ddd,asmt_stdnt_abd,nn,smote+pca,accuracy,0.7861871802588023
ddd,asmt_stdnt_abd,nn,smote+pca,fscore,0.0501686959072906
ddd,asmt_stdnt_abd,nn,smote+pca,precision,0.12857142857142856
ddd,asmt_stdnt_abd,nn,smote+pca,recall,0.39491916859122406
ddd,asmt_stdnt_abi,nn,smote+pca,accuracy,0.7634667469154378
ddd,asmt_stdnt_abi,nn,smote+pca,fscore,0.062108179034844724
ddd,asmt_stdnt_abi,nn,smote+pca,precision,0.13610223642172525
ddd,asmt_stdnt_abi,nn,smote+pca,recall,0.4919168591224018
