module,attributes,classifier,technique,metric,score
eee,asmt,nn,smote+pca,accuracy,0.7598961713173265
eee,asmt,nn,smote+pca,fscore,0.012894906511927788
eee,asmt,nn,smote+pca,precision,0.027210884353741496
eee,asmt,nn,smote+pca,recall,0.4444444444444444
eee,stdnt,nn,smote+pca,accuracy,0.9062297209604152
eee,stdnt,nn,smote+pca,fscore,0.0019448946515397078
eee,stdnt,nn,smote+pca,precision,0.012
eee,stdnt,nn,smote+pca,recall,0.06666666666666668
eee,abd,nn,smote+pca,accuracy,0.8955223880597015
eee,abd,nn,smote+pca,fscore,0.009686793671294802
eee,abd,nn,smote+pca,precision,0.0488599348534202
eee,abd,nn,smote+pca,recall,0.3333333333333333
eee,abi,nn,smote+pca,accuracy,0.9114211550940948
eee,abi,nn,smote+pca,fscore,0.0154539600772698
eee,abi,nn,smote+pca,precision,0.08695652173913042
eee,abi,nn,smote+pca,recall,0.5333333333333333
eee,asmt_stdnt,nn,smote+pca,accuracy,0.9315379623621024
eee,asmt_stdnt,nn,smote+pca,fscore,0.002592352559948153
eee,asmt_stdnt,nn,smote+pca,precision,0.02298850574712644
eee,asmt_stdnt,nn,smote+pca,recall,0.08888888888888889
eee,asmt_abd,nn,smote+pca,accuracy,0.90979883192732
eee,asmt_abd,nn,smote+pca,fscore,0.010971281058405936
eee,asmt_abd,nn,smote+pca,precision,0.06367041198501873
eee,asmt_abd,nn,smote+pca,recall,0.37777777777777777
eee,asmt_abi,nn,smote+pca,accuracy,0.9211550940947436
eee,asmt_abi,nn,smote+pca,fscore,0.012254111576910674
eee,asmt_abi,nn,smote+pca,precision,0.08050847457627118
eee,asmt_abi,nn,smote+pca,recall,0.4222222222222222
eee,stdnt_abd,nn,smote+pca,accuracy,0.9467878001297858
eee,stdnt_abd,nn,smote+pca,fscore,0.003886010362694301
eee,stdnt_abd,nn,smote+pca,precision,0.04580152671755725
eee,stdnt_abd,nn,smote+pca,recall,0.13333333333333333
eee,stdnt_abi,nn,smote+pca,accuracy,0.9503569110966904
eee,stdnt_abi,nn,smote+pca,fscore,0.002592352559948153
eee,stdnt_abi,nn,smote+pca,precision,0.03448275862068965
eee,stdnt_abi,nn,smote+pca,recall,0.08888888888888889
eee,asmt_stdnt_abd,nn,smote+pca,accuracy,0.9484101232965608
eee,asmt_stdnt_abd,nn,smote+pca,fscore,0.007112835434852894
eee,asmt_stdnt_abd,nn,smote+pca,precision,0.08088235294117647
eee,asmt_stdnt_abd,nn,smote+pca,recall,0.24444444444444444
eee,asmt_stdnt_abi,nn,smote+pca,accuracy,0.9529526281635302
eee,asmt_stdnt_abi,nn,smote+pca,fscore,0.005177993527508091
eee,asmt_stdnt_abi,nn,smote+pca,precision,0.06896551724137931
eee,asmt_stdnt_abi,nn,smote+pca,recall,0.17777777777777778
