module,attributes,classifier,technique,metric,score
fff,asmt,nn,smote+pca,accuracy,0.676088667366212
fff,asmt,nn,smote+pca,fscore,0.028700711053652232
fff,asmt,nn,smote+pca,precision,0.04329173166926677
fff,asmt,nn,smote+pca,recall,0.8705882352941177
fff,stdnt,nn,smote+pca,accuracy,0.7848898216159497
fff,stdnt,nn,smote+pca,fscore,0.0067973856209150325
fff,stdnt,nn,smote+pca,precision,0.016618728028124002
fff,stdnt,nn,smote+pca,recall,0.20392156862745095
fff,abd,nn,smote+pca,accuracy,0.9003803777544596
fff,abd,nn,smote+pca,fscore,0.016907270126154245
fff,abd,nn,smote+pca,precision,0.08530183727034121
fff,abd,nn,smote+pca,recall,0.5098039215686274
fff,abi,nn,smote+pca,accuracy,0.925498426023085
fff,abi,nn,smote+pca,fscore,0.014712583816157802
fff,abi,nn,smote+pca,precision,0.1020776874435411
fff,abi,nn,smote+pca,recall,0.4431372549019608
fff,asmt_stdnt,nn,smote+pca,accuracy,0.8884443861490031
fff,asmt_stdnt,nn,smote+pca,fscore,0.009659313405560631
fff,asmt_stdnt,nn,smote+pca,precision,0.04642409033877039
fff,asmt_stdnt,nn,smote+pca,recall,0.2901960784313726
fff,asmt_abd,nn,smote+pca,accuracy,0.9108079748163692
fff,asmt_abd,nn,smote+pca,fscore,0.015358583886502668
fff,asmt_abd,nn,smote+pca,precision,0.08799403430275914
fff,asmt_abd,nn,smote+pca,recall,0.4627450980392157
fff,asmt_abi,nn,smote+pca,accuracy,0.902085519412382
fff,asmt_abi,nn,smote+pca,fscore,0.016778305261104246
fff,asmt_abi,nn,smote+pca,precision,0.08622994652406417
fff,asmt_abi,nn,smote+pca,recall,0.5058823529411764
fff,stdnt_abd,nn,smote+pca,accuracy,0.9395986358866736
fff,stdnt_abd,nn,smote+pca,fscore,0.008489518709593157
fff,stdnt_abd,nn,smote+pca,precision,0.08165829145728644
fff,stdnt_abd,nn,smote+pca,recall,0.2549019607843137
fff,stdnt_abi,nn,smote+pca,accuracy,0.9403200419727176
fff,stdnt_abi,nn,smote+pca,fscore,0.009659313405560631
fff,stdnt_abi,nn,smote+pca,precision,0.0921544209215442
fff,stdnt_abi,nn,smote+pca,recall,0.2901960784313726
fff,asmt_stdnt_abd,nn,smote+pca,accuracy,0.9404512067156348
fff,asmt_stdnt_abd,nn,smote+pca,fscore,0.007448546226723294
fff,asmt_stdnt_abd,nn,smote+pca,precision,0.07431551499348109
fff,asmt_stdnt_abd,nn,smote+pca,recall,0.2235294117647059
fff,asmt_stdnt_abi,nn,smote+pca,accuracy,0.9375
fff,asmt_stdnt_abi,nn,smote+pca,fscore,0.0100489396411093
fff,asmt_stdnt_abi,nn,smote+pca,precision,0.0903755868544601
fff,asmt_stdnt_abi,nn,smote+pca,recall,0.3019607843137255
