module,attributes,classifier,technique,metric,score
ggg,asmt,nn,smote+pca,accuracy,0.7581384685923888
ggg,asmt,nn,smote+pca,fscore,0.018173557473875508
ggg,asmt,nn,smote+pca,precision,0.03853564547206165
ggg,asmt,nn,smote+pca,recall,0.4123711340206185
ggg,stdnt,nn,smote+pca,accuracy,0.7776249426868409
ggg,stdnt,nn,smote+pca,fscore,0.005942857142857143
ggg,stdnt,nn,smote+pca,precision,0.014460511679644046
ggg,stdnt,nn,smote+pca,recall,0.13402061855670105
ggg,abd,nn,smote+pca,accuracy,0.8085740486015589
ggg,abd,nn,smote+pca,fscore,0.015017064846416382
ggg,abd,nn,smote+pca,precision,0.04104477611940298
ggg,abd,nn,smote+pca,recall,0.3402061855670103
ggg,abi,nn,smote+pca,accuracy,0.6522237505731316
ggg,abi,nn,smote+pca,fscore,0.02490378084672855
ggg,abi,nn,smote+pca,precision,0.03594771241830065
ggg,abi,nn,smote+pca,recall,0.5670103092783505
ggg,asmt_stdnt,nn,smote+pca,accuracy,0.8704722604309949
ggg,asmt_stdnt,nn,smote+pca,fscore,0.006398537477148082
ggg,asmt_stdnt,nn,smote+pca,precision,0.028225806451612906
ggg,asmt_stdnt,nn,smote+pca,recall,0.14432989690721648
ggg,asmt_abd,nn,smote+pca,accuracy,0.832416322787712
ggg,asmt_abd,nn,smote+pca,fscore,0.017272727272727273
ggg,asmt_abd,nn,smote+pca,precision,0.05352112676056338
ggg,asmt_abd,nn,smote+pca,recall,0.3917525773195876
ggg,asmt_abi,nn,smote+pca,accuracy,0.8697845025217791
ggg,asmt_abi,nn,smote+pca,fscore,0.01862366568248921
ggg,asmt_abi,nn,smote+pca,precision,0.07414104882459313
ggg,asmt_abi,nn,smote+pca,recall,0.42268041237113396
ggg,stdnt_abd,nn,smote+pca,accuracy,0.9261806510774874
ggg,stdnt_abd,nn,smote+pca,fscore,0.005942857142857143
ggg,stdnt_abd,nn,smote+pca,precision,0.05179282868525897
ggg,stdnt_abd,nn,smote+pca,recall,0.13402061855670105
ggg,stdnt_abi,nn,smote+pca,accuracy,0.9112792297111416
ggg,stdnt_abi,nn,smote+pca,fscore,0.005486968449931413
ggg,stdnt_abi,nn,smote+pca,precision,0.03821656050955414
ggg,stdnt_abi,nn,smote+pca,recall,0.12371134020618554
ggg,asmt_stdnt_abd,nn,smote+pca,accuracy,0.9238881247134342
ggg,asmt_stdnt_abd,nn,smote+pca,fscore,0.005942857142857143
ggg,asmt_stdnt_abd,nn,smote+pca,precision,0.049808429118773936
ggg,asmt_stdnt_abd,nn,smote+pca,recall,0.13402061855670105
ggg,asmt_stdnt_abi,nn,smote+pca,accuracy,0.9296194406235672
ggg,asmt_stdnt_abi,nn,smote+pca,fscore,0.005030871255431054
ggg,asmt_stdnt_abi,nn,smote+pca,precision,0.047413793103448267
ggg,asmt_stdnt_abi,nn,smote+pca,recall,0.1134020618556701
