module,attributes,classifier,technique,metric,score
ggg,asmt,nn,smote,accuracy,0.7581384685923888
ggg,asmt,nn,smote,fscore,0.018173557473875508
ggg,asmt,nn,smote,precision,0.03853564547206165
ggg,asmt,nn,smote,recall,0.4123711340206185
ggg,stdnt,nn,smote,accuracy,0.9096744612563044
ggg,stdnt,nn,smote,fscore,0.0013745704467353953
ggg,stdnt,nn,smote,precision,0.0099009900990099
ggg,stdnt,nn,smote,recall,0.030927835051546393
ggg,abd,nn,smote,accuracy,0.8356258596973866
ggg,abd,nn,smote,fscore,0.014565316340464268
ggg,abd,nn,smote,precision,0.04678362573099415
ggg,abd,nn,smote,recall,0.32989690721649484
ggg,abi,nn,smote,accuracy,0.6636863823933975
ggg,abi,nn,smote,fscore,0.02445652173913044
ggg,abi,nn,smote,precision,0.03653585926928282
ggg,abi,nn,smote,recall,0.5567010309278351
ggg,asmt_stdnt,nn,smote,accuracy,0.9218248509857864
ggg,asmt_stdnt,nn,smote,fscore,0.0027472527472527475
ggg,asmt_stdnt,nn,smote,precision,0.0234375
ggg,asmt_stdnt,nn,smote,recall,0.061855670103092786
ggg,asmt_abd,nn,smote,accuracy,0.8789546079779917
ggg,asmt_abd,nn,smote,fscore,0.011850501367365542
ggg,asmt_abd,nn,smote,precision,0.05383022774327122
ggg,asmt_abd,nn,smote,recall,0.26804123711340205
ggg,asmt_abi,nn,smote,accuracy,0.8734525447042641
ggg,asmt_abi,nn,smote,fscore,0.017272727272727273
ggg,asmt_abi,nn,smote,precision,0.07156308851224105
ggg,asmt_abi,nn,smote,recall,0.3917525773195876
ggg,stdnt_abd,nn,smote,accuracy,0.9582760201742321
ggg,stdnt_abd,nn,smote,fscore,0.002289901534234028
ggg,stdnt_abd,nn,smote,precision,0.05263157894736842
ggg,stdnt_abd,nn,smote,recall,0.05154639175257732
ggg,stdnt_abi,nn,smote,accuracy,0.9417698303530492
ggg,stdnt_abi,nn,smote,fscore,0.0027472527472527475
ggg,stdnt_abi,nn,smote,precision,0.035502958579881665
ggg,stdnt_abi,nn,smote,recall,0.061855670103092786
ggg,asmt_stdnt_abd,nn,smote,accuracy,0.9569005043558
ggg,asmt_stdnt_abd,nn,smote,fscore,0.0018323408153916628
ggg,asmt_stdnt_abd,nn,smote,precision,0.040404040404040414
ggg,asmt_stdnt_abd,nn,smote,recall,0.041237113402061855
ggg,asmt_stdnt_abi,nn,smote,accuracy,0.9527739569005044
ggg,asmt_stdnt_abi,nn,smote,fscore,0.003661327231121281
ggg,asmt_stdnt_abi,nn,smote,precision,0.064
ggg,asmt_stdnt_abi,nn,smote,recall,0.08247422680412371
