module,attributes,classifier,technique,metric,score
aaa,asmt,rf,base,accuracy,0.9661016949152542
aaa,asmt,rf,base,fscore,0.0
aaa,asmt,rf,base,precision,0.0
aaa,asmt,rf,base,recall,0.0
aaa,stdnt,rf,base,accuracy,0.9661016949152542
aaa,stdnt,rf,base,fscore,0.0
aaa,stdnt,rf,base,precision,0.0
aaa,stdnt,rf,base,recall,0.0
aaa,abd,rf,base,accuracy,0.9572881355932203
aaa,abd,rf,base,fscore,0.0027081922816519968
aaa,abd,rf,base,precision,0.1176470588235294
aaa,abd,rf,base,recall,0.04
aaa,abi,rf,base,accuracy,0.9661016949152542
aaa,abi,rf,base,fscore,0.0013550135501355016
aaa,abi,rf,base,precision,0.5
aaa,abi,rf,base,recall,0.02
aaa,asmt_stdnt,rf,base,accuracy,0.9633898305084746
aaa,asmt_stdnt,rf,base,fscore,0.0
aaa,asmt_stdnt,rf,base,precision,0.0
aaa,asmt_stdnt,rf,base,recall,0.0
aaa,asmt_abd,rf,base,accuracy,0.9661016949152542
aaa,asmt_abd,rf,base,fscore,0.0013550135501355016
aaa,asmt_abd,rf,base,precision,0.5
aaa,asmt_abd,rf,base,recall,0.02
aaa,asmt_abi,rf,base,accuracy,0.9654237288135592
aaa,asmt_abi,rf,base,fscore,0.0013550135501355016
aaa,asmt_abi,rf,base,precision,0.3333333333333333
aaa,asmt_abi,rf,base,recall,0.02
aaa,stdnt_abd,rf,base,accuracy,0.9661016949152542
aaa,stdnt_abd,rf,base,fscore,0.0
aaa,stdnt_abd,rf,base,precision,0.0
aaa,stdnt_abd,rf,base,recall,0.0
aaa,stdnt_abi,rf,base,accuracy,0.9661016949152542
aaa,stdnt_abi,rf,base,fscore,0.0
aaa,stdnt_abi,rf,base,precision,0.0
aaa,stdnt_abi,rf,base,recall,0.0
aaa,asmt_stdnt_abd,rf,base,accuracy,0.9661016949152542
aaa,asmt_stdnt_abd,rf,base,fscore,0.0
aaa,asmt_stdnt_abd,rf,base,precision,0.0
aaa,asmt_stdnt_abd,rf,base,recall,0.0
aaa,asmt_stdnt_abi,rf,base,accuracy,0.9661016949152542
aaa,asmt_stdnt_abi,rf,base,fscore,0.0
aaa,asmt_stdnt_abi,rf,base,precision,0.0
aaa,asmt_stdnt_abi,rf,base,recall,0.0
